rank,prev_rank,name,league,off,def,spi
1,2.0,Bayern Munich,German Bundesliga,3.23,0.55,90.97
2,1.0,Manchester City,Barclays Premier League,2.8,0.38,90.45
3,3.0,Barcelona,Spanish Primera Division,2.44,0.44,86.27
4,4.0,Real Madrid,Spanish Primera Division,2.6,0.53,86.11
5,5.0,Arsenal,Barclays Premier League,2.42,0.46,85.71
6,6.0,Napoli,Italy Serie A,2.38,0.53,83.85
7,8.0,Paris Saint-Germain,French Ligue 1,2.73,0.76,83.33
8,7.0,Liverpool,Barclays Premier League,2.55,0.67,82.88
9,9.0,RB Leipzig,German Bundesliga,2.44,0.62,82.68
10,11.0,Manchester United,Barclays Premier League,2.36,0.64,81.35
11,12.0,Brighton and Hove Albion,Barclays Premier League,2.27,0.63,80.4
12,10.0,Benfica,Portuguese Liga,2.37,0.7,80.18
13,13.0,Chelsea,Barclays Premier League,1.98,0.46,80.11
14,14.0,Newcastle,Barclays Premier League,2.06,0.53,79.7
15,15.0,Ajax,Dutch Eredivisie,2.76,1.0,79.19
16,17.0,Internazionale,Italy Serie A,2.3,0.72,78.82
17,18.0,Borussia Dortmund,German Bundesliga,2.4,0.79,78.65
18,19.0,Tottenham Hotspur,Barclays Premier League,2.21,0.68,78.44
19,16.0,FC Porto,Portuguese Liga,2.2,0.72,77.38
20,20.0,Atletico Madrid,Spanish Primera Division,1.97,0.59,76.93
21,21.0,Zenit St Petersburg,Russian Premier Liga,2.09,0.69,76.46
22,22.0,Lille,French Ligue 1,2.08,0.7,76.05
23,25.0,Celtic,Scottish Premiership,2.46,1.01,75.11
24,23.0,AS Roma,Italy Serie A,1.88,0.6,75.1
25,30.0,Bayer Leverkusen,German Bundesliga,2.15,0.8,74.83
26,27.0,FC Salzburg,Austrian T-Mobile Bundesliga,2.08,0.77,74.31
27,29.0,Sporting CP,Portuguese Liga,2.01,0.73,74.3
28,24.0,Marseille,French Ligue 1,2.08,0.78,74.26
29,36.0,West Ham United,Barclays Premier League,1.88,0.64,74.19
30,34.0,AC Milan,Italy Serie A,2.1,0.8,74.19
31,28.0,Juventus,Italy Serie A,2.06,0.78,73.95
32,26.0,Athletic Bilbao,Spanish Primera Division,1.85,0.63,73.91
33,32.0,Brentford,Barclays Premier League,2.08,0.8,73.67
34,31.0,Feyenoord,Dutch Eredivisie,2.19,0.89,73.38
35,33.0,Real Sociedad,Spanish Primera Division,1.73,0.58,73.07
36,37.0,VfL Wolfsburg,German Bundesliga,2.11,0.86,72.83
37,40.0,Celta Vigo,Spanish Primera Division,1.86,0.69,72.6
38,39.0,PSV,Dutch Eredivisie,2.26,1.0,72.2
39,47.0,Mainz,German Bundesliga,2.14,0.92,71.97
40,43.0,Fiorentina,Italy Serie A,2.0,0.82,71.94
41,41.0,Lyon,French Ligue 1,1.95,0.81,71.27
42,42.0,Eintracht Frankfurt,German Bundesliga,2.0,0.85,71.27
