id,Pos,Name,BV,SV,Team,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts
484,3,Gray,58,58,EVE,75,3.715,68,3.875,64,2.989,64,3.164,65,2.361
502,2,Kenny,45,45,EVE,1,0.042,1,0.047,1,0.04,2,0.083,3,0.088
503,3,Gordon,45,45,EVE,20,1.082,23,1.29,15,0.784,15,0.818,15,0.669
504,3,Gbamin,45,45,EVE,4,0.173,4,0.181,5,0.211,6,0.255,6,0.234
544,2,Branthwaite,40,40,EVE,0,0,0,0,0,0,0,0,0,0
545,4,Broadhead,45,45,EVE,0,0,0,0,0,0,0,0,0,0
564,4,Kean,60,60,EVE,0,0,0,0,0,0,0,0,0,0
570,2,Nkounkou,40,40,EVE,0,0,0,0,0,0,0,0,0,0
571,1,Lonergan,40,40,EVE,0,0,0,0,0,0,0,0,0,0
591,4,Rondón,60,60,EVE,74,3.546,39,2.342,12,0.707,6,0.387,7,0.367
602,4,Simms,45,45,EVE,0,0,0,0,0,0,0,0,0,0
607,4,Dobbin,45,45,EVE,0,0,0,0,0,0,0,0,0,0
613,3,Whitaker,45,45,EVE,0,0,0,0,0,0,0,0,0,0
200,1,Schmeichel,51,51,LEI,90,3.294,89,3.486,89,3.447,88,3.319,85,3.089
201,2,Evans,54,54,LEI,32,0.911,29,0.999,37,1.242,37,1.139,45,1.21
202,3,Albrighton,54,54,LEI,22,1.087,26,1.3,26,1.316,25,1.22,27,1.235
203,3,Mendy,44,44,LEI,0,0,0,0,0,0,0,0,0,0
204,1,Ward,40,40,LEI,0,0,0,0,0,0,0,0,3,0.11
205,4,Vardy,105,105,LEI,83,4.078,80,4.114,79,4.187,74,3.79,78,3.557
206,3,Praet,49,49,LEI,0,0,0,0,0,0,0,0,0,0
207,2,Pereira,54,54,LEI,82,2.569,73,2.797,74,2.802,68,2.364,68,2.12
208,2,Amartey,40,40,LEI,8,0.273,3,0.11,2,0.073,4,0.141,2,0.065
209,2,Castagne,53,53,LEI,88,2.351,84,2.731,85,2.667,82,2.379,77,2.057
210,3,Tielemans,64,64,LEI,87,2.985,84,3.021,82,3.008,83,2.945,82,2.711
211,3,Pérez,58,58,LEI,17,0.841,18,0.901,23,1.2,28,1.366,24,1.122
212,3,Maddison,67,67,LEI,55,2.586,55,2.727,53,2.715,54,2.599,53,2.334
213,4,Iheanacho,70,70,LEI,45,2.336,45,2.409,46,2.509,49,2.565,48,2.27
214,3,Choudhury,45,45,LEI,16,0.707,23,0.988,22,0.952,22,0.933,21,0.875
215,3,Barnes,67,67,LEI,76,3.153,68,3.045,65,2.982,68,2.944,67,2.669
216,3,Ndidi,49,49,LEI,0,0,0,0,0,0,0,0,0,0
217,2,Söyüncü,49,49,LEI,84,2.324,77,2.574,71,2.336,73,2.193,64,1.723
218,2,Justin,49,49,LEI,0,0,3,0.11,8,0.289,12,0.4,26,0.787
219,2,Thomas,44,44,LEI,6,0.215,14,0.571,12,0.487,12,0.455,8,0.278
220,2,Fofana,44,44,LEI,0,0,0,0,0,0,0,0,0,0
340,2,Vestergaard,49,49,LEI,56,1.571,73,2.458,70,2.314,67,2.026,66,1.789
455,4,Daka,71,71,LEI,13,0.703,18,0.972,15,0.848,14,0.789,15,0.78
458,3,Soumaré,48,48,LEI,72,2.278,68,2.266,68,2.263,61,2.042,63,2.007
473,2,Bertrand,48,48,LEI,0,0,1,0.044,0,0,1,0.042,1,0.04
505,3,Dewsbury-Hall,45,45,LEI,0,0,0,0,0,0,1,0.045,0,0
