,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
20000,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,3,3,4,3,4,1,2,3,2,2,3,2,2,1,3,1
20001,3,3,3,3,3,3,3,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,2,2,5,2,3,3,3,3,3,0,0,0,2,0
20002,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,4,3,1,1,1,0,1,1,1,2,2,2,1,2,2,3,1,1,1,1,0
20003,3,3,3,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,3,2,2,5,2,2,3,2,2,2,1,1,1,1,1
20004,2,2,2,2,3,3,3,2,2,2,1,1,1,1,1,2,2,3,3,3,2,2,2,2,2,1,1,0,1,1,1,2,2,1,1,1,2,1
20005,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,4,2,2,2,3,3,3,3,2,2,1,3,3,2,3,3,3,3,3,3,2
20006,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,2,1,3,2,2,2,2,1,1,1,1,2,1,2,2,1,1,1,1,2
20007,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,0,5,0,1,1,2,2,2,2,1,1,3,1
20008,2,2,3,3,3,3,3,1,1,1,1,2,2,2,1,1,1,2,4,1,2,1,1,1,1,1,5,0,1,2,2,2,3,3,3,3,3,3
20009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,3,1,2,3,1,1,4,1,1,1,1,1
20010,3,3,2,2,3,3,3,3,3,2,2,2,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,3,0,0,0,3,0
20011,3,3,2,2,2,2,2,1,1,1,1,1,1,1,0,1,1,1,1,1,2,2,2,2,2,1,5,0,1,1,1,1,4,1,1,1,1,1
20012,2,2,2,2,2,2,2,2,3,3,3,2,2,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,2,2,2,2,3,1,1,0,3,0
20013,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,3,3,0,4,0,1,1,1,1,1,0,0,0,3,0
20014,3,3,3,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,3,3,3,2,3,4,2,2,1,2,3,1,1,2,2,1,1,1,1
