id,first_name,second_name,team,Top_100_in,Top_1K_in,Top_10K_in,Top_50K_in,Top_100K_in,Top_250K_in,Top_500K_in,Top_100_out,Top_1K_out,Top_10K_out,Top_50K_out,Top_100K_out,Top_250K_out,Top_500K_out
1,Folarin,Balogun,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Cédric,Alves Soares,1,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.008,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.004
3,Mohamed,Elneny,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Fábio,Ferreira Vieira,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Gabriel,dos Santos Magalhães,1,1.3333333333333335,1.0,0.8999999999999999,0.775,1.2,1.1466666666666667,1.336,2.666666666666667,0.8,0.8999999999999999,0.44999999999999996,0.6,0.3933333333333333,0.416
6,Kai,Havertz,1,0.0,0.2,0.4,0.025,0.38,0.3933333333333333,0.7080000000000001,0.0,0.0,0.15,0.0,0.12,0.10666666666666667,0.116
8,Gabriel,Fernando de Jesus,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.05333333333333334,0.064
9,Jorge Luiz,Frello Filho,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Jakub,Kiwior,1,0.0,0.2,0.2,0.27499999999999997,0.52,0.6066666666666667,0.6839999999999999,0.0,0.0,0.05,0.075,0.08,0.11333333333333334,0.07200000000000001
11,Marcus,Oliveira Alencar,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Gabriel,Martinelli Silva,1,0.0,0.0,0.05,0.0,0.0,0.0,0.016,0.0,0.0,0.1,0.375,0.24,0.32666666666666666,0.44400000000000006
13,Eddie,Nketiah,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667,0.012
14,Martin,Ødegaard,1,0.0,0.2,0.15,0.125,0.18,0.3066666666666667,0.508,0.0,1.0,0.35000000000000003,0.525,0.36,0.4266666666666667,0.392
15,Thomas,Partey,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Nicolas,Pépé,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Aaron,Ramsdale,1,0.0,0.0,0.0,0.025,0.06,0.013333333333333334,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Rúnar Alex,Rúnarsson,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Bukayo,Saka,1,1.3333333333333335,0.0,0.2,0.42500000000000004,0.26,0.44666666666666666,0.5599999999999999,2.666666666666667,1.6,1.3,1.2,1.1400000000000001,1.28,1.72
20,William,Saliba,1,1.3333333333333335,0.2,0.5,0.27499999999999997,0.45999999999999996,0.3933333333333333,0.532,2.666666666666667,2.0,1.4500000000000002,1.175,1.34,0.9066666666666667,0.8840000000000001
