,Top_100,Top_1K,Top_10K,Top_50K,Top_100K,Top_250K,Top_500K
wildcard,0.0,0.0,0.0,0.1,0.4,0.38666666666666666,0.512
freehit,0.0,0.0,0.1,0.025,0.16,0.15333333333333335,0.20400000000000001
bboost,0.0,0.0,0.0,0.1,0.12,0.14666666666666667,0.268
3xc,0.0,0.2,0.15,0.05,0.12,0.17333333333333334,0.268
