,Top_100,Top_1K,Top_10K,Top_50K,Top_100K,Top_250K,Top_500K
wildcard,0.0,0.0,0.5,0.44999999999999996,0.62,0.84,1.228
freehit,0.0,0.0,0.0,0.0,0.0,0.0,0.02
bboost,0.0,0.0,0.3,0.4,0.48,0.5133333333333333,0.612
3xc,0.0,0.0,0.05,0.025,0.08,0.13333333333333333,0.136
