,rank,prev_rank,name,league,off,def,spi
0,1,1,Manchester City,Barclays Premier League,2.87,0.2,93.61
1,2,2,Bayern Munich,German Bundesliga,3.42,0.51,92.65
2,3,3,Liverpool,Barclays Premier League,2.93,0.49,89.7
3,4,5,Ajax,Dutch Eredivisie,3.14,0.64,89.05
4,5,4,Chelsea,Barclays Premier League,2.36,0.26,88.9
5,6,6,Real Madrid,Spanish Primera Division,2.6,0.54,85.87
6,7,7,Barcelona,Spanish Primera Division,2.58,0.59,84.94
7,8,9,Atletico Madrid,Spanish Primera Division,2.22,0.39,84.78
8,9,10,Paris Saint-Germain,French Ligue 1,2.51,0.58,84.15
9,10,12,RB Leipzig,German Bundesliga,2.48,0.57,84.15
10,11,8,Manchester United,Barclays Premier League,2.35,0.52,83.68
11,12,11,Borussia Dortmund,German Bundesliga,2.65,0.74,82.67
12,13,13,Internazionale,Italy Serie A,2.47,0.66,82.22
13,14,14,Napoli,Italy Serie A,2.33,0.64,80.89
14,15,15,Sevilla FC,Spanish Primera Division,2.02,0.47,80.35
15,16,19,FC Salzburg,Austrian T-Mobile Bundesliga,2.54,0.84,79.48
16,17,20,Real Sociedad,Spanish Primera Division,2.02,0.53,79.16
17,18,21,Benfica,Portuguese Liga,2.24,0.68,78.9
18,19,17,Juventus,Italy Serie A,2.37,0.77,78.69
19,20,22,Atalanta,Italy Serie A,2.28,0.74,78.15
20,21,18,AC Milan,Italy Serie A,2.19,0.71,77.46
21,22,16,FC Porto,Portuguese Liga,2.15,0.68,77.43
22,23,23,Villarreal,Spanish Primera Division,2.06,0.62,77.42
23,24,27,Bayer Leverkusen,German Bundesliga,2.22,0.75,77.02
24,25,25,Arsenal,Barclays Premier League,2.04,0.64,76.78
25,26,29,Real Betis,Spanish Primera Division,2.07,0.7,75.75
26,27,26,West Ham United,Barclays Premier League,2.12,0.75,75.59
27,28,24,VfL Wolfsburg,German Bundesliga,1.97,0.67,75.13
28,29,33,Aston Villa,Barclays Premier League,2.02,0.73,74.47
29,30,28,Tottenham Hotspur,Barclays Premier League,2.11,0.8,74.18
30,31,32,Everton,Barclays Premier League,1.96,0.71,73.89
31,32,34,Sporting CP,Portuguese Liga,1.85,0.64,73.71
32,33,30,Brighton and Hove Albion,Barclays Premier League,1.86,0.64,73.68
33,34,31,Leicester City,Barclays Premier League,2.03,0.77,73.66
34,35,39,Borussia Monchengladbach,German Bundesliga,2.15,0.88,72.98
35,36,36,Athletic Bilbao,Spanish Primera Division,1.76,0.61,72.97
36,37,37,Wolverhampton,Barclays Premier League,1.81,0.64,72.93
37,38,35,AS Roma,Italy Serie A,2.14,0.92,72.02
38,39,38,AS Monaco,French Ligue 1,1.87,0.73,71.93
39,40,40,Zenit St Petersburg,Russian Premier Liga,2.14,0.93,71.77
40,41,49,Lazio,Italy Serie A,2.11,0.95,70.88
41,42,43,PSV,Dutch Eredivisie,2.22,1.03,70.86
42,43,48,TSG Hoffenheim,German Bundesliga,2.11,0.95,70.84
43,44,41,Lyon,French Ligue 1,2.07,0.92,70.84
44,45,42,Mainz,German Bundesliga,1.83,0.77,70.01
45,46,44,Valencia,Spanish Primera Division,1.86,0.82,69.47
46,47,50,1. FC Union Berlin,German Bundesliga,1.84,0.81,69.38
47,48,55,Lille,French Ligue 1,1.69,0.7,69.22
48,49,52,Celta Vigo,Spanish Primera Division,1.89,0.86,69.11
49,50,46,Leeds United,Barclays Premier League,1.95,0.9,69.09
50,51,47,Eintracht Frankfurt,German Bundesliga,1.99,0.94,69.05
51,52,59,Brentford,Barclays Premier League,1.79,0.79,68.83
52,53,45,Rangers,Scottish Premiership,1.9,0.89,68.54
53,54,63,SC Freiburg,German Bundesliga,1.86,0.87,68.36
54,55,53,Flamengo,Brasileiro Série A,1.9,0.91,67.92
55,56,56,Southampton,Barclays Premier League,1.78,0.83,67.69
56,57,51,Getafe,Spanish Primera Division,1.55,0.65,67.59
57,58,65,FC Cologne,German Bundesliga,1.95,0.99,67.19
58,59,54,Young Boys,Swiss Raiffeisen Super League,2.1,1.12,66.92
59,60,62,Rayo Vallecano,Spanish Primera Division,1.79,0.88,66.57
60,61,61,VfB Stuttgart,German Bundesliga,1.99,1.05,66.45
61,62,60,Osasuna,Spanish Primera Division,1.75,0.87,66.28
62,63,64,Crystal Palace,Barclays Premier League,1.74,0.86,66.23
63,64,69,Olympiacos,Greek Super League,1.86,0.96,66.12
64,65,57,Marseille,French Ligue 1,1.75,0.88,66.01
65,66,67,Shakhtar Donetsk,UEFA Champions League,2.0,1.08,65.94
66,67,68,Feyenoord,Dutch Eredivisie,2.04,1.13,65.54
67,68,66,Sassuolo,Italy Serie A,1.9,1.04,64.94
68,69,75,AZ,Dutch Eredivisie,1.93,1.07,64.89
69,70,77,Nice,French Ligue 1,1.78,0.95,64.87
70,71,71,Stade Rennes,French Ligue 1,1.65,0.84,64.79
71,72,73,Dinamo Zagreb,UEFA Europa League,1.86,1.02,64.73
72,73,58,Celtic,Scottish Premiership,1.95,1.11,64.17
73,74,70,Atletico Mineiro,Brasileiro Série A,1.55,0.79,64.14
74,75,76,Club Brugge,Belgian Jupiler League,1.95,1.13,63.8
75,76,90,Lens,French Ligue 1,1.71,0.95,63.55
76,77,82,Fiorentina,Italy Serie A,1.7,0.93,63.52
77,78,72,Burnley,Barclays Premier League,1.77,0.99,63.51
78,79,78,Espanyol,Spanish Primera Division,1.6,0.86,63.33
79,80,80,Genk,Belgian Jupiler League,1.97,1.18,63.11
80,81,86,Newcastle,Barclays Premier League,1.82,1.07,62.84
81,82,79,Levante,Spanish Primera Division,1.64,0.92,62.78
82,83,84,Braga,Portuguese Liga,1.64,0.92,62.7
83,84,88,Kawasaki Frontale,Japanese J League,1.82,1.08,62.45
84,85,85,Sampdoria,Italy Serie A,1.68,0.97,62.28
85,86,97,FC Utrecht,Dutch Eredivisie,1.87,1.14,62.11
86,87,74,Fulham,English League Championship,1.81,1.09,62.06
87,88,83,Torino,Italy Serie A,1.67,0.98,62.0
88,89,91,Mallorca,Spanish Primera Division,1.63,0.97,61.15
89,90,93,Monterrey,Mexican Primera Division Torneo Apertura,1.62,0.97,61.03
90,91,87,River Plate,Argentina Primera Division,1.66,1.01,60.96
91,92,98,Alavés,Spanish Primera Division,1.56,0.93,60.9
92,93,89,FC Midtjylland,Danish SAS-Ligaen,1.73,1.07,60.86
93,94,81,Hertha Berlin,German Bundesliga,1.72,1.09,60.32
94,95,94,Elche,Spanish Primera Division,1.49,0.89,60.17
95,96,112,FC Copenhagen,Danish SAS-Ligaen,1.94,1.29,60.04
96,97,99,Club América,Mexican Primera Division Torneo Apertura,1.52,0.93,59.86
97,98,92,Strasbourg,French Ligue 1,1.62,1.02,59.69
98,99,95,Watford,Barclays Premier League,1.6,1.0,59.65
99,100,96,Nantes,French Ligue 1,1.58,1.01,59.25
100,101,100,Bologna,Italy Serie A,1.82,1.23,58.91
101,102,101,Palmeiras,Brasileiro Série A,1.53,0.97,58.82
102,103,104,Granada,Spanish Primera Division,1.58,1.03,58.53
103,104,102,Arminia Bielefeld,German Bundesliga,1.54,1.0,58.44
104,105,110,Sparta Prague,UEFA Europa League,1.71,1.16,58.31
105,106,125,FC Krasnodar,Russian Premier Liga,1.76,1.21,58.27
106,107,115,Verona,Italy Serie A,1.63,1.11,57.91
107,108,106,Internacional,Brasileiro Série A,1.44,0.94,57.72
108,109,116,Red Star Belgrade,UEFA Europa League,1.75,1.24,57.44
109,110,127,CSKA Moscow,Russian Premier Liga,1.54,1.05,57.43
110,111,114,Norwich City,Barclays Premier League,1.57,1.07,57.38
111,112,123,VfL Bochum,German Bundesliga,1.55,1.06,57.2
112,113,138,Spartak Moscow,Russian Premier Liga,1.63,1.14,57.19
113,114,108,Cagliari,Italy Serie A,1.65,1.16,57.02
114,115,121,Fenerbahce,Turkish Turkcell Super Lig,1.63,1.15,56.95
115,116,117,Udinese,Italy Serie A,1.52,1.05,56.87
116,117,122,West Bromwich Albion,English League Championship,1.54,1.07,56.79
117,118,105,Yokohama F. Marinos,Japanese J League,1.84,1.35,56.77
118,119,109,AFC Bournemouth,English League Championship,1.49,1.03,56.59
119,120,118,Tigres UANL,Mexican Primera Division Torneo Apertura,1.51,1.05,56.57
120,121,113,Trabzonspor,Turkish Turkcell Super Lig,1.57,1.1,56.55
