,Top_100,Top_1K,Top_10K,Top_50K,Top_100K,Top_250K,Top_500K
wildcard,0.0,0.6,1.15,0.675,0.98,0.9400000000000001,1.06
freehit,0.0,0.0,0.0,0.075,0.04,0.05333333333333334,0.036000000000000004
bboost,0.0,0.8,1.0,0.65,0.66,0.45999999999999996,0.5479999999999999
3xc,0.0,1.0,0.35000000000000003,0.44999999999999996,0.76,0.6333333333333333,0.596
