,Top_100,Top_1K,Top_10K,Top_50K,Top_100K,Top_250K,Top_500K
wildcard,14.666666666666666,18.8,20.4,18.375,18.12,17.36,14.384
freehit,0.0,0.0,0.0,0.025,0.02,0.06,0.096
bboost,0.0,0.2,0.05,0.05,0.16,0.2,0.348
3xc,0.0,0.0,0.1,0.025,0.06,0.1,0.1
