,Top_100,Top_1K,Top_10K,Top_50K,Top_100K,Top_250K,Top_500K
wildcard,0.0,0.2,0.15,0.1,0.36,0.74,1.1520000000000001
freehit,0.0,0.0,0.5499999999999999,0.42500000000000004,0.84,1.0333333333333332,1.3559999999999999
bboost,0.0,1.2,1.2,2.875,4.5600000000000005,7.886666666666667,12.504000000000001
3xc,0.0,0.0,1.25,1.6,2.1999999999999997,3.2800000000000002,4.888
