,rank,prev_rank,name,league,off,def,spi
0,1,1,Manchester City,Barclays Premier League,2.85,0.23,93.14
1,2,2,Bayern Munich,German Bundesliga,3.38,0.51,92.39
2,3,3,Liverpool,Barclays Premier League,2.78,0.39,90.1
3,4,4,Chelsea,Barclays Premier League,2.42,0.27,89.27
4,5,5,Ajax,Dutch Eredivisie,3.09,0.65,88.45
5,6,7,Real Madrid,Spanish Primera Division,2.62,0.54,86.15
6,7,6,Barcelona,Spanish Primera Division,2.62,0.58,85.42
7,8,8,Manchester United,Barclays Premier League,2.38,0.47,84.87
8,9,11,Atletico Madrid,Spanish Primera Division,2.2,0.4,84.47
9,10,10,Paris Saint-Germain,French Ligue 1,2.54,0.6,84.12
10,11,9,Borussia Dortmund,German Bundesliga,2.8,0.77,83.8
11,12,12,RB Leipzig,German Bundesliga,2.42,0.57,83.52
12,13,13,Internazionale,Italy Serie A,2.51,0.66,82.68
13,14,15,Napoli,Italy Serie A,2.36,0.6,81.98
14,15,14,Sevilla FC,Spanish Primera Division,2.03,0.48,80.43
15,16,20,FC Porto,Portuguese Liga,2.16,0.6,79.53
16,17,16,Juventus,Italy Serie A,2.38,0.75,79.16
17,18,18,AC Milan,Italy Serie A,2.22,0.66,79.11
18,19,19,FC Salzburg,Austrian T-Mobile Bundesliga,2.56,0.88,79.01
19,20,17,Real Sociedad,Spanish Primera Division,2.04,0.55,78.85
20,21,21,Benfica,Portuguese Liga,2.17,0.67,78.06
21,22,22,Atalanta,Italy Serie A,2.25,0.74,77.58
22,23,26,Villarreal,Spanish Primera Division,2.05,0.65,76.65
23,24,24,VfL Wolfsburg,German Bundesliga,2.0,0.63,76.48
24,25,23,Arsenal,Barclays Premier League,2.02,0.65,76.3
25,26,27,West Ham United,Barclays Premier League,2.14,0.77,75.26
26,27,28,Bayer Leverkusen,German Bundesliga,2.14,0.78,75.18
27,28,25,Tottenham Hotspur,Barclays Premier League,2.12,0.78,74.74
28,29,32,Real Betis,Spanish Primera Division,2.02,0.72,74.63
29,30,30,Brighton and Hove Albion,Barclays Premier League,1.86,0.64,73.96
30,31,33,Leicester City,Barclays Premier League,2.04,0.77,73.81
31,32,29,Everton,Barclays Premier League,1.96,0.72,73.56
32,33,38,Aston Villa,Barclays Premier League,2.0,0.76,73.43
33,34,36,Sporting CP,Portuguese Liga,1.87,0.67,73.33
34,35,34,AS Roma,Italy Serie A,2.12,0.88,72.65
35,36,35,Athletic Bilbao,Spanish Primera Division,1.75,0.62,72.55
36,37,31,Wolverhampton,Barclays Premier League,1.82,0.67,72.32
37,38,39,AS Monaco,French Ligue 1,1.88,0.72,72.27
38,39,40,Borussia Monchengladbach,German Bundesliga,2.16,0.94,71.74
