rank,prev_rank,name,league,off,def,spi
1,1.0,Manchester City,Barclays Premier League,3.03,0.27,93.52
2,2.0,Bayern Munich,German Bundesliga,3.17,0.65,89.08
3,3.0,Barcelona,Spanish Primera Division,2.33,0.36,86.66
4,4.0,Real Madrid,Spanish Primera Division,2.64,0.53,86.43
5,5.0,Arsenal,Barclays Premier League,2.55,0.59,84.37
6,8.0,Liverpool,Barclays Premier League,2.58,0.65,83.76
7,7.0,Newcastle,Barclays Premier League,2.22,0.51,82.23
8,6.0,Napoli,Italy Serie A,2.36,0.6,82.15
9,9.0,Paris Saint-Germain,French Ligue 1,2.63,0.79,81.69
10,11.0,Brighton and Hove Albion,Barclays Premier League,2.34,0.62,81.33
11,12.0,Atletico Madrid,Spanish Primera Division,2.13,0.5,81.17
12,13.0,Chelsea,Barclays Premier League,2.0,0.48,80.08
13,10.0,Benfica,Portuguese Liga,2.39,0.73,79.75
14,15.0,Manchester United,Barclays Premier League,2.28,0.72,78.62
15,14.0,Borussia Dortmund,German Bundesliga,2.5,0.87,78.45
16,17.0,RB Leipzig,German Bundesliga,2.29,0.73,78.45
17,16.0,Internazionale,Italy Serie A,2.26,0.73,77.94
18,18.0,Ajax,Dutch Eredivisie,2.63,1.01,77.5
19,19.0,Bayer Leverkusen,German Bundesliga,2.19,0.74,76.88
20,20.0,Celtic,Scottish Premiership,2.57,1.0,76.73
21,23.0,FC Porto,Portuguese Liga,2.09,0.69,76.51
22,22.0,Feyenoord,Dutch Eredivisie,2.33,0.86,76.14
23,27.0,Athletic Bilbao,Spanish Primera Division,1.86,0.56,75.86
24,21.0,Lille,French Ligue 1,2.08,0.72,75.52
25,28.0,Sporting CP,Portuguese Liga,2.03,0.7,75.27
26,31.0,AC Milan,Italy Serie A,2.11,0.76,75.16
27,25.0,Tottenham Hotspur,Barclays Premier League,2.14,0.78,75.15
28,24.0,Juventus,Italy Serie A,2.02,0.7,75.05
29,33.0,Aston Villa,Barclays Premier League,1.96,0.67,74.65
30,30.0,Zenit St Petersburg,Russian Premier Liga,2.02,0.72,74.53
31,29.0,Mainz,German Bundesliga,2.17,0.84,74.34
32,37.0,AS Roma,Italy Serie A,1.84,0.61,74.22
33,34.0,Celta Vigo,Spanish Primera Division,1.89,0.65,74.16
34,38.0,Fiorentina,Italy Serie A,2.05,0.77,73.97
35,36.0,Brentford,Barclays Premier League,2.09,0.8,73.95
