id,first_name,second_name,team,Top_100,Top_1K,Top_10K,Top_100K,Top_1M,Overall
76,Yves,Bissouma,3,0.0,2.158273381294964,1.3513513513513513,2.3498694516971277,2.0779220779220777,1.6516516516516515
77,Tariq,Lamptey,3,0.0,0.0,0.0,0.5221932114882507,0.5194805194805194,3.453453453453453
78,Aaron,Connolly,3,0.0,0.0,0.0,0.0,0.0,0.15015015015015015
79,Steven,Alzate,3,0.0,0.3597122302158274,0.0,0.26109660574412535,0.5194805194805194,0.7507507507507507
80,Alexis,Mac Allister,3,0.0,0.0,0.0,0.0,0.0,0.0
503,Christian,Walton,3,2.5,0.3597122302158274,0.5405405405405406,0.0,0.7792207792207793,1.5015015015015014
528,Jason,Steele,3,0.0,0.3597122302158274,0.5405405405405406,1.0443864229765014,1.0389610389610389,0.7507507507507507
550,Jayson,Molumby,3,0.0,0.0,0.0,0.0,0.0,0.0
574,Andi,Zeqiri,3,0.0,0.0,0.0,0.0,0.0,0.0
588,Danny,Welbeck,3,0.0,0.3597122302158274,0.0,0.0,0.0,0.15015015015015015
597,Robert,Sánchez,3,1.25,2.5179856115107913,3.5135135135135136,2.3498694516971277,3.3766233766233764,0.9009009009009009
627,Percy,Tau,3,0.0,0.0,0.0,0.0,0.0,0.0
628,Jakub,Moder,3,0.0,0.0,0.0,0.0,0.0,0.0
630,Reda,Khadra,3,0.0,0.0,0.0,0.0,0.0,0.0
631,Teddy,Jenks,3,0.0,0.0,0.0,0.0,0.0,0.0
632,Max,Sanders,3,0.0,0.0,0.0,0.0,0.0,0.0
633,Jensen,Weir,3,0.0,0.0,0.0,0.0,0.0,0.0
662,Thomas,McGill,3,0.0,0.0,0.0,0.0,0.0,0.0
663,Michal,Karbownik,3,0.0,0.0,0.0,0.0,0.0,0.0
664,Moisés,Caicedo,3,0.0,0.0,0.0,0.0,0.0,0.0
55,Dale,Stephens,4,1.25,0.7194244604316548,0.8108108108108109,1.0443864229765014,0.7792207792207793,4.954954954954955
81,James,Tarkowski,4,1.25,0.0,0.0,0.5221932114882507,0.7792207792207793,2.1021021021021022
82,Phil,Bardsley,4,0.0,0.0,0.0,0.0,0.0,0.45045045045045046
83,Erik,Pieters,4,1.25,0.0,0.2702702702702703,1.0443864229765014,0.7792207792207793,0.3003003003003003
84,Jack,Cork,4,0.0,0.0,0.0,0.0,0.0,0.0
85,Kevin,Long,4,0.0,0.0,0.0,0.0,0.0,0.3003003003003003
86,Jay,Rodriguez,4,0.0,0.0,0.0,0.0,0.0,0.3003003003003003
87,Ashley,Barnes,4,1.25,0.7194244604316548,0.0,0.0,0.2597402597402597,0.6006006006006006
88,Ben,Mee,4,0.0,1.4388489208633095,0.8108108108108109,1.5665796344647518,0.5194805194805194,2.1021021021021022
89,Ashley,Westwood,4,0.0,0.0,0.0,0.0,0.0,0.3003003003003003
90,Johann Berg,Gudmundsson,4,0.0,0.0,0.0,0.0,0.0,0.0
91,Chris,Wood,4,8.75,5.755395683453238,4.594594594594595,1.8276762402088773,2.0779220779220777,1.8018018018018018
92,Matthew,Lowton,4,5.0,6.115107913669065,5.135135135135135,4.177545691906006,4.675324675324675,1.5015015015015014
