,Top_100,Top_1K,Top_10K,Top_50K,Top_100K,Top_250K,Top_500K
wildcard,2.666666666666667,7.3999999999999995,5.7,4.725,4.34,3.986666666666667,3.968
freehit,1.3333333333333335,0.4,0.25,0.17500000000000002,0.3,0.4,0.432
bboost,4.0,4.0,2.3,1.075,1.18,1.2466666666666666,1.044
3xc,2.666666666666667,0.0,0.25,0.2,0.24,0.22,0.184
