,Top_100,Top_1K,Top_10K,Top_50K,Top_100K,Top_250K,Top_500K
wildcard,4.0,1.4000000000000001,2.25,3.05,3.4000000000000004,3.6733333333333333,4.88
freehit,6.666666666666667,3.2,2.9499999999999997,2.625,3.54,4.9,6.3
bboost,0.0,0.0,0.1,0.35000000000000003,0.22,0.2733333333333333,0.27999999999999997
3xc,0.0,1.6,1.05,1.175,0.9199999999999999,0.8866666666666667,0.856
