,Top_100,Top_1K,Top_10K,Top_50K,Top_100K,Top_250K,Top_500K
wildcard,0.0,0.0,0.0,0.0,0.0,0.0,0.0
freehit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bboost,13.333333333333334,14.2,9.75,4.75,3.18,2.0866666666666664,1.312
3xc,82.66666666666667,75.6,52.800000000000004,18.25,13.459999999999999,7.84,4.788
