,Top_100,Top_1K,Top_10K,Top_50K,Top_100K,Top_250K,Top_500K
wildcard,0.0,0.6,0.4,0.475,0.9199999999999999,1.5666666666666667,2.696
freehit,1.3333333333333335,0.6,1.05,1.425,1.52,2.046666666666667,2.68
bboost,92.0,90.0,89.7,85.175,81.04,70.01333333333334,56.472
3xc,4.0,0.8,0.8500000000000001,1.8499999999999999,2.88,6.413333333333333,10.528
