,Top_100,Top_1K,Top_10K,Top_50K,Top_100K,Top_250K,Top_500K
wildcard,0.0,0.8,0.8999999999999999,0.8750000000000001,1.58,1.94,2.248
freehit,0.0,0.4,0.05,0.025,0.04,0.013333333333333334,0.02
bboost,0.0,0.0,0.4,0.325,0.33999999999999997,0.41333333333333333,0.5559999999999999
3xc,0.0,0.2,0.1,0.075,0.16,0.24666666666666665,0.54
