,Top_100,Top_1K,Top_10K,Top_50K,Top_100K,Top_250K,Top_500K
wildcard,2.666666666666667,1.6,2.4,3.4000000000000004,3.36,2.8666666666666667,3.104
freehit,1.3333333333333335,0.6,0.95,1.0999999999999999,0.84,0.7133333333333334,0.9039999999999999
bboost,0.0,1.4000000000000001,0.6,0.325,0.4,0.45333333333333337,0.5
3xc,0.0,0.0,0.05,0.025,0.08,0.1,0.172
