,Top_100,Top_1K,Top_10K,Top_50K,Top_100K,Top_250K,Top_500K
wildcard,29.333333333333332,8.0,4.8500000000000005,3.675,2.6599999999999997,2.8466666666666667,2.74
freehit,10.666666666666668,5.6000000000000005,3.5000000000000004,2.0500000000000003,1.8399999999999999,1.16,1.272
bboost,1.3333333333333335,2.0,2.4,1.125,1.1199999999999999,0.6066666666666667,0.676
3xc,5.333333333333334,3.2,0.75,0.9249999999999999,0.76,0.6266666666666667,0.516
