,Top_100,Top_1K,Top_10K,Top_50K,Top_100K,Top_250K,Top_500K
wildcard,1.3333333333333335,0.6,1.35,1.875,3.34,5.346666666666667,8.212
freehit,5.333333333333334,3.0,7.55,9.3,10.02,13.8,17.04
bboost,2.666666666666667,1.2,0.7000000000000001,0.6,1.02,1.02,0.836
3xc,0.0,0.0,0.2,0.15,0.13999999999999999,0.18666666666666668,0.356
