,Top_100,Top_1K,Top_10K,Top_50K,Top_100K,Top_250K,Top_500K
wildcard,1.3333333333333335,0.0,0.75,1.6500000000000001,2.62,4.026666666666666,5.148
freehit,0.0,0.0,0.15,0.025,0.0,0.07333333333333333,0.12
bboost,0.0,0.2,0.15,0.325,0.6,0.9933333333333334,1.572
3xc,0.0,0.4,0.25,0.525,0.7000000000000001,0.6866666666666666,1.048
