,Top_100,Top_1K,Top_10K,Top_50K,Top_100K,Top_250K,Top_500K
wildcard,5.333333333333334,4.6,3.4000000000000004,3.9,4.04,4.68,5.5
freehit,2.666666666666667,3.2,3.55,3.5000000000000004,4.78,6.446666666666667,7.896
bboost,0.0,0.0,0.0,0.0,0.02,0.02,0.024
3xc,0.0,0.0,0.0,0.05,0.08,0.13999999999999999,0.156
