,Top_100,Top_1K,Top_10K,Top_50K,Top_100K,Top_250K,Top_500K
wildcard,5.333333333333334,9.2,12.3,14.000000000000002,14.180000000000001,11.0,7.184
freehit,5.333333333333334,5.0,3.15,2.675,2.1,1.7466666666666666,1.18
bboost,0.0,0.2,0.25,0.2,0.2,0.58,1.04
3xc,0.0,0.0,0.2,0.15,0.48,0.5266666666666667,0.804
