,Top_100,Top_1K,Top_10K,Top_50K,Top_100K,Top_250K,Top_500K
wildcard,1.3333333333333335,0.8,6.35,9.025,10.0,11.073333333333334,11.456
freehit,2.666666666666667,2.8000000000000003,1.3,1.05,0.98,0.9533333333333333,1.0999999999999999
bboost,0.0,0.2,0.05,0.125,0.16,0.17333333333333334,0.16
3xc,0.0,0.0,0.05,0.075,0.06,0.16666666666666669,0.184
