,Top_100,Top_1K,Top_10K,Top_50K,Top_100K,Top_250K,Top_500K
wildcard,16.0,7.3999999999999995,6.45,5.25,5.04,5.093333333333333,4.62
freehit,6.666666666666667,10.2,5.949999999999999,3.4750000000000005,1.96,1.8733333333333335,1.512
bboost,1.3333333333333335,4.0,2.55,1.725,1.08,0.9533333333333333,0.744
3xc,14.666666666666666,16.2,7.75,4.65,3.62,2.3933333333333335,1.8880000000000001
