rank,prev_rank,name,league,off,def,spi
1,1.0,Manchester City,Barclays Premier League,2.92,0.31,92.28
2,2.0,Bayern Munich,German Bundesliga,3.16,0.64,89.15
3,3.0,Barcelona,Spanish Primera Division,2.37,0.4,86.34
4,4.0,Real Madrid,Spanish Primera Division,2.52,0.5,85.8
5,5.0,Arsenal,Barclays Premier League,2.53,0.53,85.49
6,6.0,Napoli,Italy Serie A,2.46,0.51,85.13
7,7.0,Liverpool,Barclays Premier League,2.59,0.62,84.35
8,8.0,Paris Saint-Germain,French Ligue 1,2.69,0.77,82.59
9,9.0,Benfica,Portuguese Liga,2.52,0.71,81.85
10,10.0,Brighton and Hove Albion,Barclays Premier League,2.28,0.62,80.76
11,11.0,RB Leipzig,German Bundesliga,2.38,0.7,80.28
12,12.0,Newcastle,Barclays Premier League,2.09,0.53,80.25
13,13.0,Atletico Madrid,Spanish Primera Division,2.09,0.54,79.86
14,14.0,Chelsea,Barclays Premier League,2.03,0.51,79.72
15,15.0,Manchester United,Barclays Premier League,2.32,0.69,79.63
16,16.0,Borussia Dortmund,German Bundesliga,2.47,0.84,78.56
17,17.0,Internazionale,Italy Serie A,2.23,0.71,78.03
18,18.0,Ajax,Dutch Eredivisie,2.7,1.06,77.42
19,19.0,Celtic,Scottish Premiership,2.56,1.03,76.12
20,20.0,Lille,French Ligue 1,2.11,0.72,76.12
21,21.0,FC Porto,Portuguese Liga,2.12,0.73,75.89
22,22.0,Tottenham Hotspur,Barclays Premier League,2.18,0.78,75.77
23,23.0,Juventus,Italy Serie A,2.05,0.69,75.76
24,24.0,Bayer Leverkusen,German Bundesliga,2.17,0.78,75.67
25,25.0,Feyenoord,Dutch Eredivisie,2.27,0.85,75.53
26,26.0,Sporting CP,Portuguese Liga,2.04,0.7,75.51
27,27.0,Athletic Bilbao,Spanish Primera Division,1.86,0.58,75.44
28,28.0,Zenit St Petersburg,Russian Premier Liga,2.04,0.74,74.46
29,29.0,Brentford,Barclays Premier League,2.06,0.77,74.19
30,30.0,FC Salzburg,Austrian T-Mobile Bundesliga,2.13,0.81,74.18
31,31.0,Celta Vigo,Spanish Primera Division,1.88,0.65,73.97
32,32.0,VfL Wolfsburg,German Bundesliga,2.09,0.81,73.7
33,33.0,Real Sociedad,Spanish Primera Division,1.71,0.57,73.13
34,34.0,Fiorentina,Italy Serie A,1.98,0.77,72.91
35,35.0,Aston Villa,Barclays Premier League,1.96,0.75,72.81
36,36.0,AS Roma,Italy Serie A,1.81,0.66,72.53
37,37.0,PSV,Dutch Eredivisie,2.29,1.01,72.43
38,39.0,AC Milan,Italy Serie A,2.02,0.84,71.93
39,40.0,Mainz,German Bundesliga,2.08,0.88,71.85
40,38.0,Marseille,French Ligue 1,2.01,0.83,71.82
41,41.0,West Ham United,Barclays Premier League,1.85,0.72,71.72
42,42.0,Flamengo,Brasileiro Série A,1.98,0.82,71.58
43,43.0,Lyon,French Ligue 1,1.97,0.82,71.57
44,44.0,Atalanta,Italy Serie A,2.06,0.89,71.42
45,45.0,Palmeiras,Brasileiro Série A,1.91,0.78,71.4
46,46.0,Villarreal,Spanish Primera Division,1.87,0.76,71.19
47,48.0,Eintracht Frankfurt,German Bundesliga,2.03,0.88,71.06
48,47.0,AS Monaco,French Ligue 1,2.1,0.93,71.05
49,49.0,Lens,French Ligue 1,1.85,0.77,70.54
50,50.0,Leicester City,Barclays Premier League,1.94,0.86,69.92
51,51.0,Stade Rennes,French Ligue 1,1.82,0.81,68.83
52,52.0,Rangers,Scottish Premiership,2.14,1.08,68.48
53,53.0,Real Betis,Spanish Primera Division,1.76,0.79,68.27
