player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,season
Ozan Kabak,tr TUR,DF,Norwich City,21,2000,11.0,11.0,922.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.02,0.0,0.02,0.02,0.02,4.0,2.0,50.0,0.39,0.2,0.0,0.0,15.0,0.0,0.05,-0.2,-0.2,341.0,414.0,82.4,7111.0,2287.0,92.0,112.0,82.1,197.0,216.0,91.2,45.0,71.0,63.4,0.0,2.0,17.0,0.0,0.0,18.0,397.0,17.0,13.0,0.0,74.0,11.0,0.0,0.0,0.0,0.0,0.0,311.0,42.0,61.0,56.0,310.0,22.0,4.0,2.0,0.0,9.0,9.0,10.0,10.0,0.98,4.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,6.0,6.0,1.0,4.0,9.0,44.4,5.0,94.0,38.0,40.4,65.0,27.0,2.0,19.0,12.0,0.0,7.0,22.0,35.0,29.0,0.0,514.0,75.0,325.0,208.0,16.0,5.0,498.0,14.0,18.0,77.8,14.0,0.0,319.0,1691.0,948.0,15.0,3.0,0.0,3.0,6.0,333.0,320.0,96.1,0.0,0.0,12.0,13.0,0.0,0.0,2.0,0.0,80.0,29.0,20.0,59.2,2021
Christian Kabasele,be BEL,DF,Watford,30,1991,16.0,12.0,1193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.05,0.0,0.06,0.05,0.06,7.0,0.0,0.0,0.53,0.0,0.0,0.0,8.8,0.0,0.1,-0.7,-0.7,360.0,456.0,78.9,8264.0,2627.0,64.0,84.0,76.2,220.0,249.0,88.4,71.0,114.0,62.3,0.0,1.0,16.0,2.0,1.0,25.0,447.0,9.0,5.0,0.0,67.0,4.0,1.0,0.0,0.0,0.0,0.0,283.0,54.0,119.0,30.0,356.0,32.0,4.0,1.0,0.0,12.0,8.0,4.0,5.0,0.38,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,7.0,3.0,0.0,3.0,5.0,60.0,2.0,83.0,35.0,42.2,57.0,24.0,2.0,33.0,17.0,0.0,16.0,26.0,36.0,58.0,2.0,592.0,110.0,373.0,226.0,19.0,11.0,583.0,0.0,1.0,0.0,1.0,0.0,311.0,1463.0,604.0,13.0,0.0,0.0,0.0,4.0,324.0,320.0,98.8,2.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,116.0,50.0,17.0,74.6,2021
Samuel Kalu,ng NGA,FW,Watford,23,1997,4.0,2.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.12,0.06,0.18,0.12,0.18,4.0,1.0,25.0,1.62,0.41,0.0,0.0,21.9,1.0,0.07,-0.3,-0.3,54.0,65.0,83.1,804.0,194.0,35.0,36.0,97.2,12.0,16.0,75.0,5.0,11.0,45.5,-0.2,1.0,2.0,2.0,0.0,7.0,59.0,6.0,4.0,1.0,20.0,2.0,4.0,2.0,0.0,2.0,0.0,45.0,9.0,11.0,5.0,53.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,2.43,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,23.0,6.0,26.1,7.0,6.0,10.0,3.0,0.0,0.0,3.0,5.0,7.0,3.0,0.0,100.0,4.0,11.0,41.0,53.0,6.0,93.0,2.0,5.0,40.0,2.0,0.0,68.0,321.0,180.0,13.0,5.0,3.0,9.0,6.0,90.0,71.0,78.9,11.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,5.0,2.0,3.0,40.0,2021
Hassane Kamara,ci CIV,DF,Watford,27,1994,19.0,18.0,1623.0,1.0,0.0,1.0,0.0,0.0,5.0,1.0,0.06,0.0,0.06,0.06,0.06,0.2,0.2,0.4,0.01,0.02,0.03,0.01,0.03,5.0,1.0,20.0,0.28,0.06,0.2,1.0,25.3,0.0,0.03,0.8,0.8,636.0,905.0,70.3,10963.0,5092.0,289.0,342.0,84.5,286.0,368.0,77.7,48.0,142.0,33.8,-0.4,9.0,34.0,9.0,4.0,47.0,717.0,188.0,11.0,1.0,150.0,13.0,19.0,0.0,0.0,0.0,0.0,456.0,178.0,271.0,591.0,86.0,27.0,177.0,1.0,4.0,31.0,39.0,33.0,21.0,1.16,16.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,29.0,38.0,18.0,5.0,24.0,40.0,60.0,16.0,300.0,75.0,25.0,177.0,101.0,22.0,33.0,5.0,0.0,28.0,94.0,155.0,57.0,0.0,1161.0,86.0,531.0,514.0,181.0,10.0,977.0,18.0,34.0,52.9,19.0,1.0,608.0,3262.0,1512.0,49.0,17.0,3.0,11.0,9.0,552.0,510.0,92.4,16.0,1.0,27.0,17.0,0.0,0.0,1.0,0.0,184.0,41.0,13.0,75.9,2021
Harry Kane,eng ENG,FW,Tottenham,28,1993,37.0,36.0,3232.0,17.0,9.0,13.0,4.0,4.0,5.0,0.0,0.47,0.25,0.72,0.36,0.61,20.1,17.1,9.0,0.56,0.25,0.81,0.48,0.73,131.0,51.0,38.9,3.65,1.42,0.1,0.25,16.9,8.0,0.13,-3.1,-4.1,659.0,952.0,69.2,13093.0,4065.0,287.0,372.0,77.2,234.0,314.0,74.5,120.0,189.0,63.5,0.0,49.0,91.0,41.0,8.0,117.0,896.0,56.0,7.0,19.0,254.0,38.0,40.0,0.0,0.0,0.0,0.0,570.0,183.0,199.0,92.0,744.0,32.0,14.0,7.0,12.0,14.0,64.0,65.0,117.0,3.26,86.0,2.0,10.0,11.0,6.0,2.0,21.0,0.58,17.0,0.0,1.0,3.0,0.0,0.0,19.0,10.0,3.0,11.0,5.0,8.0,25.0,32.0,17.0,378.0,110.0,29.1,27.0,150.0,201.0,22.0,9.0,1.0,13.0,7.0,26.0,38.0,0.0,1434.0,47.0,149.0,731.0,660.0,194.0,1370.0,62.0,102.0,60.8,67.0,10.0,1003.0,5290.0,2479.0,137.0,48.0,26.0,87.0,73.0,1755.0,1106.0,63.0,289.0,0.0,46.0,70.0,17.0,0.0,0.0,0.0,150.0,95.0,106.0,47.3,2021
N'Golo Kanté,fr FRA,MF,Chelsea,30,1991,26.0,21.0,1773.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,0.1,0.2,0.3,0.1,0.3,1.8,1.8,2.3,0.09,0.12,0.21,0.09,0.21,17.0,9.0,52.9,0.86,0.46,0.12,0.22,18.6,0.0,0.11,0.2,0.2,1117.0,1282.0,87.1,18459.0,4685.0,569.0,629.0,90.5,437.0,495.0,88.3,87.0,111.0,78.4,1.7,23.0,101.0,30.0,0.0,117.0,1275.0,7.0,7.0,6.0,195.0,19.0,11.0,0.0,0.0,0.0,0.0,1046.0,123.0,113.0,136.0,1112.0,18.0,0.0,2.0,6.0,13.0,43.0,18.0,61.0,3.1,52.0,0.0,4.0,2.0,0.0,3.0,13.0,0.66,11.0,0.0,1.0,1.0,0.0,0.0,57.0,34.0,22.0,22.0,13.0,19.0,38.0,50.0,19.0,385.0,134.0,34.8,123.0,180.0,82.0,37.0,2.0,0.0,35.0,44.0,101.0,14.0,0.0,1521.0,31.0,293.0,824.0,514.0,37.0,1515.0,31.0,46.0,67.4,31.0,1.0,1117.0,5857.0,3347.0,148.0,53.0,7.0,27.0,34.0,1243.0,1155.0,92.9,79.0,0.0,30.0,26.0,0.0,0.0,0.0,0.0,176.0,18.0,19.0,48.6,2021
Edo Kayembe,cd COD,MF,Watford,22,1998,13.0,9.0,799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.02,0.03,0.06,0.02,0.06,6.0,0.0,0.0,0.68,0.0,0.0,0.0,28.8,0.0,0.03,-0.2,-0.2,365.0,428.0,85.3,7407.0,1788.0,144.0,158.0,91.1,151.0,169.0,89.3,67.0,85.0,78.8,-0.3,6.0,29.0,3.0,0.0,34.0,420.0,8.0,4.0,0.0,75.0,21.0,4.0,3.0,2.0,1.0,0.0,325.0,31.0,72.0,346.0,49.0,25.0,1.0,0.0,0.0,5.0,9.0,10.0,13.0,1.46,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,15.0,10.0,9.0,2.0,5.0,10.0,50.0,5.0,127.0,47.0,37.0,63.0,59.0,5.0,13.0,1.0,0.0,12.0,14.0,35.0,20.0,0.0,521.0,30.0,169.0,321.0,77.0,4.0,513.0,5.0,12.0,41.7,6.0,0.0,361.0,2203.0,1038.0,39.0,10.0,1.0,4.0,11.0,343.0,322.0,93.9,10.0,0.0,6.0,8.0,1.0,0.0,0.0,0.0,104.0,11.0,19.0,36.7,2021
Moise Kean,it ITA,FW,Everton,21,2000,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,17.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Michael Keane,eng ENG,DF,Everton,28,1993,32.0,31.0,2792.0,3.0,2.0,3.0,0.0,0.0,4.0,1.0,0.1,0.06,0.16,0.1,0.16,1.2,1.2,0.6,0.04,0.02,0.06,0.04,0.06,20.0,6.0,30.0,0.64,0.19,0.15,0.5,11.9,0.0,0.06,1.8,1.8,896.0,1154.0,77.6,21069.0,7053.0,264.0,311.0,84.9,402.0,473.0,85.0,221.0,350.0,63.1,1.4,4.0,76.0,5.0,0.0,73.0,1125.0,29.0,29.0,1.0,179.0,45.0,0.0,0.0,0.0,0.0,0.0,707.0,137.0,310.0,214.0,758.0,104.0,0.0,2.0,1.0,30.0,22.0,11.0,14.0,0.45,9.0,2.0,0.0,3.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,49.0,35.0,35.0,12.0,2.0,25.0,43.0,58.1,18.0,228.0,93.0,40.8,131.0,81.0,16.0,51.0,32.0,0.0,19.0,62.0,111.0,149.0,2.0,1486.0,242.0,801.0,694.0,61.0,29.0,1459.0,5.0,7.0,71.4,5.0,0.0,749.0,4121.0,1856.0,48.0,7.0,0.0,7.0,3.0,809.0,782.0,96.7,6.0,1.0,17.0,11.0,1.0,0.0,0.0,2.0,321.0,121.0,72.0,62.7,2021
Naby Keïta,gn GUI,MF,Liverpool,26,1995,23.0,14.0,1173.0,3.0,1.0,3.0,0.0,0.0,3.0,0.0,0.23,0.08,0.31,0.23,0.31,2.3,2.3,1.6,0.18,0.12,0.3,0.18,0.3,26.0,7.0,26.9,1.99,0.54,0.12,0.43,21.3,0.0,0.09,0.7,0.7,651.0,759.0,85.8,10374.0,2763.0,331.0,364.0,90.9,256.0,290.0,88.3,40.0,57.0,70.2,-0.6,16.0,61.0,22.0,0.0,78.0,743.0,16.0,2.0,1.0,117.0,3.0,7.0,0.0,0.0,0.0,0.0,614.0,75.0,70.0,100.0,621.0,19.0,4.0,8.0,2.0,8.0,27.0,11.0,43.0,3.3,33.0,0.0,3.0,4.0,0.0,3.0,6.0,0.46,4.0,0.0,1.0,1.0,0.0,0.0,47.0,28.0,19.0,19.0,9.0,18.0,35.0,51.4,17.0,321.0,107.0,33.3,74.0,161.0,86.0,24.0,2.0,0.0,22.0,20.0,67.0,4.0,0.0,930.0,14.0,136.0,532.0,317.0,39.0,914.0,15.0,25.0,60.0,16.0,1.0,650.0,3079.0,1814.0,92.0,27.0,10.0,23.0,10.0,758.0,669.0,88.3,36.0,0.0,30.0,14.0,0.0,0.0,0.0,0.0,128.0,8.0,16.0,33.3,2021
Caoimhín Kelleher,ie IRL,GK,Liverpool,22,1998,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,90.0,90.0,1869.0,742.0,17.0,17.0,100.0,50.0,50.0,100.0,14.0,23.0,60.9,0.0,0.0,0.0,0.0,0.0,0.0,70.0,20.0,7.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,5.0,12.0,25.0,53.0,0.0,0.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,72.0,94.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,53.0,160.0,93.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2021
Kenedy,br BRA,DF,Chelsea,25,1996,1.0,1.0,58.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,1.55,0.0,1.55,0.1,0.1,0.9,0.13,1.35,1.48,0.13,1.48,1.0,0.0,0.0,1.55,0.0,0.0,0.0,17.0,0.0,0.08,-0.1,-0.1,38.0,49.0,77.6,637.0,193.0,17.0,21.0,81.0,18.0,20.0,90.0,2.0,5.0,40.0,0.1,2.0,1.0,4.0,0.0,7.0,46.0,3.0,0.0,1.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,36.0,7.0,6.0,41.0,3.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,3.0,4.66,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.55,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,9.0,2.0,22.2,1.0,5.0,3.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,60.0,2.0,9.0,24.0,30.0,3.0,57.0,0.0,1.0,0.0,0.0,0.0,44.0,161.0,76.0,5.0,1.0,1.0,1.0,2.0,47.0,45.0,95.7,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,2021
Jonjoe Kenny,eng ENG,DF,Everton,24,1997,15.0,11.0,1018.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.09,0.09,0.0,0.09,0.3,0.3,0.5,0.03,0.05,0.08,0.03,0.08,5.0,0.0,0.0,0.44,0.0,0.0,0.0,23.8,0.0,0.06,-0.3,-0.3,352.0,473.0,74.4,6446.0,2833.0,166.0,183.0,90.7,139.0,188.0,73.9,44.0,85.0,51.8,0.5,11.0,31.0,9.0,6.0,31.0,380.0,93.0,4.0,0.0,74.0,8.0,15.0,0.0,0.0,0.0,0.0,240.0,102.0,131.0,21.0,329.0,25.0,89.0,1.0,4.0,14.0,19.0,11.0,20.0,1.77,15.0,2.0,2.0,1.0,0.0,0.0,2.0,0.18,2.0,0.0,0.0,0.0,0.0,0.0,19.0,12.0,9.0,9.0,1.0,14.0,28.0,50.0,14.0,141.0,51.0,36.2,64.0,64.0,13.0,17.0,2.0,0.0,15.0,32.0,51.0,21.0,0.0,581.0,36.0,169.0,277.0,160.0,11.0,488.0,3.0,9.0,33.3,3.0,1.0,304.0,1250.0,634.0,31.0,14.0,4.0,4.0,4.0,313.0,288.0,92.0,12.0,1.0,11.0,6.0,1.0,0.0,0.0,0.0,93.0,13.0,16.0,44.8,2021
Max Kilman,eng ENG,DF,Wolves,24,1997,30.0,30.0,2687.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.03,0.0,0.03,0.03,0.03,1.0,1.0,0.0,0.03,0.0,0.03,0.03,0.03,13.0,4.0,30.8,0.44,0.13,0.08,0.25,8.8,0.0,0.08,0.0,0.0,1279.0,1476.0,86.7,26905.0,9568.0,410.0,449.0,91.3,655.0,711.0,92.1,206.0,297.0,69.4,0.0,2.0,90.0,3.0,0.0,92.0,1440.0,36.0,25.0,1.0,153.0,44.0,2.0,0.0,0.0,0.0,0.0,1121.0,114.0,241.0,1012.0,331.0,77.0,11.0,3.0,2.0,18.0,21.0,15.0,9.0,0.3,6.0,0.0,1.0,1.0,0.0,1.0,1.0,0.03,0.0,0.0,0.0,1.0,0.0,0.0,53.0,33.0,40.0,13.0,0.0,20.0,33.0,60.6,13.0,240.0,92.0,38.3,159.0,70.0,11.0,52.0,21.0,0.0,31.0,64.0,117.0,118.0,1.0,1778.0,214.0,950.0,844.0,105.0,22.0,1743.0,13.0,17.0,76.5,14.0,0.0,1145.0,6267.0,3616.0,110.0,26.0,1.0,9.0,9.0,1206.0,1181.0,97.9,7.0,0.0,22.0,16.0,0.0,0.0,1.0,0.0,238.0,86.0,43.0,66.7,2021
Joshua King,no NOR,FW,Watford,29,1992,32.0,27.0,2248.0,5.0,3.0,4.0,1.0,1.0,5.0,0.0,0.2,0.12,0.32,0.16,0.28,8.0,7.2,3.2,0.32,0.13,0.45,0.29,0.42,48.0,18.0,37.5,1.92,0.72,0.08,0.22,14.7,0.0,0.15,-3.0,-3.2,387.0,524.0,73.9,5865.0,1126.0,210.0,261.0,80.5,146.0,200.0,73.0,19.0,28.0,67.9,-0.2,35.0,26.0,13.0,2.0,30.0,487.0,37.0,0.0,4.0,183.0,7.0,24.0,0.0,0.0,0.0,0.0,331.0,101.0,92.0,29.0,383.0,25.0,1.0,17.0,4.0,8.0,23.0,19.0,60.0,2.4,46.0,0.0,4.0,4.0,5.0,1.0,7.0,0.28,5.0,0.0,1.0,1.0,0.0,0.0,31.0,21.0,6.0,17.0,8.0,5.0,16.0,31.3,11.0,486.0,134.0,27.6,69.0,221.0,196.0,21.0,5.0,0.0,16.0,12.0,43.0,27.0,0.0,864.0,37.0,107.0,421.0,389.0,121.0,826.0,36.0,67.0,53.7,38.0,4.0,526.0,2795.0,1559.0,82.0,24.0,25.0,94.0,43.0,1104.0,600.0,54.3,162.0,0.0,44.0,25.0,8.0,1.0,0.0,0.0,105.0,93.0,127.0,42.3,2021
Kristoffer Klaesson,no NOR,GK,Leeds United,20,2000,1.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,81.8,250.0,164.0,2.0,2.0,100.0,3.0,3.0,100.0,4.0,6.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,3.0,8.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,14.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,5.0,28.0,11.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2021
Mateusz Klich,pl POL,MF,Leeds United,31,1990,33.0,26.0,2073.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.04,0.09,0.13,0.04,0.13,2.7,2.7,2.2,0.12,0.09,0.21,0.12,0.21,42.0,18.0,42.9,1.82,0.78,0.02,0.06,20.3,0.0,0.07,-1.7,-1.7,786.0,1004.0,78.3,12287.0,3652.0,427.0,482.0,88.6,264.0,331.0,79.8,57.0,121.0,47.1,-0.2,30.0,69.0,25.0,3.0,93.0,966.0,38.0,18.0,3.0,142.0,15.0,28.0,2.0,0.0,0.0,0.0,730.0,119.0,155.0,81.0,851.0,48.0,11.0,8.0,4.0,20.0,37.0,26.0,68.0,2.95,54.0,3.0,3.0,4.0,3.0,1.0,6.0,0.26,5.0,0.0,0.0,1.0,0.0,0.0,49.0,26.0,18.0,24.0,7.0,19.0,66.0,28.8,47.0,595.0,150.0,25.2,178.0,312.0,105.0,24.0,6.0,0.0,18.0,31.0,80.0,24.0,0.0,1244.0,39.0,280.0,627.0,412.0,59.0,1207.0,19.0,29.0,65.5,21.0,1.0,826.0,4458.0,2115.0,103.0,34.0,6.0,24.0,31.0,1005.0,827.0,82.3,128.0,0.0,45.0,19.0,2.0,0.0,1.0,0.0,226.0,8.0,20.0,28.6,2021
Robin Koch,de GER,"MF,DF",Leeds United,25,1996,20.0,17.0,1574.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.5,0.04,0.03,0.07,0.04,0.07,12.0,1.0,8.3,0.69,0.06,0.0,0.0,14.8,0.0,0.06,-0.7,-0.7,531.0,681.0,78.0,10668.0,3199.0,175.0,214.0,81.8,266.0,316.0,84.2,79.0,121.0,65.3,-0.5,6.0,33.0,6.0,0.0,37.0,658.0,23.0,8.0,0.0,129.0,15.0,2.0,0.0,0.0,0.0,0.0,430.0,95.0,156.0,66.0,513.0,44.0,15.0,3.0,1.0,11.0,22.0,16.0,18.0,1.03,16.0,0.0,0.0,1.0,1.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,31.0,20.0,15.0,11.0,5.0,12.0,36.0,33.3,24.0,299.0,100.0,33.4,135.0,131.0,33.0,33.0,11.0,1.0,22.0,34.0,65.0,46.0,0.0,862.0,116.0,400.0,397.0,95.0,17.0,840.0,4.0,5.0,80.0,4.0,0.0,426.0,1558.0,702.0,20.0,7.0,1.0,10.0,7.0,536.0,495.0,92.4,14.0,0.0,25.0,11.0,0.0,0.0,0.0,0.0,168.0,54.0,47.0,53.5,2021
Sead Kolašinac,ba BIH,DF,Arsenal,28,1993,2.0,1.0,91.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,13.0,76.9,167.0,64.0,4.0,4.0,100.0,5.0,8.0,62.5,1.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,3.0,8.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,25.0,7.0,3.0,2.0,2.0,0.0,0.0,2.0,4.0,5.0,8.0,0.0,27.0,8.0,19.0,8.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,15.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,87.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,66.7,2021
Ibrahima Konaté,fr FRA,DF,Liverpool,22,1999,11.0,11.0,990.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.02,0.01,0.03,0.02,0.03,4.0,0.0,0.0,0.36,0.0,0.0,0.0,9.0,0.0,0.06,-0.3,-0.3,655.0,728.0,90.0,13686.0,4843.0,171.0,186.0,91.9,386.0,407.0,94.8,91.0,120.0,75.8,-0.1,1.0,50.0,5.0,0.0,48.0,718.0,10.0,8.0,1.0,68.0,10.0,0.0,0.0,0.0,0.0,0.0,589.0,54.0,85.0,37.0,623.0,42.0,2.0,4.0,1.0,4.0,9.0,5.0,6.0,0.55,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.18,2.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,6.0,7.0,1.0,3.0,7.0,42.9,4.0,86.0,23.0,26.7,44.0,36.0,6.0,15.0,10.0,1.0,5.0,28.0,42.0,47.0,0.0,830.0,81.0,365.0,487.0,21.0,6.0,821.0,3.0,3.0,100.0,3.0,0.0,555.0,2786.0,1647.0,46.0,3.0,0.0,2.0,2.0,578.0,569.0,98.4,2.0,0.0,13.0,3.0,0.0,0.0,0.0,0.0,128.0,41.0,16.0,71.9,2021
