player,minute,squad,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type,date,squad_h,squad_a
Alexandre Lacazette,2.0,Arsenal,Goal,12,Head,0,Mohamed Elneny,Pass (Live),Héctor Bellerín,Pass (Live),2017-08-11,Arsenal,Leicester City
Riyad Mahrez,3.0,Leicester City,Off Target,17,Left Foot,Half volley,0,0,0,0,2017-08-11,Arsenal,Leicester City
Shinji Okazaki,5.0,Leicester City,Goal,3,Head,0,Harry Maguire,Pass (Live),Marc Albrighton,Pass (Live),2017-08-11,Arsenal,Leicester City
Alex Oxlade-Chamberlain,8.0,Arsenal,Off Target,22,Left Foot,0,Alex Oxlade-Chamberlain,Fouled,Mesut Özil,Pass (Live),2017-08-11,Arsenal,Leicester City
Alex Oxlade-Chamberlain,14.0,Arsenal,Saved,23,Right Foot,0,Mesut Özil,Pass (Live),Granit Xhaka,Pass (Live),2017-08-11,Arsenal,Leicester City
Danny Welbeck,22.0,Arsenal,Blocked,10,Left Foot,0,Mesut Özil,Pass (Live),Danny Welbeck,Pass (Live),2017-08-11,Arsenal,Leicester City
Granit Xhaka,22.0,Arsenal,Blocked,40,Left Foot,0,Mohamed Elneny,Pass (Live),Héctor Bellerín,Pass (Live),2017-08-11,Arsenal,Leicester City
Danny Welbeck,26.0,Arsenal,Blocked,15,Right Foot,0,Mesut Özil,Pass (Live),Danny Welbeck,Pass (Live),2017-08-11,Arsenal,Leicester City
Sead Kolašinac,27.0,Arsenal,Saved,16,Left Foot,"Deflected, Half volley",Alexandre Lacazette,Pass (Live),Granit Xhaka,Pass (Live),2017-08-11,Arsenal,Leicester City
Mohamed Elneny,27.0,Arsenal,Off Target,27,Right Foot,Half volley,0,0,0,0,2017-08-11,Arsenal,Leicester City
Jamie Vardy,29.0,Leicester City,Goal,5,Right Foot,"Open goal, Half volley",Marc Albrighton,Pass (Live),Marc Albrighton,Interception,2017-08-11,Arsenal,Leicester City
Shinji Okazaki,33.0,Leicester City,Off Target,9,Head,0,Christian Fuchs,Pass (Live),0,0,2017-08-11,Arsenal,Leicester City
Granit Xhaka,38.0,Arsenal,Blocked,33,Left Foot,0,Mesut Özil,Pass (Dead),Mesut Özil,Fouled,2017-08-11,Arsenal,Leicester City
Alexandre Lacazette,45.2,Arsenal,Blocked,16,Right Foot,0,Mesut Özil,Pass (Live),Granit Xhaka,Pass (Live),2017-08-11,Arsenal,Leicester City
Danny Welbeck,45.2,Arsenal,Goal,8,Right Foot,0,Sead Kolašinac,Pass (Live),Alexandre Lacazette,Shot,2017-08-11,Arsenal,Leicester City
Mesut Özil,49.0,Arsenal,Off Target,26,Left Foot,0,Héctor Bellerín,Pass (Live),Mesut Özil,Pass (Live),2017-08-11,Arsenal,Leicester City
Riyad Mahrez,55.0,Leicester City,Saved,22,Right Foot,0,0,0,0,0,2017-08-11,Arsenal,Leicester City
Jamie Vardy,56.0,Leicester City,Goal,6,Head,0,Riyad Mahrez,Pass (Dead),Riyad Mahrez,Shot,2017-08-11,Arsenal,Leicester City
Alex Oxlade-Chamberlain,59.0,Arsenal,Saved,22,Right Foot,0,Danny Welbeck,Pass (Live),Alex Oxlade-Chamberlain,Pass (Live),2017-08-11,Arsenal,Leicester City
Héctor Bellerín,62.0,Arsenal,Saved,9,Right Foot,0,Danny Welbeck,Pass (Live),Mohamed Elneny,Pass (Live),2017-08-11,Arsenal,Leicester City
Aaron Ramsey,68.0,Arsenal,Off Target,8,Head,0,Alexandre Lacazette,Pass (Live),Mesut Özil,Pass (Live),2017-08-11,Arsenal,Leicester City
Granit Xhaka,70.0,Arsenal,Saved,23,Left Foot,Half volley,Alexandre Lacazette,Pass (Live),Héctor Bellerín,Pass (Live),2017-08-11,Arsenal,Leicester City
Mesut Özil,71.0,Arsenal,Blocked,16,Left Foot,0,Alexandre Lacazette,Pass (Live),Granit Xhaka,Pass (Live),2017-08-11,Arsenal,Leicester City
Alex Oxlade-Chamberlain,74.0,Arsenal,Blocked,24,Right Foot,0,Aaron Ramsey,Pass (Live),Héctor Bellerín,Pass (Live),2017-08-11,Arsenal,Leicester City
Alex Oxlade-Chamberlain,74.0,Arsenal,Blocked,34,Right Foot,0,Héctor Bellerín,Pass (Live),Granit Xhaka,Pass (Dead),2017-08-11,Arsenal,Leicester City
Mesut Özil,74.0,Arsenal,Off Target,13,Left Foot,Half volley,Alex Oxlade-Chamberlain,Pass (Live),Petr Čech,Pass (Live),2017-08-11,Arsenal,Leicester City
Alex Oxlade-Chamberlain,79.0,Arsenal,Off Target,26,Right Foot,0,Granit Xhaka,Pass (Live),Granit Xhaka,Dribble,2017-08-11,Arsenal,Leicester City
Granit Xhaka,81.0,Arsenal,Blocked,35,Left Foot,0,Alex Oxlade-Chamberlain,Pass (Live),Theo Walcott,Pass (Live),2017-08-11,Arsenal,Leicester City
Aaron Ramsey,81.0,Arsenal,Off Target,10,Head,0,Granit Xhaka,Pass (Dead),Granit Xhaka,Shot,2017-08-11,Arsenal,Leicester City
Aaron Ramsey,83.0,Arsenal,Goal,10,Right Foot,0,Granit Xhaka,Pass (Live),0,0,2017-08-11,Arsenal,Leicester City
Alexandre Lacazette,85.0,Arsenal,Saved,9,Left Foot,Deflected,Alexandre Lacazette,Dribble,Olivier Giroud,Pass (Live),2017-08-11,Arsenal,Leicester City
Olivier Giroud,85.0,Arsenal,Goal,8,Head,0,Granit Xhaka,Pass (Dead),Alexandre Lacazette,Shot,2017-08-11,Arsenal,Leicester City
Aaron Ramsey,90.5,Arsenal,Off Target,28,Right Foot,Half volley,Granit Xhaka,Pass (Live),0,0,2017-08-11,Arsenal,Leicester City
Roberto Pereyra,7.0,Watford,Blocked,13,Left Foot,0,Roberto Pereyra,Dribble,Stefano Okaka,Pass (Live),2017-08-12,Watford,Liverpool
Stefano Okaka,8.0,Watford,Goal,4,Head,0,José Holebas,Pass (Dead),Roberto Pereyra,Shot,2017-08-12,Watford,Liverpool
Sadio Mané,29.0,Liverpool,Goal,10,Right Foot,0,Emre Can,Pass (Live),Sadio Mané,Pass (Live),2017-08-12,Watford,Liverpool
Abdoulaye Doucouré,32.0,Watford,Goal,5,Right Foot,0,0,0,0,0,2017-08-12,Watford,Liverpool
Nathaniel Chalobah,37.0,Watford,Off Target,58,Right Foot,0,Abdoulaye Doucouré,Fouled,Abdoulaye Doucouré,Pass (Live),2017-08-12,Watford,Liverpool
Mohamed Salah,38.0,Liverpool,Off Target,13,Left Foot,0,0,0,0,0,2017-08-12,Watford,Liverpool
Sadio Mané,45.3,Liverpool,Off Target,7,Head,0,Roberto Firmino,Pass (Dead),0,0,2017-08-12,Watford,Liverpool
Mohamed Salah,49.0,Liverpool,Off Target,18,Left Foot,0,Georginio Wijnaldum,Pass (Live),Emre Can,Pass (Live),2017-08-12,Watford,Liverpool
