player,minute,squad,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type,date,squad_h,squad_a
Marco Stiepermann,5.0,Norwich City,Off Target,16,Left Foot,0,Teemu Pukki,Pass (Live),Teemu Pukki,Interception,2019-08-09,Liverpool,Norwich City
Marco Stiepermann,10.0,Norwich City,Off Target,17,Left Foot,0,Teemu Pukki,Pass (Live),Jamal Lewis,Pass (Live),2019-08-09,Liverpool,Norwich City
Teemu Pukki,15.0,Norwich City,Blocked,14,Left Foot,0,Jamal Lewis,Pass (Live),Tom Trybull,Pass (Live),2019-08-09,Liverpool,Norwich City
Teemu Pukki,15.0,Norwich City,Wayward,10,Left Foot,0,Todd Cantwell,Pass (Live),Emi Buendía,Pass (Live),2019-08-09,Liverpool,Norwich City
Andrew Robertson,16.0,Liverpool,Off Target,20,Left Foot,0,Divock Origi,Pass (Live),0,0,2019-08-09,Liverpool,Norwich City
Mohamed Salah,19.0,Liverpool,Goal,9,Left Foot,0,Roberto Firmino,Pass (Live),0,0,2019-08-09,Liverpool,Norwich City
Emi Buendía,25.0,Norwich City,Saved,22,Left Foot,0,Todd Cantwell,Pass (Live),0,0,2019-08-09,Liverpool,Norwich City
Marco Stiepermann,26.0,Norwich City,Saved,22,Left Foot,Half volley,Emi Buendía,Pass (Live),Max Aarons,Pass (Live),2019-08-09,Liverpool,Norwich City
Virgil van Dijk,28.0,Liverpool,Goal,8,Head,0,Mohamed Salah,Pass (Dead),Georginio Wijnaldum,Pass (Live),2019-08-09,Liverpool,Norwich City
Roberto Firmino,31.0,Liverpool,Saved,13,Left Foot,Volley,Trent Alexander-Arnold,Pass (Live),0,0,2019-08-09,Liverpool,Norwich City
Tom Trybull,35.0,Norwich City,Off Target,11,Head,0,Emi Buendía,Pass (Dead),0,0,2019-08-09,Liverpool,Norwich City
Divock Origi,42.0,Liverpool,Goal,11,Head,0,Trent Alexander-Arnold,Pass (Live),Jordan Henderson,Pass (Live),2019-08-09,Liverpool,Norwich City
Roberto Firmino,45.2,Liverpool,Blocked,21,Left Foot,0,Andrew Robertson,Tackle,0,0,2019-08-09,Liverpool,Norwich City
Jordan Henderson,48.0,Liverpool,Saved to Post,13,Right Foot,0,Roberto Firmino,Pass (Live),Divock Origi,Pass (Live),2019-08-09,Liverpool,Norwich City
Roberto Firmino,48.0,Liverpool,Off Target,3,Left Foot,Half volley,Trent Alexander-Arnold,Pass (Live),Mohamed Salah,Pass (Live),2019-08-09,Liverpool,Norwich City
Mohamed Salah,54.0,Liverpool,Off Target,16,Left Foot,0,Fabinho,Tackle,0,0,2019-08-09,Liverpool,Norwich City
Jordan Henderson,55.0,Liverpool,Blocked,17,Right Foot,0,Mohamed Salah,Pass (Live),Divock Origi,Pass (Live),2019-08-09,Liverpool,Norwich City
Fabinho,55.0,Liverpool,Saved,29,Right Foot,0,Jordan Henderson,Shot,0,0,2019-08-09,Liverpool,Norwich City
Andrew Robertson,58.0,Liverpool,Off Target,24,Left Foot,0,0,0,0,0,2019-08-09,Liverpool,Norwich City
Moritz Leitner,62.0,Norwich City,Woodwork,15,Right Foot,0,Todd Cantwell,Pass (Live),Moritz Leitner,Pass (Live),2019-08-09,Liverpool,Norwich City
