date,time,squad_h,squad_a,stadium,referee,attendance
2017-08-11,19:45 ,Arsenal,Leicester City,Emirates Stadium,Mike Dean,59387
2017-08-12,12:30 ,Watford,Liverpool,Vicarage Road Stadium,Anthony Taylor,20407
2017-08-12,15:00 ,West Brom,Bournemouth,The Hawthorns,Robert Madley,25011
2017-08-12,15:00 ,Everton,Stoke City,Goodison Park,Niel Swarbrick,39045
2017-08-12,15:00 ,Southampton,Swansea City,St. Mary's Stadium,Mike Jones,31447
2017-08-12,15:00 ,Chelsea,Burnley,Stamford Bridge,Craig Pawson,41616
2017-08-12,15:00 ,Crystal Palace,Huddersfield,Selhurst Park,Jonathan Moss,25448
2017-08-12,17:30 ,Brighton,Manchester City,The American Express Community Stadium,Michael Oliver,30415
2017-08-13,13:30 ,Newcastle Utd,Tottenham,St. James' Park,Andre Marriner,52077
2017-08-13,16:00 ,Manchester Utd,West Ham,Old Trafford,Martin Atkinson,74928
2017-08-19,12:30 ,Swansea City,Manchester Utd,Liberty Stadium,Jonathan Moss,20862
2017-08-19,15:00 ,Southampton,West Ham,St. Mary's Stadium,Lee Mason,31424
2017-08-19,15:00 ,Leicester City,Brighton,King Power Stadium,Lee Probert,31902
2017-08-19,15:00 ,Bournemouth,Watford,Vitality Stadium,Roger East,10501
2017-08-19,15:00 ,Burnley,West Brom,Turf Moor,Martin Atkinson,19619
2017-08-19,15:00 ,Liverpool,Crystal Palace,Anfield,Kevin Friend,53138
2017-08-19,17:30 ,Stoke City,Arsenal,Bet365 Stadium,Andre Marriner,29459
2017-08-20,13:30 ,Huddersfield,Newcastle Utd,The John Smith's Stadium,Craig Pawson,24128
2017-08-20,16:00 ,Tottenham,Chelsea,Wembley Stadium,Anthony Taylor,73587
2017-08-21,20:00 ,Manchester City,Everton,Etihad Stadium,Robert Madley,49108
2017-08-26,12:30 ,Bournemouth,Manchester City,Vitality Stadium,Mike Dean,10419
2017-08-26,15:00 ,Crystal Palace,Swansea City,Selhurst Park,Andre Marriner,23477
2017-08-26,15:00 ,Huddersfield,Southampton,The John Smith's Stadium,Stuart Attwell,23548
2017-08-26,15:00 ,Watford,Brighton,Vicarage Road Stadium,Graham Scott,20181
2017-08-26,15:00 ,Newcastle Utd,West Ham,St. James' Park,Niel Swarbrick,52093
2017-08-26,17:30 ,Manchester Utd,Leicester City,Old Trafford,Michael Oliver,75021
2017-08-27,13:30 ,West Brom,Stoke City,The Hawthorns,Anthony Taylor,22704
2017-08-27,13:30 ,Chelsea,Everton,Stamford Bridge,Jonathan Moss,41382
2017-08-27,16:00 ,Tottenham,Burnley,Wembley Stadium,Lee Mason,67862
2017-08-27,16:00 ,Liverpool,Arsenal,Anfield,Craig Pawson,53206
2017-09-09,12:30 ,Manchester City,Liverpool,Etihad Stadium,Jonathan Moss,54172
2017-09-09,15:00 ,Southampton,Watford,St. Mary's Stadium,Lee Probert,31435
2017-09-09,15:00 ,Brighton,West Brom,The American Express Community Stadium,Chris Kavanagh,30381
2017-09-09,15:00 ,Leicester City,Chelsea,King Power Stadium,Lee Mason,30923
2017-09-09,15:00 ,Everton,Tottenham,Goodison Park,Graham Scott,38835
2017-09-09,15:00 ,Arsenal,Bournemouth,Emirates Stadium,Anthony Taylor,59262
2017-09-09,17:30 ,Stoke City,Manchester Utd,Bet365 Stadium,Niel Swarbrick,29320
2017-09-10,13:30 ,Burnley,Crystal Palace,Turf Moor,Michael Oliver,18862
2017-09-10,16:00 ,Swansea City,Newcastle Utd,Liberty Stadium,Mike Jones,20872
2017-09-11,20:00 ,West Ham,Huddersfield,London Stadium,Kevin Friend,56977
2017-09-15,20:00 ,Bournemouth,Brighton,Vitality Stadium,Craig Pawson,10369
2017-09-16,12:30 ,Crystal Palace,Southampton,Selhurst Park,Robert Madley,24199
2017-09-16,15:00 ,Liverpool,Burnley,Anfield,Roger East,53231
2017-09-16,15:00 ,Watford,Manchester City,Vicarage Road Stadium,Anthony Taylor,20305
2017-09-16,15:00 ,West Brom,West Ham,The Hawthorns,Paul Tierney,24942
2017-09-16,15:00 ,Huddersfield,Leicester City,The John Smith's Stadium,Jonathan Moss,24129
2017-09-16,15:00 ,Newcastle Utd,Stoke City,St. James' Park,Stuart Attwell,51795
2017-09-16,17:30 ,Tottenham,Swansea City,Wembley Stadium,Mike Dean,65366
2017-09-17,13:30 ,Chelsea,Arsenal,Stamford Bridge,Michael Oliver,41478
2017-09-17,16:00 ,Manchester Utd,Everton,Old Trafford,Andre Marriner,75042
2017-09-23,12:30 ,West Ham,Tottenham,London Stadium,Michael Oliver,56988
2017-09-23,15:00 ,Southampton,Manchester Utd,St. Mary's Stadium,Craig Pawson,31930
2017-09-23,15:00 ,Burnley,Huddersfield,Turf Moor,Chris Kavanagh,20759
2017-09-23,15:00 ,Everton,Bournemouth,Goodison Park,Martin Atkinson,38133
2017-09-23,15:00 ,Swansea City,Watford,Liberty Stadium,Lee Mason,20372
2017-09-23,15:00 ,Stoke City,Chelsea,Bet365 Stadium,Mike Dean,29661
2017-09-23,15:00 ,Manchester City,Crystal Palace,Etihad Stadium,Niel Swarbrick,53526
2017-09-23,17:30 ,Leicester City,Liverpool,King Power Stadium,Anthony Taylor,32004
2017-09-24,16:00 ,Brighton,Newcastle Utd,The American Express Community Stadium,Andre Marriner,30468
2017-09-25,20:00 ,Arsenal,West Brom,Emirates Stadium,Robert Madley,59134
2017-09-30,12:30 ,Huddersfield,Tottenham,The John Smith's Stadium,Niel Swarbrick,24169
2017-09-30,15:00 ,Stoke City,Southampton,Bet365 Stadium,Mike Jones,29285
2017-09-30,15:00 ,Manchester Utd,Crystal Palace,Old Trafford,Mike Dean,75118
2017-09-30,15:00 ,Bournemouth,Leicester City,Vitality Stadium,Graham Scott,10444
2017-09-30,15:00 ,West Brom,Watford,The Hawthorns,Michael Oliver,24606
2017-09-30,15:00 ,West Ham,Swansea City,London Stadium,Roger East,56922
2017-09-30,17:30 ,Chelsea,Manchester City,Stamford Bridge,Martin Atkinson,41530
2017-10-01,12:00 ,Arsenal,Brighton,Emirates Stadium,Kevin Friend,59378
2017-10-01,14:15 ,Everton,Burnley,Goodison Park,Jonathan Moss,38448
2017-10-01,16:30 ,Newcastle Utd,Liverpool,St. James' Park,Craig Pawson,52303
2017-10-14,12:30 ,Liverpool,Manchester Utd,Anfield,Martin Atkinson,52912
2017-10-14,15:00 ,Tottenham,Bournemouth,Wembley Stadium,Robert Madley,73502
2017-10-14,15:00 ,Swansea City,Huddersfield,Liberty Stadium,Paul Tierney,20657
2017-10-14,15:00 ,Crystal Palace,Chelsea,Selhurst Park,Andre Marriner,25480
2017-10-14,15:00 ,Manchester City,Stoke City,Etihad Stadium,Craig Pawson,54128
2017-10-14,15:00 ,Burnley,West Ham,Turf Moor,Stuart Attwell,20945
2017-10-14,17:30 ,Watford,Arsenal,Vicarage Road Stadium,Niel Swarbrick,20384
2017-10-15,13:30 ,Brighton,Everton,The American Express Community Stadium,Michael Oliver,30565
2017-10-15,16:00 ,Southampton,Newcastle Utd,St. Mary's Stadium,Kevin Friend,31437
2017-10-16,20:00 ,Leicester City,West Brom,King Power Stadium,Mike Dean,30203
2017-10-20,20:00 ,West Ham,Brighton,London Stadium,Martin Atkinson,56977
2017-10-21,12:30 ,Chelsea,Watford,Stamford Bridge,Jonathan Moss,41467
2017-10-21,15:00 ,Swansea City,Leicester City,Liberty Stadium,Michael Oliver,20521
