Player,Nation,Age,Min,SoTA,GA,Shot Stopping Saves,Shot Stopping Save%,Shot Stopping PSxG,Launched Cmp,Launched Att,Launched Cmp%,Passes Att,Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper AvgDist,home,date,squad_h,squad_a
Jonas Lössl,dk DEN,28-304,90.0,4,2,2,50.0,1.9,12,26,46.2,33,2,66.7,52.3,4,100.0,69.3,4,0,0.0,4,24.8,0.0,2017-12-02,Everton,Huddersfield
Heurelho Gomes,br BRA,36-290,90.0,2,1,1,50.0,1.0,8,18,44.4,26,7,61.5,49.3,3,66.7,56.0,9,2,22.2,1,10.8,1.0,2017-12-02,Watford,Tottenham
Hugo Lloris,fr FRA,30-341,90.0,2,1,1,50.0,0.8,9,11,81.8,21,9,38.1,35.6,5,60.0,39.4,13,2,15.4,0,11.7,0.0,2017-12-02,Watford,Tottenham
Mathew Ryan,au AUS,25-238,90.0,6,5,2,16.7,2.3,12,18,66.7,24,5,50.0,40.0,7,85.7,56.4,6,0,0.0,0,8.7,1.0,2017-12-02,Brighton,Liverpool
Simon Mignolet,be BEL,29-271,90.0,1,1,1,100.0,1.5,4,13,30.8,32,2,34.4,32.8,7,28.6,33.1,9,1,11.1,0,12.0,0.0,2017-12-02,Brighton,Liverpool
Kasper Schmeichel,dk DEN,31-027,90.0,5,0,5,100.0,0.4,13,33,39.4,29,2,82.8,56.0,9,100.0,69.3,12,1,8.3,0,13.0,1.0,2017-12-02,Leicester City,Burnley
Nick Pope,eng ENG,25-227,90.0,3,1,2,66.7,1.1,8,20,40.0,23,7,56.5,44.8,7,100.0,76.9,13,3,23.1,0,11.6,0.0,2017-12-02,Leicester City,Burnley
Ben Foster,eng ENG,34-243,90.0,1,0,1,100.0,0.1,6,17,35.3,17,2,58.8,44.1,7,100.0,71.0,5,0,0.0,0,15.0,1.0,2017-12-02,West Brom,Crystal Palace
Julián Speroni,ar ARG,38-198,90.0,4,0,4,100.0,0.3,13,32,40.6,24,3,83.3,55.5,12,100.0,62.8,17,1,5.9,1,9.6,0.0,2017-12-02,West Brom,Crystal Palace
Jack Butland,eng ENG,24-267,90.0,3,1,2,66.7,0.5,14,25,56.0,24,2,66.7,52.9,9,100.0,65.3,15,0,0.0,1,19.5,1.0,2017-12-02,Stoke City,Swansea City
