Player,Nation,Age,Min,SoTA,GA,Shot Stopping Saves,Shot Stopping Save%,Shot Stopping PSxG,Launched Cmp,Launched Att,Launched Cmp%,Passes Att,Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper AvgDist,home,date,squad_h,squad_a
Alisson,br BRA,26-053,90.0,1,0,1,100.0,0.5,2,8,25.0,19,4,10.5,28.4,7,85.7,59.3,4,0,0.0,0,15.3,0.0,2018-11-24,Watford,Liverpool
Łukasz Fabiański,pl POL,33-220,90.0,6,4,2,33.3,2.8,11,22,50.0,23,3,73.9,51.2,6,83.3,71.5,3,1,33.3,1,13.0,1.0,2018-11-24,West Ham,Manchester City
Ederson,br BRA,25-099,90.0,1,0,1,100.0,0.1,6,16,37.5,27,3,33.3,35.1,9,77.8,57.4,6,0,0.0,0,8.2,0.0,2018-11-24,West Ham,Manchester City
Hugo Lloris,fr FRA,31-333,90.0,2,1,1,50.0,0.8,13,26,50.0,23,3,69.6,48.7,10,100.0,62.8,18,0,0.0,0,11.4,1.0,2018-11-24,Tottenham,Chelsea
Kepa Arrizabalaga,es ESP,24-052,90.0,8,3,5,62.5,3.5,10,14,71.4,21,7,33.3,31.9,10,70.0,52.0,8,0,0.0,0,15.0,0.0,2018-11-24,Tottenham,Chelsea
Asmir Begović,ba BIH,31-158,90.0,4,2,3,50.0,1.1,7,18,38.9,14,6,57.1,43.5,13,76.9,53.1,10,1,10.0,0,13.7,1.0,2018-11-25,Bournemouth,Arsenal
Bernd Leno,de GER,26-266,90.0,5,1,4,80.0,1.5,5,26,19.2,34,6,64.7,51.2,6,66.7,53.2,13,2,15.4,0,8.8,0.0,2018-11-25,Bournemouth,Arsenal
Rui Patrício,pt POR,30-283,90.0,6,2,4,66.7,1.0,8,19,42.1,29,5,55.2,40.4,5,60.0,52.0,13,3,23.1,0,15.5,1.0,2018-11-25,Wolves,Huddersfield
Jonas Lössl,dk DEN,29-297,90.0,2,0,2,100.0,1.0,20,35,57.1,38,2,81.6,51.4,5,80.0,57.4,7,1,14.3,0,12.8,0.0,2018-11-25,Wolves,Huddersfield
Joe Hart,eng ENG,31-221,90.0,2,2,1,0.0,1.1,8,16,50.0,18,2,66.7,48.7,5,80.0,62.4,14,1,7.1,1,15.8,1.0,2018-11-26,Burnley,Newcastle Utd
Martin Dúbravka,sk SVK,29-315,90.0,5,1,4,80.0,1.3,9,18,50.0,27,2,44.4,39.8,6,100.0,73.0,18,0,0.0,0,15.3,0.0,2018-11-26,Burnley,Newcastle Utd
Neil Etheridge,ph PHI,28-296,90.0,4,1,3,75.0,1.5,11,37,29.7,27,3,96.3,63.3,11,100.0,68.6,7,0,0.0,3,19.1,1.0,2018-11-30,Cardiff City,Wolves
Rui Patrício,pt POR,30-288,90.0,2,2,0,0.0,1.4,12,16,75.0,10,2,70.0,41.4,12,75.0,53.8,10,2,20.0,0,11.5,0.0,2018-11-30,Cardiff City,Wolves
Ederson,br BRA,25-106,90.0,1,1,0,0.0,0.5,3,4,75.0,19,2,10.5,25.8,7,28.6,44.4,6,0,0.0,0,7.8,1.0,2018-12-01,Manchester City,Bournemouth
Asmir Begović,ba BIH,31-164,90.0,6,3,3,50.0,2.6,8,19,42.1,16,1,81.3,52.7,6,100.0,71.7,7,0,0.0,1,13.3,0.0,2018-12-01,Manchester City,Bournemouth
Kasper Schmeichel,dk DEN,32-026,90.0,0,0,0,,0.0,8,22,36.4,19,4,47.4,46.5,13,100.0,75.3,16,3,18.8,0,10.0,1.0,2018-12-01,Leicester City,Watford
Ben Foster,eng ENG,35-242,90.0,2,2,1,50.0,1.3,8,11,72.7,18,5,44.4,41.9,5,60.0,52.0,6,1,16.7,0,15.8,0.0,2018-12-01,Leicester City,Watford
Jonas Lössl,dk DEN,29-303,90.0,6,2,4,66.7,1.9,7,30,23.3,25,1,84.0,58.2,10,90.0,64.6,14,2,14.3,1,21.5,1.0,2018-12-01,Huddersfield,Brighton
Mathew Ryan,au AUS,26-237,90.0,2,1,1,50.0,0.5,6,13,46.2,18,4,38.9,36.8,7,85.7,57.0,8,0,0.0,0,15.0,0.0,2018-12-01,Huddersfield,Brighton
Martin Dúbravka,sk SVK,29-320,90.0,4,3,1,25.0,1.3,8,16,50.0,30,5,43.3,38.4,5,60.0,44.2,4,1,25.0,1,16.0,1.0,2018-12-01,Newcastle Utd,West Ham
Łukasz Fabiański,pl POL,33-227,90.0,4,0,4,100.0,0.3,8,27,29.6,20,3,60.0,54.8,15,100.0,76.1,15,3,20.0,0,14.0,0.0,2018-12-01,Newcastle Utd,West Ham
Wayne Hennessey,wls WAL,31-311,90.0,0,0,0,,0.0,8,16,50.0,27,7,44.4,40.1,4,100.0,79.3,13,1,7.7,1,12.4,1.0,2018-12-01,Crystal Palace,Burnley
Joe Hart,eng ENG,31-226,90.0,10,2,8,80.0,1.4,16,31,51.6,22,2,86.4,62.3,13,92.3,72.4,5,0,0.0,0,12.3,0.0,2018-12-01,Crystal Palace,Burnley
Alex McCarthy,eng ENG,28-363,90.0,5,2,3,60.0,1.9,6,20,30.0,16,1,68.8,52.3,9,100.0,67.7,11,0,0.0,1,16.0,1.0,2018-12-01,Southampton,Manchester Utd
David de Gea,es ESP,28-024,90.0,6,2,4,66.7,0.7,7,9,77.8,17,5,29.4,32.7,7,57.1,48.0,1,0,0.0,0,10.0,0.0,2018-12-01,Southampton,Manchester Utd
Kepa Arrizabalaga,es ESP,24-060,90.0,5,0,5,100.0,0.8,10,12,83.3,32,3,31.3,32.6,9,22.2,28.2,7,0,0.0,0,16.0,1.0,2018-12-02,Chelsea,Fulham
Sergio Rico,es ESP,25-092,90.0,9,2,7,77.8,1.6,5,23,21.7,27,4,70.4,50.0,5,80.0,57.4,8,2,25.0,0,7.7,0.0,2018-12-02,Chelsea,Fulham
Bernd Leno,de GER,26-273,90.0,5,2,4,80.0,1.6,4,17,23.5,28,2,46.4,40.1,5,80.0,56.2,4,1,25.0,1,25.3,1.0,2018-12-02,Arsenal,Tottenham
Hugo Lloris,fr FRA,31-341,90.0,5,4,2,40.0,2.7,4,18,22.2,21,3,42.9,42.8,13,69.2,52.8,9,0,0.0,0,14.0,0.0,2018-12-02,Arsenal,Tottenham
Alisson,br BRA,26-061,90.0,3,0,3,100.0,1.0,4,14,28.6,31,6,32.3,32.3,5,80.0,73.6,10,1,10.0,2,14.7,1.0,2018-12-02,Liverpool,Everton
Jordan Pickford,eng ENG,24-270,90.0,3,1,2,66.7,1.4,6,21,28.6,27,3,48.1,44.5,16,50.0,56.8,12,1,8.3,2,15.8,0.0,2018-12-02,Liverpool,Everton
Łukasz Fabiański,pl POL,33-230,90.0,3,1,2,66.7,1.9,9,16,56.3,20,4,45.0,41.6,7,100.0,70.1,7,1,14.3,1,20.0,1.0,2018-12-04,West Ham,Cardiff City
Neil Etheridge,ph PHI,28-300,90.0,11,3,8,72.7,4.5,7,28,25.0,23,1,91.3,57.7,7,100.0,67.0,8,0,0.0,2,15.0,0.0,2018-12-04,West Ham,Cardiff City
Asmir Begović,ba BIH,31-167,90.0,6,1,5,83.3,1.3,6,17,35.3,20,3,60.0,50.1,8,62.5,56.6,27,3,11.1,0,9.2,1.0,2018-12-04,Bournemouth,Huddersfield
Jonas Lössl,dk DEN,29-306,90.0,2,2,0,0.0,1.2,11,21,52.4,32,1,50.0,38.5,5,100.0,60.2,6,1,16.7,1,13.3,0.0,2018-12-04,Bournemouth,Huddersfield
Mathew Ryan,au AUS,26-240,90.0,4,1,4,100.0,1.6,9,23,39.1,15,1,80.0,54.9,11,100.0,63.2,14,1,7.1,0,13.5,1.0,2018-12-04,Brighton,Crystal Palace
Wayne Hennessey,wls WAL,31-314,90.0,2,3,0,0.0,1.8,2,9,22.2,18,4,27.8,33.9,5,80.0,62.6,5,1,20.0,2,29.4,0.0,2018-12-04,Brighton,Crystal Palace
Ben Foster,eng ENG,35-245,90.0,7,2,5,71.4,2.6,11,31,35.5,22,0,100.0,62.9,9,100.0,74.0,13,1,7.7,2,16.9,1.0,2018-12-04,Watford,Manchester City
Ederson,br BRA,25-109,90.0,6,1,5,83.3,2.0,3,13,23.1,34,7,29.4,34.2,4,75.0,61.3,3,0,0.0,1,19.2,0.0,2018-12-04,Watford,Manchester City
Sergio Rico,es ESP,25-095,90.0,6,1,5,83.3,2.3,11,22,50.0,19,2,78.9,59.2,8,87.5,65.0,7,0,0.0,1,18.6,1.0,2018-12-05,Fulham,Leicester City
Kasper Schmeichel,dk DEN,32-030,90.0,6,1,5,83.3,0.8,15,31,48.4,40,2,55.0,49.9,11,81.8,69.8,9,1,11.1,2,15.9,0.0,2018-12-05,Fulham,Leicester City
Rui Patrício,pt POR,30-293,90.0,3,1,2,66.7,0.7,8,19,42.1,14,3,64.3,45.1,11,90.9,59.6,8,0,0.0,0,13.0,1.0,2018-12-05,Wolves,Chelsea
Kepa Arrizabalaga,es ESP,24-063,90.0,2,2,0,0.0,1.1,6,10,60.0,27,4,29.6,30.2,6,33.3,40.7,9,1,11.1,1,20.8,0.0,2018-12-05,Wolves,Chelsea
Joe Hart,eng ENG,31-230,90.0,11,3,8,72.7,3.1,7,26,26.9,27,4,85.2,61.0,3,100.0,75.0,7,0,0.0,2,14.0,1.0,2018-12-05,Burnley,Liverpool
Alisson,br BRA,26-064,90.0,6,1,5,83.3,1.3,8,13,61.5,41,8,26.8,32.2,5,40.0,40.2,4,1,25.0,0,12.0,0.0,2018-12-05,Burnley,Liverpool
Jordan Pickford,eng ENG,24-273,90.0,5,1,4,80.0,1.8,8,14,57.1,28,4,42.9,39.4,3,66.7,40.7,7,0,0.0,2,23.8,1.0,2018-12-05,Everton,Newcastle Utd
Martin Dúbravka,sk SVK,29-324,90.0,3,1,2,66.7,1.8,9,23,39.1,14,3,78.6,56.5,12,100.0,70.3,26,3,11.5,0,6.2,0.0,2018-12-05,Everton,Newcastle Utd
Hugo Lloris,fr FRA,31-344,90.0,5,1,3,80.0,1.3,5,8,62.5,15,1,53.3,42.6,5,0.0,31.8,9,0,0.0,1,14.4,1.0,2018-12-05,Tottenham,Southampton
Alex McCarthy,eng ENG,29-002,90.0,9,3,6,66.7,2.8,7,19,36.8,17,2,88.2,61.8,4,100.0,69.3,9,1,11.1,0,12.0,0.0,2018-12-05,Tottenham,Southampton
David de Gea,es ESP,28-028,90.0,4,2,3,50.0,1.1,7,26,26.9,30,1,70.0,50.6,5,100.0,77.2,4,0,0.0,2,12.6,1.0,2018-12-05,Manchester Utd,Arsenal
Bernd Leno,de GER,26-276,90.0,7,2,5,71.4,1.4,8,17,47.1,36,7,44.4,38.2,2,50.0,41.5,5,0,0.0,0,13.0,0.0,2018-12-05,Manchester Utd,Arsenal
Asmir Begović,ba BIH,31-171,90.0,4,4,1,0.0,1.7,3,11,27.3,10,2,50.0,43.2,7,85.7,63.3,5,0,0.0,0,16.0,1.0,2018-12-08,Bournemouth,Liverpool
Alisson,br BRA,26-067,90.0,2,0,2,100.0,0.7,6,15,40.0,29,3,37.9,38.9,7,57.1,50.1,9,1,11.1,1,15.8,0.0,2018-12-08,Bournemouth,Liverpool
Joe Hart,eng ENG,31-233,90.0,1,0,1,100.0,0.7,7,27,25.9,19,2,84.2,65.3,11,100.0,71.8,11,0,0.0,1,10.5,1.0,2018-12-08,Burnley,Brighton
Mathew Ryan,au AUS,26-244,90.0,4,1,3,75.0,1.6,10,31,32.3,35,6,60.0,43.8,11,90.9,59.1,9,2,22.2,0,13.3,0.0,2018-12-08,Burnley,Brighton
Neil Etheridge,ph PHI,28-304,90.0,1,0,1,100.0,0.3,8,34,23.5,25,3,92.0,65.5,11,100.0,71.4,10,0,0.0,0,16.6,1.0,2018-12-08,Cardiff City,Southampton
Alex McCarthy,eng ENG,29-005,90.0,4,1,3,75.0,1.6,3,18,16.7,19,5,36.8,42.8,12,91.7,67.7,10,2,20.0,0,10.0,0.0,2018-12-08,Cardiff City,Southampton
David de Gea,es ESP,28-031,90.0,3,1,3,100.0,0.9,9,19,47.4,30,6,56.7,43.1,6,33.3,35.5,4,0,0.0,0,12.5,1.0,2018-12-08,Manchester Utd,Fulham
Sergio Rico,es ESP,25-098,90.0,11,4,7,63.6,3.0,11,27,40.7,19,1,89.5,54.2,10,100.0,66.8,9,1,11.1,0,8.3,0.0,2018-12-08,Manchester Utd,Fulham
Bernd Leno,de GER,26-279,90.0,0,0,0,,0.0,9,20,45.0,32,3,43.8,38.4,9,66.7,53.1,9,0,0.0,1,18.0,1.0,2018-12-08,Arsenal,Huddersfield
Jonas Lössl,dk DEN,29-310,90.0,2,1,1,50.0,1.4,17,30,56.7,26,1,80.8,52.8,9,100.0,70.4,10,2,20.0,0,12.0,0.0,2018-12-08,Arsenal,Huddersfield
Łukasz Fabiański,pl POL,33-234,90.0,4,2,2,50.0,1.4,9,16,56.3,24,5,50.0,44.0,5,80.0,61.8,8,0,0.0,0,7.3,1.0,2018-12-08,West Ham,Crystal Palace
Wayne Hennessey,wls WAL,31-318,90.0,6,3,3,50.0,1.9,7,19,36.8,21,1,66.7,47.3,7,71.4,57.1,10,0,0.0,1,14.2,0.0,2018-12-08,West Ham,Crystal Palace
Kepa Arrizabalaga,es ESP,24-066,90.0,4,0,4,100.0,1.3,9,13,69.2,28,5,28.6,31.3,6,83.3,51.3,12,0,0.0,0,11.7,1.0,2018-12-08,Chelsea,Manchester City
Ederson,br BRA,25-113,90.0,5,2,3,60.0,1.5,3,5,60.0,24,2,20.8,28.1,6,0.0,24.0,5,0,0.0,1,32.5,0.0,2018-12-08,Chelsea,Manchester City
Kasper Schmeichel,dk DEN,32-033,90.0,2,2,0,0.0,1.3,14,25,56.0,30,3,60.0,41.4,9,77.8,49.9,6,0,0.0,0,7.0,1.0,2018-12-08,Leicester City,Tottenham
Hugo Lloris,fr FRA,31-347,90.0,3,0,3,100.0,0.2,11,17,64.7,25,6,40.0,38.4,11,63.6,42.5,13,0,0.0,1,10.0,0.0,2018-12-08,Leicester City,Tottenham
Martin Dúbravka,sk SVK,29-328,90.0,6,2,4,66.7,1.9,6,18,33.3,34,2,41.2,39.3,7,57.1,46.3,8,0,0.0,3,17.3,1.0,2018-12-09,Newcastle Utd,Wolves
Rui Patrício,pt POR,30-297,90.0,4,1,3,75.0,0.1,4,9,44.4,15,8,40.0,37.9,9,33.3,38.2,17,0,0.0,0,8.8,0.0,2018-12-09,Newcastle Utd,Wolves
Jordan Pickford,eng ENG,24-278,90.0,3,2,2,33.3,1.0,7,22,31.8,27,5,59.3,48.3,8,75.0,59.3,10,1,10.0,1,16.8,1.0,2018-12-10,Everton,Watford
Ben Foster,eng ENG,35-251,90.0,4,2,2,50.0,2.4,7,26,26.9,25,3,84.0,61.7,5,100.0,77.6,8,0,0.0,1,12.5,0.0,2018-12-10,Everton,Watford
Ederson,br BRA,25-120,90.0,2,1,1,50.0,1.1,5,9,55.6,25,1,20.0,31.6,6,66.7,53.8,4,0,0.0,0,9.0,1.0,2018-12-15,Manchester City,Everton
Jordan Pickford,eng ENG,24-283,90.0,5,3,2,40.0,1.4,5,20,25.0,28,7,57.1,45.8,9,44.4,47.9,7,0,0.0,1,14.7,0.0,2018-12-15,Manchester City,Everton
Jonas Lössl,dk DEN,29-317,90.0,5,1,4,80.0,2.0,3,9,33.3,24,6,33.3,36.7,3,33.3,38.7,0,0,,0,14.3,1.0,2018-12-15,Huddersfield,Newcastle Utd
Martin Dúbravka,sk SVK,29-334,90.0,5,0,5,100.0,0.4,5,18,27.8,18,5,44.4,41.6,11,90.9,62.1,20,2,10.0,0,10.4,0.0,2018-12-15,Huddersfield,Newcastle Utd
Rui Patrício,pt POR,30-303,90.0,3,0,3,100.0,0.2,7,20,35.0,17,0,70.6,50.0,8,100.0,62.3,11,0,0.0,1,14.7,1.0,2018-12-15,Wolves,Bournemouth
Asmir Begović,ba BIH,31-178,90.0,4,2,2,50.0,1.7,1,9,11.1,24,3,29.2,31.0,3,66.7,53.3,7,0,0.0,0,15.3,0.0,2018-12-15,Wolves,Bournemouth
Ben Foster,eng ENG,35-256,90.0,3,2,1,33.3,1.4,5,16,31.3,24,2,45.8,39.8,8,62.5,48.6,9,0,0.0,1,14.8,1.0,2018-12-15,Watford,Cardiff City
Neil Etheridge,ph PHI,28-311,90.0,8,3,5,62.5,2.7,14,32,43.8,25,0,92.0,60.2,10,90.0,64.1,7,0,0.0,1,16.6,0.0,2018-12-15,Watford,Cardiff City
Vicente Guaita,es ESP,31-339,90.0,2,0,1,100.0,0.3,10,27,37.0,20,2,75.0,58.4,12,100.0,67.0,17,2,11.8,0,8.5,1.0,2018-12-15,Crystal Palace,Leicester City
Kasper Schmeichel,dk DEN,32-040,90.0,1,1,0,0.0,0.3,10,15,66.7,21,1,52.4,42.7,10,40.0,38.4,4,0,0.0,0,10.0,0.0,2018-12-15,Crystal Palace,Leicester City
Hugo Lloris,fr FRA,31-354,90.0,0,0,0,,0.0,3,7,42.9,29,4,20.7,31.2,4,25.0,36.5,6,0,0.0,0,18.2,1.0,2018-12-15,Tottenham,Burnley
Joe Hart,eng ENG,31-240,90.0,3,1,2,66.7,1.7,14,35,40.0,19,0,100.0,64.1,17,94.1,72.5,11,0,0.0,0,10.6,0.0,2018-12-15,Tottenham,Burnley
Sergio Rico,es ESP,25-105,90.0,3,2,1,33.3,1.4,11,20,55.0,16,1,81.3,52.9,8,87.5,56.6,9,0,0.0,3,19.7,1.0,2018-12-15,Fulham,West Ham
Łukasz Fabiański,pl POL,33-241,90.0,4,0,4,100.0,0.8,12,34,35.3,32,2,62.5,51.9,14,100.0,64.5,15,1,6.7,1,16.4,0.0,2018-12-15,Fulham,West Ham
Mathew Ryan,au AUS,26-252,90.0,3,2,1,33.3,1.3,10,19,52.6,21,4,61.9,44.9,6,100.0,67.0,1,0,0.0,0,14.3,1.0,2018-12-16,Brighton,Chelsea
Kepa Arrizabalaga,es ESP,24-074,90.0,2,1,1,50.0,0.6,3,6,50.0,29,7,13.8,24.5,6,33.3,40.0,4,1,25.0,2,13.4,0.0,2018-12-16,Brighton,Chelsea
Alex McCarthy,eng ENG,29-013,90.0,4,2,2,50.0,1.6,3,18,16.7,20,4,55.0,43.3,7,100.0,71.4,11,1,9.1,2,16.7,1.0,2018-12-16,Southampton,Arsenal
Bernd Leno,de GER,26-287,90.0,7,3,4,57.1,2.3,6,8,75.0,32,8,18.8,30.8,4,50.0,37.3,6,0,0.0,2,18.0,0.0,2018-12-16,Southampton,Arsenal
Alisson,br BRA,26-075,90.0,3,1,2,66.7,0.7,6,14,42.9,27,8,40.7,39.4,6,50.0,48.3,5,0,0.0,0,13.8,1.0,2018-12-16,Liverpool,Manchester Utd
David de Gea,es ESP,28-039,90.0,10,3,7,70.0,3.0,12,28,42.9,16,2,81.3,57.1,15,100.0,74.4,9,0,0.0,1,10.6,0.0,2018-12-16,Liverpool,Manchester Utd
Rui Patrício,pt POR,30-309,90.0,6,2,4,66.7,1.8,4,10,40.0,15,5,40.0,32.7,4,100.0,66.3,5,1,20.0,2,15.1,1.0,2018-12-21,Wolves,Liverpool
Alisson,br BRA,26-080,90.0,5,0,5,100.0,0.9,6,12,50.0,33,3,21.2,32.3,7,71.4,54.9,5,0,0.0,1,22.4,0.0,2018-12-21,Wolves,Liverpool
Bernd Leno,de GER,26-293,90.0,2,1,1,50.0,0.6,7,26,26.9,32,5,50.0,42.6,11,90.9,68.8,7,1,14.3,0,16.5,1.0,2018-12-22,Arsenal,Burnley
Joe Hart,eng ENG,31-247,90.0,6,3,3,50.0,2.1,9,21,42.9,24,3,66.7,51.2,5,100.0,76.4,5,0,0.0,0,16.5,0.0,2018-12-22,Arsenal,Burnley
Łukasz Fabiański,pl POL,33-248,90.0,5,2,4,80.0,3.2,6,12,50.0,15,5,66.7,48.6,2,100.0,63.5,4,0,0.0,0,8.4,1.0,2018-12-22,West Ham,Watford
Ben Foster,eng ENG,35-263,90.0,6,0,6,100.0,1.6,11,26,42.3,22,2,95.5,60.3,6,83.3,64.7,11,2,18.2,2,18.8,0.0,2018-12-22,West Ham,Watford
Kepa Arrizabalaga,es ESP,24-080,90.0,3,1,2,66.7,0.5,1,1,100.0,19,6,0.0,20.3,5,20.0,33.8,9,0,0.0,2,20.7,1.0,2018-12-22,Chelsea,Leicester City
Kasper Schmeichel,dk DEN,32-047,90.0,5,0,5,100.0,0.5,19,33,57.6,21,2,85.7,62.1,16,93.8,65.0,15,1,6.7,1,13.3,0.0,2018-12-22,Chelsea,Leicester City
Ederson,br BRA,25-127,90.0,2,3,0,0.0,1.8,3,3,100.0,15,3,20.0,30.1,2,0.0,35.5,1,0,0.0,1,28.0,1.0,2018-12-22,Manchester City,Crystal Palace
Vicente Guaita,es ESP,31-346,90.0,5,2,3,60.0,1.2,4,34,11.8,20,0,100.0,69.4,14,100.0,70.9,20,3,15.0,0,10.3,0.0,2018-12-22,Manchester City,Crystal Palace
Martin Dúbravka,sk SVK,29-341,90.0,2,0,2,100.0,0.4,4,9,44.4,30,6,30.0,32.4,2,0.0,27.0,4,0,0.0,1,17.8,1.0,2018-12-22,Newcastle Utd,Fulham
Sergio Rico,es ESP,25-112,90.0,0,0,0,,0.0,9,27,33.3,29,2,62.1,46.5,10,90.0,61.1,20,2,10.0,0,8.9,0.0,2018-12-22,Newcastle Utd,Fulham
Asmir Begović,ba BIH,31-185,90.0,4,0,4,100.0,1.3,6,9,66.7,15,5,33.3,36.1,8,50.0,42.4,9,2,22.2,0,15.5,1.0,2018-12-22,Bournemouth,Brighton
Mathew Ryan,au AUS,26-258,90.0,3,2,1,33.3,0.7,11,25,44.0,27,6,66.7,47.3,8,87.5,57.5,6,0,0.0,0,14.3,0.0,2018-12-22,Bournemouth,Brighton
Jonas Lössl,dk DEN,29-324,90.0,5,3,3,60.0,2.5,10,27,37.0,47,5,53.2,39.7,7,28.6,32.7,5,0,0.0,2,19.3,1.0,2018-12-22,Huddersfield,Southampton
Alex McCarthy,eng ENG,29-019,90.0,5,1,4,80.0,1.1,4,17,23.5,17,3,76.5,52.8,8,50.0,48.8,16,1,6.3,1,14.7,0.0,2018-12-22,Huddersfield,Southampton
Neil Etheridge,ph PHI,28-318,90.0,9,5,5,55.6,3.2,4,20,20.0,17,0,88.2,63.7,5,100.0,73.6,4,0,0.0,1,17.3,1.0,2018-12-22,Cardiff City,Manchester Utd
David de Gea,es ESP,28-045,90.0,2,1,2,100.0,1.2,6,13,46.2,18,1,22.2,29.9,10,90.0,61.8,10,0,0.0,0,13.5,0.0,2018-12-22,Cardiff City,Manchester Utd
Jordan Pickford,eng ENG,24-291,90.0,8,6,2,25.0,3.4,10,15,66.7,21,5,52.4,46.0,5,80.0,53.4,2,0,0.0,3,18.0,1.0,2018-12-23,Everton,Tottenham
Hugo Lloris,fr FRA,31-362,90.0,3,2,1,33.3,1.6,6,22,27.3,42,7,38.1,36.5,11,54.5,43.2,9,0,0.0,0,14.4,0.0,2018-12-23,Everton,Tottenham
Sergio Rico,es ESP,25-116,90.0,5,1,4,80.0,1.3,13,33,39.4,22,2,68.2,49.6,18,100.0,69.2,17,1,5.9,0,9.6,1.0,2018-12-26,Fulham,Wolves
Rui Patrício,pt POR,30-314,90.0,4,1,3,75.0,1.5,8,13,61.5,19,2,42.1,36.2,7,71.4,52.1,6,0,0.0,0,18.0,0.0,2018-12-26,Fulham,Wolves
Kasper Schmeichel,dk DEN,32-051,90.0,4,1,3,75.0,1.0,16,31,51.6,26,4,84.6,54.7,11,81.8,61.3,15,0,0.0,0,9.1,1.0,2018-12-26,Leicester City,Manchester City
Ederson,br BRA,25-131,90.0,5,2,3,60.0,2.1,3,3,100.0,15,4,13.3,27.8,5,20.0,31.8,4,0,0.0,1,14.8,0.0,2018-12-26,Leicester City,Manchester City
Vicente Guaita,es ESP,31-350,90.0,4,0,4,100.0,1.0,4,10,40.0,20,5,35.0,36.0,6,50.0,42.5,6,0,0.0,0,9.0,1.0,2018-12-26,Crystal Palace,Cardiff City
Neil Etheridge,ph PHI,28-322,90.0,5,0,5,100.0,1.0,12,35,34.3,20,1,90.0,63.2,18,94.4,70.3,14,2,14.3,0,23.0,0.0,2018-12-26,Crystal Palace,Cardiff City
Hugo Lloris,fr FRA,32-000,90.0,4,0,4,100.0,0.8,9,17,52.9,36,7,36.1,34.2,8,50.0,39.4,11,1,9.1,1,15.0,1.0,2018-12-26,Tottenham,Bournemouth
Asmir Begović,ba BIH,31-189,90.0,7,5,2,28.6,2.9,8,15,53.3,21,8,47.6,37.2,6,83.3,54.8,5,2,40.0,1,14.8,0.0,2018-12-26,Tottenham,Bournemouth
David de Gea,es ESP,28-049,90.0,2,1,1,50.0,1.0,12,22,54.5,24,6,45.8,45.0,12,91.7,62.4,7,0,0.0,0,9.7,1.0,2018-12-26,Manchester Utd,Huddersfield
Jonas Lössl,dk DEN,29-328,90.0,10,3,7,70.0,2.1,9,19,47.4,27,7,66.7,46.0,3,33.3,37.0,5,1,20.0,0,12.4,0.0,2018-12-26,Manchester Utd,Huddersfield
Joe Hart,eng ENG,31-251,90.0,5,5,1,20.0,3.3,10,25,40.0,20,1,95.0,61.2,6,100.0,70.7,9,0,0.0,1,18.2,1.0,2018-12-26,Burnley,Everton
Jordan Pickford,eng ENG,24-294,90.0,3,1,2,66.7,1.1,11,25,44.0,24,4,70.8,51.5,10,80.0,65.0,12,1,8.3,0,9.0,0.0,2018-12-26,Burnley,Everton
Alisson,br BRA,26-085,90.0,2,0,2,100.0,0.1,2,5,40.0,24,5,8.3,29.8,7,42.9,46.7,10,1,10.0,2,23.0,1.0,2018-12-26,Liverpool,Newcastle Utd
Martin Dúbravka,sk SVK,29-345,90.0,5,4,2,40.0,3.7,10,24,41.7,22,5,68.2,52.1,13,69.2,58.2,8,0,0.0,0,10.3,0.0,2018-12-26,Liverpool,Newcastle Utd
Mathew Ryan,au AUS,26-262,90.0,4,1,3,75.0,1.5,9,12,75.0,11,3,36.4,38.4,8,100.0,63.0,6,0,0.0,0,8.7,1.0,2018-12-26,Brighton,Arsenal
Bernd Leno,de GER,26-297,90.0,3,1,2,66.7,1.4,7,13,53.8,31,3,22.6,28.1,9,66.7,42.0,10,0,0.0,1,21.0,0.0,2018-12-26,Brighton,Arsenal
Ben Foster,eng ENG,35-267,90.0,2,2,1,50.0,1.3,9,33,27.3,26,0,80.8,55.2,12,100.0,75.1,6,1,16.7,1,24.7,1.0,2018-12-26,Watford,Chelsea
Kepa Arrizabalaga,es ESP,24-084,90.0,2,1,1,50.0,0.9,3,8,37.5,26,7,19.2,24.3,7,42.9,41.7,6,0,0.0,0,9.2,0.0,2018-12-26,Watford,Chelsea
Alex McCarthy,eng ENG,29-024,90.0,5,2,3,60.0,1.2,1,12,8.3,9,1,44.4,42.0,10,80.0,58.9,13,0,0.0,0,23.0,1.0,2018-12-27,Southampton,West Ham
Łukasz Fabiański,pl POL,33-253,90.0,5,1,4,80.0,1.2,15,27,55.6,27,3,81.5,51.7,5,100.0,62.6,12,0,0.0,2,14.1,0.0,2018-12-27,Southampton,West Ham
David Button,eng ENG,29-305,90.0,4,0,3,100.0,0.4,3,19,15.8,15,2,73.3,55.9,8,100.0,72.0,10,0,0.0,1,9.6,1.0,2018-12-29,Brighton,Everton
Jordan Pickford,eng ENG,24-297,90.0,3,1,2,66.7,1.6,6,21,28.6,27,7,55.6,44.5,9,66.7,53.6,10,1,10.0,1,19.6,0.0,2018-12-29,Brighton,Everton
Kasper Schmeichel,dk DEN,32-054,90.0,3,1,2,66.7,1.0,7,16,43.8,23,3,34.8,38.0,9,88.9,55.7,10,1,10.0,0,12.0,1.0,2018-12-29,Leicester City,Cardiff City
