date,time,squad_h,squad_a,stadium,referee,attendance
2021-08-13,20:00 ,Brentford,Arsenal,Brentford Community Stadium,Michael Oliver,16479
2021-08-14,12:30 ,Manchester Utd,Leeds United,Old Trafford,Paul Tierney,72732
2021-08-14,15:00 ,Leicester City,Wolves,King Power Stadium,Craig Pawson,31983
2021-08-14,15:00 ,Burnley,Brighton,Turf Moor,David Coote,16910
2021-08-14,15:00 ,Watford,Aston Villa,Vicarage Road Stadium,Mike Dean,20051
2021-08-14,15:00 ,Chelsea,Crystal Palace,Stamford Bridge,Jonathan Moss,38965
2021-08-14,15:00 ,Everton,Southampton,Goodison Park,Andy Madley,38487
2021-08-14,17:30 ,Norwich City,Liverpool,Carrow Road,Andre Marriner,27023
2021-08-15,14:00 ,Newcastle Utd,West Ham,St. James' Park,Martin Atkinson,50673
2021-08-15,16:30 ,Tottenham,Manchester City,Tottenham Hotspur Stadium,Anthony Taylor,58262
2021-08-21,12:30 ,Liverpool,Burnley,Anfield,Mike Dean,52591
2021-08-21,15:00 ,Aston Villa,Newcastle Utd,Villa Park,David Coote,41964
2021-08-21,15:00 ,Manchester City,Norwich City,Etihad Stadium,Graham Scott,51437
2021-08-21,15:00 ,Crystal Palace,Brentford,Selhurst Park,Martin Atkinson,23091
2021-08-21,15:00 ,Leeds United,Everton,Elland Road,Darren England,36293
2021-08-21,17:30 ,Brighton,Watford,The American Express Community Stadium,Anthony Taylor,29485
2021-08-22,14:00 ,Southampton,Manchester Utd,St. Mary's Stadium,Craig Pawson,32000
2021-08-22,14:00 ,Wolves,Tottenham,Molineux Stadium,Stuart Attwell,30368
2021-08-22,16:30 ,Arsenal,Chelsea,Emirates Stadium,Paul Tierney,58729
2021-08-23,20:00 ,West Ham,Leicester City,London Stadium,Michael Oliver,59901
2021-08-28,12:30 ,Manchester City,Arsenal,Etihad Stadium,Martin Atkinson,52276
2021-08-28,15:00 ,Norwich City,Leicester City,Carrow Road,Robert Jones,26765
2021-08-28,15:00 ,West Ham,Crystal Palace,London Stadium,Stuart Attwell,59751
2021-08-28,15:00 ,Newcastle Utd,Southampton,St. James' Park,Paul Tierney,44017
2021-08-28,15:00 ,Aston Villa,Brentford,Villa Park,Peter Bankes,42045
2021-08-28,15:00 ,Brighton,Everton,The American Express Community Stadium,Jonathan Moss,30548
2021-08-28,17:30 ,Liverpool,Chelsea,Anfield,Anthony Taylor,54000
2021-08-29,14:00 ,Tottenham,Watford,Tottenham Hotspur Stadium,Andre Marriner,57672
2021-08-29,14:00 ,Burnley,Leeds United,Turf Moor,Michael Oliver,20000
2021-08-29,16:30 ,Wolves,Manchester Utd,Molineux Stadium,Mike Dean,30621
2021-09-11,12:30 ,Crystal Palace,Tottenham,Selhurst Park,Jonathan Moss,26000
2021-09-11,15:00 ,Southampton,West Ham,St. Mary's Stadium,David Coote,30000
2021-09-11,15:00 ,Arsenal,Norwich City,Emirates Stadium,Michael Oliver,58000
2021-09-11,15:00 ,Watford,Wolves,Vicarage Road Stadium,Peter Bankes,20019
2021-09-11,15:00 ,Brentford,Brighton,Brentford Community Stadium,Graham Scott,16518
2021-09-11,15:00 ,Leicester City,Manchester City,King Power Stadium,Paul Tierney,32087
2021-09-11,15:00 ,Manchester Utd,Newcastle Utd,Old Trafford,Anthony Taylor,72732
2021-09-11,17:30 ,Chelsea,Aston Villa,Stamford Bridge,Stuart Attwell,39969
2021-09-12,16:30 ,Leeds United,Liverpool,Elland Road,Craig Pawson,36507
2021-09-13,20:00 ,Everton,Burnley,Goodison Park,Martin Atkinson,30000
2021-09-17,20:00 ,Newcastle Utd,Leeds United,St. James' Park,Mike Dean,50407
2021-09-18,12:30 ,Wolves,Brentford,Molineux Stadium,Darren England,30000
2021-09-18,15:00 ,Liverpool,Crystal Palace,Anfield,Andy Madley,52000
2021-09-18,15:00 ,Manchester City,Southampton,Etihad Stadium,Jonathan Moss,52698
2021-09-18,15:00 ,Norwich City,Watford,Carrow Road,Robert Jones,26649
2021-09-18,15:00 ,Burnley,Arsenal,Turf Moor,Anthony Taylor,20000
