player,nationality,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,season
Karl Darlow,eng ENG,Newcastle Utd,26,1990,10.0,10.0,900.0,15.0,1.5,44.0,33.0,72.7,1.0,5.0,4.0,2.0,20.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,15.0,0.29,2.0,0.2,82.0,239.0,34.3,249.0,32.0,65.9,48.9,86.0,87.2,62.1,103.0,12.0,11.7,6.0,0.6,13.2,2017
Martin Dúbravka,sk SVK,Newcastle Utd,28,1989,12.0,12.0,1080.0,11.0,0.92,37.0,26.0,70.3,6.0,1.0,5.0,4.0,33.3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,13.1,0.33,2.1,0.17,64.0,208.0,30.8,250.0,34.0,52.4,43.5,92.0,83.7,61.2,109.0,11.0,10.1,13.0,1.08,16.4,2017
Ederson,br BRA,Manchester City,23,1993,36.0,36.0,3194.0,26.0,0.73,77.0,52.0,66.2,30.0,4.0,2.0,16.0,44.4,3.0,0.0,2.0,1.0,1.0,1.0,2.0,22.4,0.29,-1.6,-0.05,153.0,282.0,54.3,941.0,156.0,20.4,28.8,160.0,56.3,49.8,161.0,18.0,11.2,48.0,1.35,18.0,2017
Rob Elliot,ie IRL,Newcastle Utd,31,1986,16.0,16.0,1440.0,21.0,1.31,64.0,45.0,68.8,5.0,2.0,9.0,3.0,18.8,2.0,1.0,1.0,0.0,0.0,3.0,1.0,20.4,0.3,0.4,0.02,167.0,386.0,43.3,378.0,49.0,67.7,50.0,159.0,81.8,59.7,188.0,12.0,6.4,7.0,0.44,12.2,2017
Łukasz Fabiański,pl POL,Swansea City,32,1985,38.0,38.0,3420.0,56.0,1.47,182.0,129.0,70.9,8.0,9.0,21.0,9.0,23.7,7.0,3.0,3.0,1.0,1.0,6.0,2.0,55.8,0.29,1.8,0.05,329.0,837.0,39.3,913.0,152.0,56.8,46.5,359.0,88.6,64.5,398.0,40.0,10.1,12.0,0.32,13.0,2017
Fraser Forster,eng ENG,Southampton,29,1988,20.0,20.0,1800.0,30.0,1.5,98.0,67.0,69.4,4.0,7.0,9.0,4.0,20.0,1.0,0.0,1.0,0.0,2.0,4.0,0.0,26.9,0.28,-3.1,-0.15,105.0,355.0,29.6,364.0,64.0,62.1,49.2,147.0,87.8,64.2,163.0,9.0,5.5,7.0,0.35,12.4,2017
Ben Foster,eng ENG,West Brom,34,1983,37.0,37.0,3330.0,55.0,1.49,152.0,98.0,64.5,6.0,12.0,19.0,10.0,27.0,1.0,1.0,0.0,0.0,3.0,9.0,1.0,48.8,0.32,-5.2,-0.14,346.0,925.0,37.4,798.0,74.0,75.6,54.3,337.0,95.5,70.5,436.0,29.0,6.7,19.0,0.51,14.0,2017
Paulo Gazzaniga,ar ARG,Tottenham,25,1992,1.0,1.0,90.0,0.0,0.0,3.0,3.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.42,1.3,1.25,4.0,8.0,50.0,17.0,2.0,29.4,36.1,8.0,37.5,34.1,0.0,0.0,0.0,2.0,2.0,18.4,2017
David de Gea,es ESP,Manchester Utd,26,1990,37.0,37.0,3330.0,28.0,0.76,139.0,113.0,80.6,24.0,6.0,7.0,18.0,48.6,1.0,1.0,0.0,0.0,1.0,5.0,2.0,34.5,0.24,8.5,0.23,257.0,660.0,38.9,794.0,143.0,54.5,44.2,292.0,77.7,59.1,301.0,19.0,6.3,13.0,0.35,13.3,2017
Heurelho Gomes,br BRA,Watford,36,1981,24.0,24.0,2128.0,40.0,1.69,97.0,60.0,61.9,7.0,5.0,12.0,5.0,20.8,3.0,3.0,0.0,0.0,1.0,7.0,1.0,32.4,0.32,-6.6,-0.28,204.0,509.0,40.1,568.0,119.0,65.0,48.3,178.0,78.7,60.1,216.0,27.0,12.5,16.0,0.68,14.4,2017
Lee Grant,eng ENG,Stoke City,34,1983,3.0,3.0,270.0,7.0,2.33,14.0,7.0,50.0,0.0,1.0,2.0,1.0,33.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.5,0.39,-1.5,-0.51,31.0,66.0,47.0,71.0,14.0,64.8,50.1,23.0,87.0,64.1,22.0,1.0,4.5,3.0,1.0,16.8,2017
Ben Hamer,eng ENG,Leicester City,29,1987,4.0,3.0,275.0,7.0,2.29,12.0,6.0,50.0,0.0,1.0,2.0,1.0,33.3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.3,0.37,-1.7,-0.56,18.0,48.0,37.5,67.0,16.0,47.8,41.1,20.0,80.0,58.7,26.0,0.0,0.0,2.0,0.66,14.7,2017
Joe Hart,eng ENG,West Ham,30,1987,19.0,19.0,1710.0,39.0,2.05,84.0,47.0,58.3,3.0,6.0,10.0,4.0,21.1,5.0,4.0,1.0,0.0,0.0,4.0,0.0,34.4,0.37,-4.6,-0.24,176.0,477.0,36.9,439.0,56.0,74.7,54.3,156.0,95.5,70.9,179.0,15.0,8.4,11.0,0.58,13.8,2017
Tom Heaton,eng ENG,Burnley,31,1986,4.0,4.0,305.0,4.0,1.18,13.0,9.0,69.2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.9,0.3,-0.1,-0.04,33.0,81.0,40.7,88.0,21.0,64.8,52.1,31.0,77.4,64.0,26.0,1.0,3.8,0.0,0.0,11.8,2017
Wayne Hennessey,wls WAL,Crystal Palace,30,1987,27.0,27.0,2430.0,41.0,1.52,127.0,89.0,68.5,8.0,6.0,13.0,7.0,25.9,1.0,1.0,0.0,0.0,1.0,8.0,2.0,38.9,0.3,-0.1,0.0,234.0,604.0,38.7,556.0,97.0,71.6,54.0,226.0,91.2,70.9,282.0,17.0,6.0,18.0,0.67,13.8,2017
Eldin Jakupović,ch SUI,Leicester City,32,1984,2.0,2.0,180.0,6.0,3.0,12.0,7.0,50.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.1,0.46,0.1,0.03,17.0,36.0,47.2,42.0,12.0,57.1,51.5,14.0,85.7,64.6,15.0,0.0,0.0,4.0,2.0,13.3,2017
Loris Karius,de GER,Liverpool,24,1993,19.0,19.0,1710.0,14.0,0.74,41.0,28.0,70.7,11.0,5.0,3.0,10.0,52.6,3.0,2.0,1.0,0.0,0.0,3.0,0.0,15.7,0.33,1.7,0.09,83.0,249.0,33.3,518.0,108.0,36.3,35.8,102.0,59.8,50.1,148.0,12.0,8.1,12.0,0.63,14.7,2017
Orestis Karnezis,gr GRE,Watford,32,1985,15.0,14.0,1292.0,24.0,1.67,54.0,33.0,61.1,4.0,3.0,7.0,4.0,28.6,3.0,3.0,0.0,0.0,0.0,2.0,0.0,20.2,0.33,-3.8,-0.27,117.0,326.0,35.9,317.0,35.0,79.2,54.5,81.0,92.6,62.9,124.0,8.0,6.5,7.0,0.49,13.6,2017
Hugo Lloris,fr FRA,Tottenham,30,1986,36.0,36.0,3240.0,35.0,0.97,116.0,82.0,71.6,22.0,7.0,7.0,15.0,41.7,3.0,2.0,1.0,0.0,1.0,8.0,0.0,35.6,0.29,0.6,0.02,206.0,448.0,46.0,940.0,190.0,34.6,35.7,228.0,53.9,45.1,277.0,26.0,9.4,31.0,0.86,16.4,2017
Jonas Lössl,dk DEN,Huddersfield,28,1989,38.0,38.0,3420.0,57.0,1.5,153.0,97.0,65.4,9.0,10.0,19.0,10.0,26.3,6.0,4.0,2.0,0.0,0.0,6.0,1.0,56.2,0.34,-0.8,-0.02,411.0,963.0,42.7,1080.0,108.0,65.1,50.3,307.0,84.7,63.1,287.0,25.0,8.7,34.0,0.89,15.4,2017
