player,nationality,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,season
Kepa Arrizabalaga,es ESP,Chelsea,26,1994,4.0,4.0,360.0,2.0,0.5,13.0,11.0,84.6,2.0,1.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.3,0.26,1.3,0.34,16.0,39.0,41.0,118.0,28.0,28.0,30.8,21.0,28.6,30.2,31.0,1.0,3.2,5.0,1.25,16.2,2021
Daniel Bachmann,at AUT,Watford,27,1994,12.0,12.0,1080.0,28.0,2.33,69.0,45.0,63.8,1.0,0.0,11.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,4.0,2.0,23.8,0.31,-2.2,-0.19,89.0,226.0,39.4,270.0,44.0,60.7,47.4,87.0,71.3,52.7,108.0,3.0,2.8,8.0,0.67,13.1,2021
Asmir Begović,ba BIH,Everton,34,1987,3.0,3.0,270.0,8.0,2.67,17.0,11.0,58.8,1.0,0.0,2.0,1.0,33.3,1.0,1.0,0.0,0.0,0.0,3.0,1.0,5.5,0.27,-1.5,-0.5,21.0,68.0,30.9,53.0,4.0,79.2,54.2,31.0,83.9,58.1,23.0,3.0,13.0,0.0,0.0,12.9,2021
Jack Butland,eng ENG,Crystal Palace,28,1993,9.0,8.0,765.0,13.0,1.53,28.0,17.0,53.6,2.0,4.0,2.0,1.0,12.5,1.0,0.0,1.0,0.0,1.0,1.0,2.0,11.2,0.37,0.2,0.02,33.0,104.0,31.7,213.0,35.0,32.4,31.9,66.0,53.0,43.7,83.0,5.0,6.0,6.0,0.71,13.6,2021
Willy Caballero,ar ARG,Southampton,39,1981,2.0,2.0,180.0,5.0,2.5,11.0,6.0,54.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.3,0.4,-0.7,-0.36,20.0,39.0,51.3,46.0,0.0,58.7,42.1,13.0,92.3,59.1,21.0,1.0,4.8,4.0,2.0,21.7,2021
Karl Darlow,eng ENG,Newcastle Utd,30,1990,8.0,8.0,720.0,15.0,1.87,37.0,25.0,64.9,0.0,5.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,10.6,0.24,-3.4,-0.42,75.0,172.0,43.6,189.0,29.0,64.6,49.8,64.0,78.1,59.8,69.0,8.0,11.6,4.0,0.5,14.9,2021
Martin Dúbravka,sk SVK,Newcastle Utd,32,1989,26.0,26.0,2340.0,35.0,1.35,106.0,71.0,67.9,13.0,4.0,9.0,8.0,30.8,1.0,1.0,0.0,0.0,0.0,7.0,1.0,38.1,0.36,4.1,0.16,222.0,524.0,42.4,608.0,86.0,50.0,41.1,237.0,92.8,64.8,211.0,17.0,8.1,9.0,0.35,12.7,2021
Ederson,br BRA,Manchester City,27,1993,37.0,37.0,3330.0,26.0,0.7,83.0,56.0,69.9,28.0,6.0,3.0,20.0,54.1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,23.8,0.28,-2.2,-0.06,155.0,262.0,59.2,951.0,151.0,24.0,30.0,138.0,24.6,31.6,181.0,16.0,8.8,34.0,0.92,17.2,2021
Łukasz Fabiański,pl POL,West Ham,36,1985,37.0,37.0,3330.0,50.0,1.35,156.0,105.0,69.2,16.0,8.0,13.0,8.0,21.6,6.0,2.0,3.0,1.0,1.0,11.0,2.0,52.0,0.31,4.0,0.11,241.0,602.0,40.0,726.0,145.0,55.8,44.1,280.0,70.4,52.9,344.0,14.0,4.1,9.0,0.24,11.8,2021
Álvaro Fernández,es ESP,Brentford,23,1998,12.0,12.0,1080.0,24.0,2.0,67.0,46.0,65.7,3.0,2.0,7.0,1.0,8.3,1.0,1.0,0.0,0.0,0.0,5.0,2.0,24.7,0.36,2.7,0.23,82.0,247.0,33.2,417.0,56.0,48.0,38.6,83.0,56.6,41.0,123.0,7.0,5.7,10.0,0.83,14.3,2021
Fraser Forster,eng ENG,Southampton,33,1988,19.0,19.0,1710.0,35.0,1.84,98.0,67.0,66.3,6.0,5.0,8.0,3.0,15.8,2.0,2.0,0.0,0.0,0.0,5.0,2.0,31.8,0.31,-1.2,-0.06,123.0,358.0,34.4,455.0,68.0,54.9,44.8,141.0,76.6,54.3,176.0,18.0,10.2,14.0,0.74,13.8,2021
Ben Foster,eng ENG,Watford,38,1983,26.0,26.0,2340.0,49.0,1.88,111.0,63.0,58.6,5.0,5.0,16.0,4.0,15.4,4.0,3.0,1.0,0.0,0.0,4.0,1.0,43.4,0.36,-4.6,-0.18,227.0,666.0,34.1,644.0,70.0,71.3,51.4,225.0,92.0,65.2,265.0,16.0,6.0,24.0,0.92,15.1,2021
David de Gea,es ESP,Manchester Utd,30,1990,38.0,38.0,3420.0,57.0,1.5,177.0,124.0,69.5,16.0,10.0,12.0,8.0,21.1,6.0,3.0,3.0,0.0,0.0,7.0,3.0,60.7,0.33,6.7,0.18,139.0,379.0,36.7,614.0,124.0,37.0,35.2,297.0,51.2,42.4,306.0,10.0,3.3,9.0,0.24,13.6,2021
Vicente Guaita,es ESP,Crystal Palace,34,1987,30.0,30.0,2655.0,33.0,1.12,113.0,83.0,73.5,9.0,11.0,10.0,11.0,36.7,3.0,3.0,0.0,0.0,1.0,10.0,0.0,29.4,0.24,-3.6,-0.12,165.0,364.0,45.3,773.0,162.0,35.4,33.0,199.0,45.2,37.2,216.0,16.0,7.4,17.0,0.58,14.5,2021
Angus Gunn,eng ENG,Norwich City,25,1996,9.0,9.0,810.0,22.0,2.44,54.0,34.0,63.0,1.0,2.0,6.0,1.0,11.1,4.0,2.0,1.0,1.0,0.0,3.0,0.0,22.5,0.38,0.5,0.06,59.0,154.0,38.3,213.0,39.0,53.5,40.2,85.0,47.1,40.8,94.0,7.0,7.4,7.0,0.78,14.2,2021
Wayne Hennessey,wls WAL,Burnley,34,1987,2.0,2.0,180.0,6.0,3.0,13.0,7.0,53.8,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.2,0.34,-0.8,-0.38,26.0,65.0,40.0,59.0,8.0,76.3,57.8,21.0,95.2,69.9,20.0,1.0,5.0,3.0,1.5,15.9,2021
Caoimhín Kelleher,ie IRL,Liverpool,22,1998,2.0,2.0,180.0,2.0,1.0,8.0,5.0,75.0,1.0,1.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.32,0.6,0.28,8.0,16.0,50.0,77.0,12.0,18.2,26.3,13.0,15.4,26.3,11.0,0.0,0.0,3.0,1.5,16.4,2021
Kristoffer Klaesson,no NOR,Leeds United,20,2000,1.0,0.0,36.0,0.0,0.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.07,0.3,0.67,2.0,4.0,50.0,8.0,2.0,37.5,34.4,3.0,33.3,31.0,4.0,1.0,25.0,0.0,0.0,25.0,2021
Tim Krul,nl NED,Norwich City,33,1988,29.0,29.0,2610.0,62.0,2.14,158.0,101.0,65.2,4.0,5.0,20.0,5.0,17.2,9.0,7.0,1.0,1.0,1.0,8.0,2.0,56.1,0.32,-3.9,-0.13,191.0,495.0,38.6,833.0,155.0,44.8,39.4,224.0,54.5,45.4,257.0,10.0,3.9,10.0,0.34,12.5,2021
Bernd Leno,de GER,Arsenal,29,1992,4.0,4.0,360.0,9.0,2.25,19.0,9.0,52.6,1.0,0.0,3.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.4,0.39,-1.6,-0.41,16.0,53.0,30.2,74.0,12.0,37.8,37.1,37.0,67.6,49.8,48.0,2.0,4.2,1.0,0.25,12.9,2021
Hugo Lloris,fr FRA,Tottenham,34,1986,38.0,38.0,3420.0,40.0,1.05,133.0,95.0,71.4,22.0,5.0,11.0,16.0,42.1,2.0,2.0,0.0,0.0,1.0,5.0,1.0,38.5,0.28,-0.5,-0.01,159.0,344.0,46.2,667.0,149.0,36.3,34.4,276.0,37.0,32.8,352.0,21.0,6.0,23.0,0.61,14.2,2021
Jonas Lössl,dk DEN,Brentford,32,1989,2.0,2.0,180.0,5.0,2.5,7.0,2.0,28.6,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.46,-1.7,-0.87,13.0,30.0,43.3,49.0,6.0,53.1,38.9,13.0,30.8,34.2,14.0,0.0,0.0,4.0,2.0,19.8,2021
Emiliano Martínez,ar ARG,Aston Villa,28,1992,36.0,36.0,3240.0,48.0,1.33,136.0,93.0,67.6,13.0,6.0,17.0,11.0,30.6,6.0,4.0,1.0,1.0,2.0,6.0,2.0,40.8,0.27,-5.2,-0.15,205.0,491.0,41.8,807.0,141.0,45.1,38.7,274.0,46.4,40.0,282.0,17.0,6.0,25.0,0.69,14.0,2021
Alex McCarthy,eng ENG,Southampton,31,1989,17.0,17.0,1530.0,27.0,1.59,71.0,43.0,62.0,3.0,7.0,7.0,5.0,29.4,0.0,0.0,0.0,0.0,0.0,7.0,0.0,24.8,0.36,-2.2,-0.13,83.0,268.0,31.0,383.0,73.0,46.5,39.9,127.0,70.9,53.6,152.0,17.0,11.2,3.0,0.18,12.1,2021
Edouard Mendy,sn SEN,Chelsea,29,1992,34.0,34.0,3060.0,31.0,0.91,95.0,70.0,73.7,19.0,10.0,5.0,14.0,41.2,6.0,6.0,0.0,0.0,0.0,1.0,1.0,29.5,0.26,-0.5,-0.01,114.0,248.0,46.0,763.0,129.0,24.8,28.7,176.0,33.5,30.3,243.0,19.0,7.8,19.0,0.56,13.8,2021
Illan Meslier,fr FRA,Leeds United,21,2000,38.0,38.0,3384.0,79.0,2.1,215.0,139.0,65.6,9.0,11.0,18.0,5.0,13.2,5.0,5.0,0.0,0.0,3.0,11.0,1.0,70.2,0.31,-7.8,-0.21,166.0,511.0,32.5,1090.0,256.0,35.3,32.9,287.0,43.9,38.9,245.0,21.0,8.6,37.0,0.98,14.7,2021
Robin Olsen,se SWE,Aston Villa,31,1990,1.0,1.0,90.0,3.0,3.0,5.0,2.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.52,-0.4,-0.4,11.0,32.0,34.4,28.0,6.0,64.3,45.9,20.0,70.0,54.0,12.0,1.0,8.3,0.0,0.0,9.7,2021
Jordan Pickford,eng ENG,Everton,27,1994,35.0,35.0,3150.0,58.0,1.66,167.0,114.0,65.9,10.0,6.0,19.0,7.0,20.0,1.0,1.0,0.0,0.0,2.0,12.0,4.0,54.1,0.32,0.1,0.0,291.0,821.0,35.4,871.0,108.0,69.3,53.0,264.0,82.2,64.9,310.0,22.0,7.1,26.0,0.74,15.2,2021
Nick Pope,eng ENG,Burnley,29,1992,36.0,36.0,3240.0,47.0,1.31,159.0,116.0,73.6,7.0,14.0,15.0,9.0,25.0,5.0,5.0,0.0,0.0,1.0,7.0,1.0,50.4,0.3,4.4,0.12,319.0,847.0,37.7,793.0,139.0,73.4,52.8,285.0,93.0,65.9,375.0,36.0,9.6,63.0,1.75,18.2,2021
Aaron Ramsdale,eng ENG,Arsenal,23,1998,34.0,34.0,3060.0,39.0,1.15,122.0,84.0,72.1,21.0,3.0,10.0,12.0,35.3,6.0,5.0,0.0,1.0,0.0,3.0,1.0,33.4,0.24,-4.6,-0.13,176.0,521.0,33.8,964.0,157.0,39.6,37.0,192.0,72.4,57.2,260.0,21.0,8.1,35.0,1.03,16.0,2021
David Raya,es ESP,Brentford,25,1995,24.0,24.0,2160.0,27.0,1.13,99.0,75.0,76.8,10.0,5.0,9.0,8.0,33.3,4.0,4.0,0.0,0.0,1.0,4.0,0.0,27.5,0.24,0.5,0.02,254.0,577.0,44.0,851.0,116.0,50.8,41.5,200.0,72.5,53.7,230.0,15.0,6.5,26.0,1.08,15.0,2021
John Ruddy,eng ENG,Wolves,34,1986,2.0,1.0,135.0,3.0,2.0,7.0,4.0,57.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.3,0.33,-0.7,-0.48,3.0,12.0,25.0,15.0,4.0,53.3,46.0,14.0,28.6,39.4,4.0,0.0,0.0,1.0,0.67,21.4,2021
José Sá,pt POR,Wolves,28,1993,37.0,37.0,3285.0,40.0,1.1,150.0,120.0,79.3,15.0,5.0,17.0,11.0,29.7,10.0,9.0,0.0,1.0,1.0,1.0,1.0,48.2,0.27,9.2,0.25,166.0,486.0,34.2,830.0,197.0,42.7,39.3,259.0,51.0,42.7,315.0,34.0,10.8,40.0,1.1,15.3,2021
Robert Sánchez,es ESP,Brighton,23,1997,37.0,37.0,3329.0,42.0,1.14,140.0,100.0,72.1,12.0,15.0,10.0,11.0,29.7,4.0,3.0,0.0,1.0,1.0,5.0,0.0,43.2,0.29,1.2,0.03,196.0,618.0,31.7,1269.0,163.0,36.2,37.6,231.0,68.8,54.1,317.0,37.0,11.7,30.0,0.81,13.9,2021
Kasper Schmeichel,dk DEN,Leicester City,34,1986,37.0,37.0,3330.0,58.0,1.57,176.0,125.0,71.0,13.0,10.0,14.0,7.0,18.9,10.0,7.0,2.0,1.0,1.0,15.0,1.0,56.3,0.29,-0.7,-0.02,256.0,588.0,43.5,962.0,149.0,45.7,38.9,291.0,50.9,43.7,278.0,19.0,6.8,16.0,0.43,12.5,2021
Jason Steele,eng ENG,Brighton,30,1990,1.0,1.0,90.0,2.0,2.0,5.0,3.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2,0.25,-0.8,-0.77,3.0,7.0,42.9,32.0,2.0,12.5,26.2,6.0,50.0,43.8,11.0,1.0,9.1,0.0,0.0,13.0,2021
Jed Steer,eng ENG,Aston Villa,28,1992,1.0,1.0,90.0,3.0,3.0,4.0,1.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.45,-1.2,-1.2,5.0,13.0,38.5,30.0,6.0,30.0,34.4,6.0,66.7,53.8,8.0,1.0,12.5,1.0,1.0,14.3,2021
Zack Steffen,us USA,Manchester City,26,1995,1.0,1.0,90.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.16,0.3,0.31,4.0,9.0,44.4,31.0,6.0,22.6,26.0,7.0,28.6,25.3,7.0,0.0,0.0,2.0,2.0,17.5,2021
Danny Ward,wls WAL,Leicester City,28,1993,1.0,1.0,90.0,1.0,1.0,5.0,4.0,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.3,0.26,0.3,0.3,3.0,7.0,42.9,27.0,8.0,22.2,30.2,7.0,14.3,27.0,11.0,3.0,27.3,0.0,0.0,14.7,2021
Freddie Woodman,eng ENG,Newcastle Utd,24,1997,4.0,4.0,360.0,12.0,3.0,19.0,9.0,47.4,0.0,1.0,3.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,8.7,0.35,-3.3,-0.83,22.0,71.0,31.0,80.0,11.0,53.8,43.3,43.0,65.1,52.0,33.0,2.0,6.1,0.0,0.0,11.6,2021
David de Gea,es ESP,Manchester Utd,29,1990,26.0,26.0,2295.0,32.0,1.25,85.0,58.0,67.1,12.0,9.0,5.0,9.0,34.6,4.0,4.0,0.0,0.0,1.0,5.0,2.0,30.1,0.31,0.1,0.01,94.0,218.0,43.1,422.0,80.0,35.5,33.7,172.0,39.5,34.9,195.0,9.0,4.6,9.0,0.35,14.1,2020
Sam Johnstone,eng ENG,West Brom,27,1993,37.0,37.0,3330.0,74.0,2.0,228.0,161.0,70.6,4.0,11.0,22.0,6.0,16.2,12.0,7.0,2.0,3.0,2.0,13.0,3.0,75.4,0.3,4.4,0.12,336.0,961.0,35.0,987.0,169.0,71.2,51.3,295.0,87.5,60.9,348.0,25.0,7.2,26.0,0.7,14.5,2020
Ederson,br BRA,Manchester City,25,1993,35.0,35.0,3071.0,28.0,0.82,92.0,65.0,72.8,24.0,3.0,8.0,16.0,45.7,3.0,3.0,0.0,0.0,1.0,4.0,1.0,29.5,0.3,2.5,0.07,126.0,247.0,51.0,925.0,161.0,21.7,29.7,139.0,33.1,35.0,173.0,12.0,6.9,39.0,1.14,17.7,2019
Tim Krul,nl NED,Norwich City,31,1988,36.0,36.0,3240.0,68.0,1.89,189.0,123.0,65.6,5.0,6.0,25.0,5.0,13.9,5.0,3.0,2.0,0.0,1.0,13.0,3.0,64.9,0.32,-0.1,0.0,261.0,733.0,35.6,1217.0,178.0,45.1,39.8,333.0,55.3,45.1,383.0,28.0,7.3,17.0,0.47,14.0,2019
Aaron Ramsdale,eng ENG,Bournemouth,21,1998,37.0,37.0,3330.0,62.0,1.68,177.0,120.0,67.8,9.0,7.0,21.0,5.0,13.5,6.0,5.0,1.0,0.0,4.0,5.0,0.0,61.6,0.32,-0.4,-0.01,199.0,655.0,30.4,835.0,184.0,53.7,44.8,289.0,71.6,58.9,324.0,20.0,6.2,17.0,0.46,14.2,2019
Alisson,br BRA,Liverpool,25,1992,38.0,38.0,3420.0,22.0,0.58,97.0,75.0,77.3,30.0,7.0,1.0,21.0,55.3,1.0,0.0,0.0,1.0,0.0,5.0,0.0,28.6,0.3,6.6,0.17,198.0,399.0,49.6,1058.0,197.0,26.7,32.4,216.0,53.7,46.8,263.0,20.0,7.6,44.0,1.16,16.7,2018
Kepa Arrizabalaga,es ESP,Chelsea,23,1994,36.0,36.0,3240.0,39.0,1.08,119.0,79.0,68.1,20.0,8.0,8.0,14.0,38.9,2.0,1.0,1.0,0.0,0.0,6.0,0.0,36.5,0.29,-2.5,-0.07,180.0,319.0,56.4,903.0,159.0,22.6,29.0,259.0,44.4,40.6,244.0,19.0,7.8,22.0,0.61,16.3,2018
Asmir Begović,ba BIH,Bournemouth,31,1987,24.0,24.0,2160.0,47.0,1.96,103.0,58.0,56.3,8.0,3.0,13.0,5.0,20.8,2.0,2.0,0.0,0.0,0.0,6.0,2.0,37.6,0.36,-7.4,-0.31,135.0,345.0,39.1,467.0,121.0,45.8,40.2,193.0,67.9,53.5,232.0,22.0,9.5,9.0,0.38,13.1,2018
Marcus Bettinelli,eng ENG,Fulham,26,1992,7.0,7.0,630.0,20.0,2.86,38.0,18.0,50.0,1.0,2.0,4.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,18.1,0.43,-1.9,-0.27,69.0,147.0,46.9,177.0,33.0,52.0,42.2,67.0,82.1,57.4,75.0,6.0,8.0,5.0,0.71,14.4,2018
Artur Boruc,pl POL,Bournemouth,38,1980,12.0,12.0,1080.0,18.0,1.5,53.0,36.0,71.7,4.0,3.0,5.0,4.0,33.3,3.0,3.0,0.0,0.0,2.0,2.0,0.0,16.7,0.27,-1.3,-0.11,64.0,183.0,35.0,235.0,58.0,44.7,41.2,113.0,69.0,53.3,129.0,4.0,3.1,5.0,0.42,14.1,2018
David Button,eng ENG,Brighton,29,1989,4.0,4.0,360.0,5.0,1.25,16.0,12.0,81.3,1.0,1.0,2.0,1.0,25.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.6,0.23,0.6,0.15,28.0,88.0,31.8,72.0,10.0,75.0,52.9,34.0,100.0,70.3,36.0,1.0,2.8,1.0,0.25,11.9,2018
Martin Dúbravka,sk SVK,Newcastle Utd,29,1989,38.0,38.0,3420.0,48.0,1.26,133.0,92.0,68.4,12.0,9.0,17.0,11.0,28.9,6.0,6.0,0.0,0.0,2.0,10.0,1.0,46.5,0.31,-0.5,-0.01,274.0,746.0,36.7,855.0,136.0,55.0,44.2,322.0,85.7,62.7,415.0,39.0,9.4,25.0,0.66,13.5,2018
Ederson,br BRA,Manchester City,24,1993,38.0,38.0,3420.0,23.0,0.61,79.0,60.0,75.9,32.0,2.0,4.0,20.0,52.6,4.0,4.0,0.0,0.0,1.0,5.0,0.0,28.1,0.32,5.1,0.13,146.0,287.0,50.9,909.0,172.0,21.7,30.1,187.0,48.1,46.9,184.0,19.0,10.3,31.0,0.82,17.3,2018
Neil Etheridge,ph PHI,Cardiff City,28,1990,38.0,38.0,3420.0,69.0,1.82,200.0,134.0,67.5,10.0,4.0,24.0,10.0,26.3,7.0,4.0,3.0,0.0,1.0,13.0,0.0,70.8,0.33,1.8,0.05,343.0,1123.0,30.5,886.0,52.0,91.0,61.8,319.0,99.4,70.3,283.0,16.0,5.7,42.0,1.11,15.8,2018
Łukasz Fabiański,pl POL,West Ham,33,1985,38.0,38.0,3420.0,55.0,1.45,192.0,138.0,73.4,15.0,7.0,16.0,7.0,18.4,5.0,4.0,1.0,0.0,0.0,10.0,1.0,65.3,0.33,11.3,0.3,327.0,866.0,37.8,926.0,150.0,62.9,49.5,307.0,92.5,67.8,378.0,36.0,9.5,17.0,0.45,13.1,2018
Ben Foster,eng ENG,Watford,35,1983,38.0,38.0,3420.0,59.0,1.55,171.0,115.0,67.8,14.0,8.0,16.0,7.0,18.4,5.0,4.0,1.0,0.0,2.0,7.0,3.0,53.6,0.3,-2.4,-0.06,362.0,977.0,37.1,944.0,105.0,73.3,52.8,307.0,92.8,68.9,388.0,33.0,8.5,49.0,1.29,15.6,2018
David de Gea,es ESP,Manchester Utd,27,1990,38.0,38.0,3420.0,54.0,1.42,170.0,125.0,71.8,19.0,9.0,10.0,7.0,18.4,6.0,6.0,0.0,0.0,2.0,7.0,3.0,51.1,0.27,0.1,0.0,322.0,690.0,46.7,771.0,147.0,54.5,44.7,334.0,80.8,60.2,311.0,21.0,6.8,10.0,0.26,12.2,2018
Vicente Guaita,es ESP,Crystal Palace,31,1987,20.0,20.0,1755.0,23.0,1.18,84.0,60.0,73.8,10.0,4.0,6.0,7.0,35.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,21.2,0.24,-0.8,-0.04,135.0,416.0,32.5,405.0,84.0,60.2,47.3,189.0,91.0,64.0,208.0,18.0,8.7,5.0,0.26,12.3,2018
Joe Hart,eng ENG,Burnley,31,1987,19.0,19.0,1710.0,41.0,2.16,115.0,73.0,65.2,3.0,3.0,13.0,4.0,21.1,2.0,1.0,1.0,0.0,1.0,8.0,1.0,38.5,0.32,-1.5,-0.08,197.0,507.0,38.9,420.0,51.0,79.3,57.0,182.0,95.6,72.0,207.0,12.0,5.8,17.0,0.89,15.0,2018
Tom Heaton,eng ENG,Burnley,32,1986,19.0,19.0,1710.0,27.0,1.42,81.0,57.0,67.9,8.0,4.0,7.0,4.0,21.1,1.0,1.0,0.0,0.0,1.0,2.0,3.0,22.9,0.28,-1.1,-0.06,169.0,473.0,35.7,416.0,45.0,76.9,55.3,172.0,89.0,65.9,226.0,9.0,4.0,15.0,0.79,15.0,2018
Wayne Hennessey,wls WAL,Crystal Palace,31,1987,18.0,17.0,1575.0,26.0,1.49,65.0,42.0,64.6,4.0,3.0,10.0,5.0,29.4,4.0,3.0,1.0,0.0,1.0,5.0,0.0,21.8,0.29,-4.2,-0.24,114.0,349.0,32.7,367.0,60.0,61.9,49.3,144.0,84.7,68.4,179.0,9.0,5.0,13.0,0.74,15.2,2018
Bernd Leno,de GER,Arsenal,26,1992,32.0,31.0,2835.0,42.0,1.33,138.0,104.0,74.6,16.0,7.0,8.0,7.0,22.6,7.0,7.0,0.0,0.0,1.0,4.0,2.0,45.7,0.29,5.7,0.18,143.0,437.0,32.7,878.0,172.0,34.5,35.9,226.0,59.3,50.0,254.0,14.0,5.5,18.0,0.57,14.6,2018
Hugo Lloris,fr FRA,Tottenham,31,1986,33.0,33.0,2970.0,33.0,1.0,121.0,91.0,75.2,21.0,2.0,10.0,12.0,36.4,5.0,3.0,2.0,0.0,1.0,5.0,3.0,39.5,0.3,9.5,0.29,228.0,482.0,47.3,928.0,153.0,37.1,36.1,250.0,55.2,46.2,285.0,14.0,4.9,18.0,0.55,14.5,2018
Jonas Lössl,dk DEN,Huddersfield,29,1989,31.0,30.0,2777.0,54.0,1.75,137.0,87.0,63.5,3.0,5.0,22.0,5.0,16.7,5.0,4.0,1.0,0.0,1.0,6.0,0.0,45.9,0.32,-8.1,-0.26,327.0,705.0,46.4,890.0,93.0,59.4,45.8,221.0,79.6,60.6,218.0,21.0,9.6,21.0,0.68,14.1,2018
Alex McCarthy,eng ENG,Southampton,28,1989,25.0,25.0,2250.0,44.0,1.76,118.0,79.0,64.4,5.0,8.0,12.0,4.0,16.0,2.0,2.0,0.0,0.0,0.0,4.0,3.0,34.5,0.28,-6.5,-0.26,140.0,454.0,30.8,476.0,80.0,61.3,48.7,190.0,85.3,63.6,247.0,23.0,9.3,17.0,0.68,14.8,2018
Rui Patrício,pt POR,Wolves,30,1988,37.0,37.0,3330.0,46.0,1.24,136.0,95.0,68.4,15.0,9.0,13.0,8.0,21.6,4.0,3.0,0.0,1.0,1.0,7.0,4.0,37.7,0.27,-4.3,-0.12,248.0,584.0,42.5,578.0,108.0,60.4,44.1,285.0,82.5,56.2,303.0,18.0,5.9,11.0,0.3,12.3,2018
Jordan Pickford,eng ENG,Everton,24,1994,38.0,38.0,3420.0,46.0,1.21,131.0,87.0,66.4,15.0,9.0,14.0,14.0,36.8,5.0,2.0,3.0,0.0,2.0,11.0,2.0,47.7,0.34,3.7,0.1,292.0,778.0,37.5,983.0,156.0,58.8,48.7,288.0,69.4,59.1,280.0,24.0,8.6,32.0,0.84,15.3,2018
Sergio Rico,es ESP,Fulham,24,1993,29.0,29.0,2610.0,56.0,1.93,160.0,109.0,67.5,6.0,3.0,20.0,5.0,17.2,4.0,4.0,0.0,0.0,0.0,9.0,2.0,51.4,0.31,-2.6,-0.09,256.0,619.0,41.4,612.0,91.0,62.6,45.8,275.0,85.8,60.2,299.0,16.0,5.4,13.0,0.45,12.4,2018
Mathew Ryan,au AUS,Brighton,26,1992,34.0,34.0,3060.0,55.0,1.62,140.0,93.0,66.4,8.0,8.0,18.0,6.0,17.6,8.0,8.0,0.0,0.0,1.0,6.0,0.0,50.6,0.32,-4.4,-0.13,335.0,793.0,42.2,707.0,94.0,69.0,49.9,325.0,93.8,63.5,322.0,20.0,6.2,11.0,0.32,13.0,2018
Kasper Schmeichel,dk DEN,Leicester City,31,1986,38.0,38.0,3420.0,48.0,1.26,133.0,90.0,67.7,15.0,7.0,16.0,10.0,26.3,5.0,5.0,0.0,0.0,0.0,7.0,0.0,43.4,0.3,-4.6,-0.12,346.0,715.0,48.4,916.0,124.0,52.2,42.4,317.0,74.8,56.8,344.0,26.0,7.6,15.0,0.39,13.4,2018
Julián Speroni,ar ARG,Crystal Palace,39,1979,1.0,1.0,90.0,4.0,4.0,10.0,6.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.7,0.47,0.7,0.72,13.0,32.0,40.6,22.0,3.0,95.5,59.5,13.0,84.6,60.1,12.0,0.0,0.0,0.0,0.0,9.9,2018
