player,minute,squad,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type,date,squad_h,squad_a
Alexis Sánchez,2.0,Manchester Utd,Blocked,19,Right Foot,0,Luke Shaw,Pass (Live),Paul Pogba,Pass (Live),2018-08-10,Manchester Utd,Leicester City
Paul Pogba (pen),3.0,Manchester Utd,Goal,12,Right Foot,0,Alexis Sánchez,Shot,0,0,2018-08-10,Manchester Utd,Leicester City
Wilfred Ndidi,15.0,Leicester City,Saved,29,Right Foot,0,0,0,0,0,2018-08-10,Manchester Utd,Leicester City
Wilfred Ndidi,25.0,Leicester City,Blocked,23,Right Foot,0,James Maddison,Pass (Live),James Maddison,Dribble,2018-08-10,Manchester Utd,Leicester City
James Maddison,29.0,Leicester City,Saved,14,Right Foot,0,Ricardo Pereira,Pass (Live),Wilfred Ndidi,Pass (Live),2018-08-10,Manchester Utd,Leicester City
Ricardo Pereira,29.0,Leicester City,Blocked,30,Right Foot,Half volley,0,0,0,0,2018-08-10,Manchester Utd,Leicester City
James Maddison,32.0,Leicester City,Blocked,31,Right Foot,0,Ben Chilwell,Pass (Dead),James Maddison,Fouled,2018-08-10,Manchester Utd,Leicester City
Paul Pogba,40.0,Manchester Utd,Saved,30,Right Foot,0,Alexis Sánchez,Pass (Live),Paul Pogba,Pass (Live),2018-08-10,Manchester Utd,Leicester City
Luke Shaw,41.0,Manchester Utd,Saved,16,Right Foot,Half volley,Juan Mata,Pass (Live),Luke Shaw,Pass (Live),2018-08-10,Manchester Utd,Leicester City
Kelechi Iheanacho,50.0,Leicester City,Blocked,25,Left Foot,0,Daniel Amartey,Pass (Live),Adrien Silva,Pass (Live),2018-08-10,Manchester Utd,Leicester City
Matteo Darmian,56.0,Manchester Utd,Saved,24,Right Foot,0,Alexis Sánchez,Pass (Live),Juan Mata,Pass (Live),2018-08-10,Manchester Utd,Leicester City
Juan Mata,64.0,Manchester Utd,Off Target,19,Left Foot,0,Alexis Sánchez,Pass (Live),Paul Pogba,Pass (Live),2018-08-10,Manchester Utd,Leicester City
