player,minute,squad,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type,date,squad_h,squad_a
Kieran Tierney,2.0,Arsenal,Saved,33,Left Foot,0,Nicolas Pépé,Pass (Live),Granit Xhaka,Pass (Live),2021-08-13,Brentford,Arsenal
Frank Onyeka,11.0,Brentford,Off Target,7,Head,0,Bryan Mbeumo,Pass (Live),Rico Henry,Pass (Live),2021-08-13,Brentford,Arsenal
Bryan Mbeumo,12.0,Brentford,Woodwork,16,Right Foot,0,Ivan Toney,Pass (Live),Frank Onyeka,Pass (Live),2021-08-13,Brentford,Arsenal
Calum Chambers,16.0,Arsenal,Wayward,20,Right Foot,Half volley,Kieran Tierney,Pass (Live),Granit Xhaka,Pass (Live),2021-08-13,Brentford,Arsenal
Sergi Canós,22.0,Brentford,Goal,17,Right Foot,0,Ethan Pinnock,Pass (Live),0,0,2021-08-13,Brentford,Arsenal
Sergi Canós,28.0,Brentford,Off Target,20,Right Foot,0,Frank Onyeka,Pass (Live),Sergi Canós,Pass (Live),2021-08-13,Brentford,Arsenal
Bryan Mbeumo,30.0,Brentford,Off Target,13,Right Foot,0,Bryan Mbeumo,Dribble,Kristoffer Ajer,Pass (Live),2021-08-13,Brentford,Arsenal
Folarin Balogun,31.0,Arsenal,Off Target,9,Right Foot,0,Kieran Tierney,Pass (Live),Granit Xhaka,Pass (Live),2021-08-13,Brentford,Arsenal
Nicolas Pépé,33.0,Arsenal,Off Target,24,Left Foot,0,Martinelli,Pass (Live),Emile Smith-Rowe,Pass (Live),2021-08-13,Brentford,Arsenal
Folarin Balogun,38.0,Arsenal,Off Target,24,Right Foot,0,0,0,0,0,2021-08-13,Brentford,Arsenal
Folarin Balogun,42.0,Arsenal,Wayward,9,Head,0,Kieran Tierney,Pass (Live),Granit Xhaka,Pass (Live),2021-08-13,Brentford,Arsenal
Nicolas Pépé,45.1,Arsenal,Blocked,16,Left Foot,0,Martinelli,Pass (Live),Emile Smith-Rowe,Pass (Live),2021-08-13,Brentford,Arsenal
