player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,date,squad_h,squad_a
Pontus Jansson,CB,30-181,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,19.0,89.5,0.0,14.0,0.0,0.0,0.0,346.0,82.0,5.0,5.0,100.0,9.0,10.0,90.0,3.0,4.0,75.0,None,0.0,0.0,0.0,0.0,17.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,6.0,0.0,16.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,3.0,2.0,0.0,0.0,0.0,1.0,3.0,7.0,0.0,15.0,25.0,7.0,0.0,0.0,29.0,0.0,0.0,0.0,83.0,28.0,0.0,0.0,0.0,0.0,14.0,14.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,33.3,2021-08-13,Brentford,Arsenal
Kristoffer Ajer,CB,23-118,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,6.0,1.0,0.0,0.0,0.0,0.0,0.3,1.0,0.0,18.0,31.0,58.1,1.0,21.0,3.0,1.0,1.0,320.0,138.0,10.0,11.0,90.9,6.0,11.0,54.5,2.0,6.0,33.3,None,1.0,1.0,0.0,0.0,27.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,9.0,1.0,20.0,6.0,4.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,2.0,33.3,6.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,12.0,18.0,5.0,1.0,31.0,100.0,1.0,0.0,72.0,33.0,0.0,0.0,0.0,0.0,19.0,18.0,94.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,2021-08-13,Brentford,Arsenal
Mads Bech Sørensen,CB,22-218,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,None,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-08-13,Brentford,Arsenal
David Raya,GK,25-332,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,51.0,47.1,0.0,24.0,0.0,0.0,0.0,935.0,689.0,2.0,2.0,100.0,9.0,9.0,100.0,13.0,40.0,32.5,None,0.0,2.0,0.0,0.0,32.0,19.0,3.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,40.0,8.0,34.0,0.0,0.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,53.0,1.0,0.0,0.0,34.0,0.0,0.0,0.0,129.0,61.0,0.0,0.0,0.0,0.0,22.0,21.0,95.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2021-08-13,Brentford,Arsenal
Folarin Balogun,FW,20-041,58.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,16.0,12.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,3.0,5.0,60.0,0.0,14.0,1.0,0.0,1.0,42.0,0.0,2.0,4.0,50.0,1.0,1.0,100.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,41.7,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,5.0,16.0,0.0,0.0,0.0,40.0,8.0,0.0,1.0,4.0,1.0,29.0,14.0,48.3,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0,2021-08-13,Brentford,Arsenal
Bukayo Saka,FW,19-342,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,18.0,23.0,78.3,2.0,27.0,7.0,2.0,2.0,246.0,59.0,9.0,11.0,81.8,9.0,9.0,100.0,0.0,1.0,0.0,None,1.0,2.0,1.0,0.0,21.0,2.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,19.0,3.0,1.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,13.0,19.0,6.0,30.0,100.0,2.0,0.0,169.0,105.0,2.0,2.0,4.0,2.0,27.0,25.0,92.6,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2021-08-13,Brentford,Arsenal
Martinelli,LW,20-056,70.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,13.0,1.0,0.0,3.0,0.1,0.1,0.1,2.0,0.0,10.0,14.0,71.4,0.0,14.0,1.0,0.0,1.0,135.0,21.0,4.0,4.0,100.0,5.0,8.0,62.5,0.0,1.0,0.0,None,2.0,1.0,0.0,0.0,13.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,2.0,2.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,50.0,1.0,3.0,23.1,3.0,4.0,6.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,11.0,12.0,3.0,21.0,0.0,0.0,0.0,51.0,21.0,1.0,0.0,2.0,1.0,23.0,17.0,73.9,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,60.0,2021-08-13,Brentford,Arsenal
Reiss Nelson,"RW,LW",21-246,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,11.0,90.9,1.0,11.0,0.0,0.0,0.0,117.0,17.0,6.0,6.0,100.0,3.0,3.0,100.0,0.0,0.0,0.0,None,1.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,2.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,10.0,2.0,16.0,0.0,0.0,0.0,44.0,14.0,0.0,0.0,1.0,0.0,12.0,11.0,91.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2021-08-13,Brentford,Arsenal
Nicolas Pépé,"RW,LW",26-076,90.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,57.0,11.0,2.0,0.0,1.0,0.3,0.3,0.1,5.0,0.0,35.0,43.0,81.4,0.0,45.0,7.0,2.0,3.0,572.0,63.0,20.0,24.0,83.3,12.0,14.0,85.7,3.0,5.0,60.0,None,3.0,0.0,0.0,0.0,39.0,4.0,0.0,1.0,11.0,0.0,0.0,4.0,1.0,1.0,0.0,36.0,2.0,5.0,36.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,100.0,0.0,4.0,36.4,3.0,3.0,5.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,6.0,15.0,40.0,9.0,52.0,66.7,2.0,0.0,246.0,96.0,1.0,2.0,2.0,2.0,51.0,42.0,82.4,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,50.0,2021-08-13,Brentford,Arsenal
Emile Smith-Rowe,AM,21-016,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,59.0,11.0,0.0,1.0,0.0,0.1,0.1,0.4,5.0,0.0,48.0,50.0,96.0,12.0,50.0,11.0,2.0,3.0,748.0,269.0,23.0,24.0,95.8,21.0,21.0,100.0,3.0,4.0,75.0,None,2.0,1.0,5.0,0.0,49.0,1.0,0.0,2.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,43.0,4.0,3.0,10.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,45.5,1.0,4.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,31.0,34.0,5.0,58.0,66.7,2.0,0.0,369.0,209.0,9.0,3.0,2.0,1.0,56.0,50.0,89.3,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,66.7,2021-08-13,Brentford,Arsenal
