player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,date,squad_h,squad_a
César Azpilicueta,"WB,CB",32-000,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,18.0,6.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,36.0,52.0,69.2,0.0,21.0,1.0,0.0,0.0,597.0,272.0,16.0,22.0,72.7,16.0,21.0,76.2,3.0,8.0,37.5,None,0.0,0.0,0.0,0.0,48.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,9.0,14.0,4.0,37.0,8.0,2.0,0.0,0.0,1.0,1.0,2.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,38.9,11.0,6.0,1.0,0.0,0.0,5.0,8.0,10.0,0.0,18.0,52.0,15.0,10.0,2.0,72.0,0.0,0.0,0.0,77.0,44.0,0.0,0.0,0.0,0.0,42.0,39.0,92.9,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0,40.0,2021-08-28,Liverpool,Chelsea
Edouard Mendy,GK,29-180,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,40.0,65.0,0.0,9.0,0.0,0.0,0.0,888.0,598.0,4.0,4.0,100.0,11.0,11.0,100.0,10.0,24.0,41.7,None,0.0,0.0,0.0,0.0,22.0,18.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,22.0,4.0,26.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,47.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,60.0,37.0,0.0,0.0,0.0,0.0,11.0,11.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2021-08-28,Liverpool,Chelsea
Harry Kane,FW,28-032,90.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,34.0,10.0,0.0,0.0,0.0,0.1,0.1,0.3,3.0,0.0,21.0,26.0,80.8,4.0,29.0,3.0,2.0,3.0,367.0,91.0,10.0,10.0,100.0,7.0,9.0,77.8,3.0,5.0,60.0,None,2.0,1.0,2.0,0.0,26.0,0.0,0.0,0.0,7.0,1.0,3.0,0.0,0.0,0.0,0.0,16.0,4.0,6.0,1.0,24.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,13.0,20.0,9.0,34.0,66.7,2.0,0.0,155.0,51.0,1.0,3.0,1.0,2.0,49.0,28.0,57.1,10.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,2021-08-29,Tottenham,Watford
Steven Bergwijn,LW,23-325,67.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,37.0,10.0,1.0,2.0,2.0,0.1,0.1,0.0,2.0,1.0,21.0,25.0,84.0,4.0,26.0,6.0,0.0,1.0,293.0,91.0,14.0,14.0,100.0,5.0,6.0,83.3,1.0,3.0,33.3,None,0.0,2.0,3.0,0.0,24.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,19.0,2.0,4.0,1.0,22.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,4.0,9.0,27.0,4.0,36.0,0.0,0.0,0.0,159.0,92.0,0.0,1.0,0.0,0.0,36.0,25.0,69.4,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2021-08-29,Tottenham,Watford
Lucas Moura,RW,29-016,23.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,66.7,2.0,15.0,3.0,1.0,3.0,126.0,48.0,5.0,8.0,62.5,3.0,4.0,75.0,0.0,0.0,0.0,None,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,1.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,40.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,10.0,11.0,3.0,21.0,33.3,1.0,0.0,75.0,59.0,0.0,2.0,0.0,1.0,19.0,16.0,84.2,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0,2021-08-29,Tottenham,Watford
Son Heung-min,"RW,LW",29-052,87.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,55.0,9.0,0.0,1.0,0.0,0.2,0.2,0.1,3.0,0.0,32.0,47.0,68.1,4.0,39.0,3.0,3.0,4.0,530.0,113.0,19.0,22.0,86.4,10.0,13.0,76.9,3.0,10.0,30.0,None,2.0,0.0,3.0,0.0,36.0,11.0,2.0,0.0,6.0,1.0,2.0,8.0,2.0,5.0,0.0,27.0,6.0,14.0,2.0,40.0,4.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.2,1.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,9.0,47.0,9.0,43.0,75.0,3.0,0.0,149.0,77.0,2.0,0.0,2.0,2.0,42.0,34.0,81.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,2021-08-29,Tottenham,Watford
Bryan,LW,20-199,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-08-29,Tottenham,Watford
Dele Alli,AM,25-140,90.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,51.0,22.0,3.0,1.0,5.0,0.3,0.3,0.0,2.0,0.0,29.0,35.0,82.9,3.0,41.0,7.0,0.0,2.0,462.0,119.0,16.0,19.0,84.2,10.0,10.0,100.0,3.0,5.0,60.0,None,0.0,4.0,1.0,0.0,33.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,2.0,3.0,1.0,33.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,50.0,1.0,7.0,31.8,6.0,9.0,7.0,0.0,0.0,5.0,4.0,2.0,0.0,1.0,3.0,24.0,25.0,8.0,49.0,0.0,1.0,0.0,250.0,127.0,1.0,0.0,1.0,1.0,39.0,33.0,84.6,5.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,50.0,2021-08-29,Tottenham,Watford
Oliver Skipp,DM,20-347,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,76.0,12.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,64.0,68.0,94.1,9.0,59.0,11.0,0.0,0.0,1221.0,270.0,25.0,25.0,100.0,32.0,34.0,94.1,7.0,8.0,87.5,None,0.0,11.0,0.0,0.0,67.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,7.0,3.0,2.0,65.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0,25.0,6.0,6.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,6.0,58.0,14.0,1.0,76.0,0.0,0.0,0.0,280.0,153.0,2.0,1.0,0.0,0.0,58.0,57.0,98.3,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,100.0,2021-08-29,Tottenham,Watford
Pierre Højbjerg,DM,26-024,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,99.0,17.0,2.0,2.0,5.0,0.0,0.0,0.0,2.0,0.0,76.0,88.0,86.4,7.0,72.0,8.0,2.0,2.0,1608.0,454.0,32.0,33.0,97.0,31.0,33.0,93.9,13.0,22.0,59.1,None,1.0,12.0,3.0,0.0,83.0,5.0,2.0,0.0,8.0,8.0,1.0,2.0,0.0,0.0,0.0,65.0,8.0,15.0,5.0,81.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,23.5,2.0,11.0,4.0,1.0,0.0,4.0,4.0,2.0,0.0,2.0,14.0,62.0,29.0,1.0,93.0,100.0,2.0,0.0,333.0,194.0,3.0,0.0,1.0,0.0,72.0,68.0,94.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,1.0,50.0,2021-08-29,Tottenham,Watford
Sergio Reguilón,LB,24-256,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,48.0,19.0,3.0,5.0,2.0,0.0,0.0,0.0,3.0,1.0,32.0,37.0,86.5,2.0,33.0,1.0,0.0,1.0,473.0,123.0,22.0,24.0,91.7,7.0,9.0,77.8,2.0,3.0,66.7,None,1.0,3.0,2.0,1.0,33.0,4.0,1.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,29.0,4.0,4.0,30.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,100.0,0.0,2.0,10.5,7.0,9.0,3.0,0.0,0.0,2.0,8.0,1.0,0.0,1.0,9.0,21.0,21.0,1.0,44.0,0.0,0.0,0.0,117.0,39.0,2.0,0.0,0.0,0.0,32.0,28.0,87.5,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2021-08-29,Tottenham,Watford
Eric Dier,CB,27-226,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,63.0,2.0,0.0,0.0,2.0,0.0,0.0,0.1,1.0,0.0,50.0,53.0,94.3,2.0,46.0,4.0,0.0,0.0,1003.0,313.0,16.0,16.0,100.0,30.0,30.0,100.0,4.0,7.0,57.1,None,1.0,3.0,0.0,0.0,53.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,3.0,4.0,6.0,44.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,9.0,25.0,38.0,3.0,1.0,62.0,0.0,0.0,0.0,210.0,120.0,1.0,0.0,0.0,0.0,51.0,51.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,66.7,2021-08-29,Tottenham,Watford
Davinson Sánchez,CB,25-078,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,69.0,8.0,3.0,2.0,3.0,0.1,0.1,0.0,1.0,0.0,48.0,53.0,90.6,3.0,48.0,4.0,0.0,1.0,1044.0,222.0,11.0,12.0,91.7,32.0,32.0,100.0,5.0,9.0,55.6,None,0.0,5.0,0.0,0.0,51.0,2.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,7.0,8.0,44.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,50.0,1.0,3.0,37.5,4.0,4.0,0.0,1.0,0.0,2.0,5.0,5.0,0.0,4.0,21.0,47.0,4.0,2.0,67.0,0.0,0.0,0.0,251.0,135.0,0.0,0.0,0.0,0.0,53.0,51.0,96.2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,37.5,2021-08-29,Tottenham,Watford
Japhet Tanganga,RB,22-151,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,68.0,13.0,3.0,0.0,1.0,0.1,0.1,0.1,1.0,0.0,46.0,56.0,82.1,4.0,47.0,1.0,0.0,0.0,729.0,152.0,27.0,30.0,90.0,17.0,22.0,77.3,2.0,3.0,66.7,None,1.0,1.0,3.0,1.0,44.0,12.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,30.0,17.0,9.0,4.0,38.0,2.0,12.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,6.0,46.2,6.0,6.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,3.0,9.0,25.0,37.0,3.0,56.0,0.0,0.0,0.0,157.0,96.0,1.0,0.0,0.0,4.0,46.0,43.0,93.5,7.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,66.7,2021-08-29,Tottenham,Watford
Hugo Lloris,GK,34-246,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,16.0,68.8,0.0,5.0,0.0,0.0,0.0,300.0,204.0,5.0,5.0,100.0,3.0,3.0,100.0,3.0,8.0,37.5,None,1.0,0.0,0.0,0.0,8.0,8.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,7.0,12.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,17.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,23.0,17.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2021-08-29,Tottenham,Watford
Joshua King,FW,29-226,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,10.0,0.0,1.0,0.0,0.0,0.0,0.1,2.0,0.0,8.0,13.0,61.5,0.0,9.0,1.0,0.0,0.0,114.0,0.0,7.0,9.0,77.8,0.0,2.0,0.0,1.0,1.0,100.0,None,2.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,3.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.0,6.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,12.0,7.0,1.0,17.0,0.0,0.0,0.0,74.0,46.0,1.0,0.0,2.0,0.0,23.0,11.0,47.8,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,44.4,2021-08-29,Tottenham,Watford
Cucho,FW,22-131,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,50.0,1.0,7.0,0.0,0.0,1.0,56.0,21.0,3.0,3.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,None,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,3.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,7.0,5.0,1.0,13.0,0.0,0.0,0.0,15.0,4.0,0.0,0.0,1.0,0.0,12.0,9.0,75.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,50.0,2021-08-29,Tottenham,Watford
Emmanuel Dennis,LM,23-287,90.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,35.0,14.0,3.0,0.0,1.0,0.1,0.1,0.0,3.0,0.0,16.0,21.0,76.2,3.0,29.0,5.0,3.0,3.0,248.0,141.0,13.0,15.0,86.7,2.0,4.0,50.0,1.0,1.0,100.0,None,0.0,1.0,1.0,0.0,21.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,5.0,2.0,6.0,13.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,21.4,5.0,6.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,6.0,20.0,14.0,3.0,34.0,100.0,3.0,0.0,158.0,99.0,1.0,2.0,2.0,5.0,26.0,24.0,92.3,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,20.0,2021-08-29,Tottenham,Watford
Juraj Kucka,CM,34-184,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,46.0,17.0,2.0,1.0,1.0,0.2,0.2,0.0,2.0,0.0,19.0,26.0,73.1,2.0,27.0,5.0,0.0,0.0,356.0,29.0,11.0,17.0,64.7,3.0,4.0,75.0,4.0,4.0,100.0,None,1.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,7.0,3.0,20.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,33.3,2.0,4.0,23.5,5.0,10.0,2.0,0.0,0.0,1.0,3.0,4.0,0.0,8.0,14.0,24.0,11.0,2.0,46.0,0.0,0.0,0.0,120.0,48.0,2.0,0.0,3.0,2.0,30.0,27.0,90.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,50.0,2021-08-29,Tottenham,Watford
Moussa Sissoko,CM,32-013,70.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,27.0,5.0,0.0,0.0,2.0,0.1,0.1,0.3,3.0,0.0,14.0,17.0,82.4,0.0,16.0,3.0,1.0,2.0,264.0,48.0,7.0,7.0,100.0,6.0,9.0,66.7,1.0,1.0,100.0,None,2.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,11.0,3.0,3.0,4.0,10.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,6.0,16.0,6.0,2.0,25.0,50.0,1.0,0.0,109.0,59.0,1.0,1.0,1.0,2.0,15.0,15.0,100.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2021-08-29,Tottenham,Watford
Tom Cleverley,CM,32-017,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,60.0,1.0,5.0,1.0,0.0,0.0,92.0,32.0,2.0,3.0,66.7,4.0,5.0,80.0,0.0,1.0,0.0,None,0.0,1.0,0.0,0.0,8.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,4.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,3.0,75.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,5.0,4.0,5.0,0.0,12.0,0.0,0.0,0.0,25.0,8.0,0.0,0.0,0.0,1.0,5.0,4.0,80.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,100.0,2021-08-29,Tottenham,Watford
Ismaila Sarr,RM,23-185,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,43.0,6.0,0.0,1.0,0.0,0.3,0.3,0.2,3.0,0.0,18.0,24.0,75.0,0.0,41.0,7.0,2.0,4.0,325.0,28.0,9.0,10.0,90.0,6.0,6.0,100.0,2.0,3.0,66.7,None,2.0,1.0,1.0,1.0,24.0,0.0,0.0,0.0,9.0,1.0,3.0,0.0,0.0,0.0,0.0,17.0,5.0,2.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.7,2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,20.0,21.0,6.0,43.0,50.0,2.0,0.0,205.0,135.0,1.0,3.0,4.0,4.0,48.0,40.0,83.3,5.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2021-08-29,Tottenham,Watford
Oghenekaro Etebo,DM,25-293,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,28.0,32.0,87.5,2.0,31.0,4.0,1.0,1.0,715.0,162.0,5.0,5.0,100.0,16.0,16.0,100.0,7.0,10.0,70.0,None,1.0,1.0,1.0,1.0,30.0,2.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0,8.0,3.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,2.0,22.2,5.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,13.0,21.0,5.0,0.0,33.0,100.0,1.0,0.0,190.0,92.0,1.0,0.0,0.0,0.0,23.0,23.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2021-08-29,Tottenham,Watford
Adam Masina,LB,27-239,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,12.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,52.0,66.0,78.8,3.0,44.0,3.0,0.0,0.0,1055.0,448.0,13.0,16.0,81.3,32.0,35.0,91.4,6.0,14.0,42.9,None,0.0,2.0,0.0,0.0,53.0,13.0,1.0,0.0,5.0,1.0,2.0,2.0,1.0,1.0,0.0,32.0,13.0,21.0,44.0,6.0,4.0,10.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,4.0,25.0,3.0,3.0,25.0,9.0,2.0,1.0,1.0,0.0,1.0,2.0,6.0,0.0,9.0,34.0,34.0,10.0,0.0,63.0,0.0,0.0,0.0,198.0,141.0,0.0,0.0,0.0,0.0,49.0,47.0,95.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,75.0,2021-08-29,Tottenham,Watford
Francisco Sierralta,CB,24-115,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,49.0,52.0,94.2,0.0,40.0,0.0,0.0,0.0,1180.0,253.0,2.0,4.0,50.0,38.0,39.0,97.4,8.0,8.0,100.0,None,0.0,0.0,0.0,0.0,50.0,2.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,43.0,2.0,7.0,4.0,44.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,50.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,17.0,48.0,11.0,0.0,0.0,56.0,0.0,0.0,0.0,148.0,39.0,0.0,0.0,1.0,0.0,43.0,42.0,97.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,100.0,2021-08-29,Tottenham,Watford
William Troost-Ekong,CB,27-362,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,45.0,95.6,1.0,37.0,0.0,0.0,0.0,1168.0,241.0,7.0,7.0,100.0,21.0,21.0,100.0,15.0,17.0,88.2,None,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,37.0,1.0,7.0,2.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,13.0,37.0,13.0,2.0,0.0,49.0,0.0,0.0,0.0,171.0,91.0,0.0,0.0,0.0,0.0,39.0,39.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,100.0,2021-08-29,Tottenham,Watford
