date,time,squad_h,squad_a,stadium,referee,attendance
2018-08-10,20:00 ,Manchester Utd,Leicester City,Old Trafford,Andre Marriner,74439
2018-08-11,12:30 ,Newcastle Utd,Tottenham,St. James' Park,Martin Atkinson,51749
2018-08-11,15:00 ,Watford,Brighton,Vicarage Road Stadium,Jonathan Moss,20051
2018-08-11,15:00 ,Huddersfield,Chelsea,The John Smith's Stadium,Chris Kavanagh,24121
2018-08-11,15:00 ,Bournemouth,Cardiff City,Vitality Stadium,Kevin Friend,10353
2018-08-11,15:00 ,Fulham,Crystal Palace,Craven Cottage,Mike Dean,24821
2018-08-11,17:30 ,Wolves,Everton,Molineux Stadium,Craig Pawson,31231
2018-08-12,13:30 ,Southampton,Burnley,St. Mary's Stadium,Graham Scott,30784
2018-08-12,13:30 ,Liverpool,West Ham,Anfield,Anthony Taylor,53235
2018-08-12,16:00 ,Arsenal,Manchester City,Emirates Stadium,Michael Oliver,59934
2018-08-18,12:30 ,Cardiff City,Newcastle Utd,Cardiff City Stadium,Craig Pawson,30720
2018-08-18,15:00 ,Everton,Southampton,Goodison Park,Lee Mason,38601
2018-08-18,15:00 ,West Ham,Bournemouth,London Stadium,Stuart Attwell,56888
2018-08-18,15:00 ,Leicester City,Wolves,King Power Stadium,Mike Dean,32043
2018-08-18,15:00 ,Tottenham,Fulham,Wembley Stadium,Anthony Taylor,58297
2018-08-18,17:30 ,Chelsea,Arsenal,Stamford Bridge,Martin Atkinson,40491
2018-08-19,13:30 ,Manchester City,Huddersfield,Etihad Stadium,Andre Marriner,54021
2018-08-19,13:30 ,Burnley,Watford,Turf Moor,Paul Tierney,18822
2018-08-19,16:00 ,Brighton,Manchester Utd,The American Express Community Stadium,Kevin Friend,30592
2018-08-20,20:00 ,Crystal Palace,Liverpool,Selhurst Park,Michael Oliver,25750
2018-08-25,12:30 ,Wolves,Manchester City,Molineux Stadium,Martin Atkinson,31322
2018-08-25,15:00 ,Southampton,Leicester City,St. Mary's Stadium,Jonathan Moss,29925
2018-08-25,15:00 ,Arsenal,West Ham,Emirates Stadium,Graham Scott,59830
2018-08-25,15:00 ,Bournemouth,Everton,Vitality Stadium,Lee Probert,10654
2018-08-25,15:00 ,Huddersfield,Cardiff City,The John Smith's Stadium,Michael Oliver,21193
2018-08-25,17:30 ,Liverpool,Brighton,Anfield,Chris Kavanagh,53294
2018-08-26,13:30 ,Watford,Crystal Palace,Vicarage Road Stadium,Anthony Taylor,20014
2018-08-26,16:00 ,Newcastle Utd,Chelsea,St. James' Park,Paul Tierney,51791
2018-08-26,16:00 ,Fulham,Burnley,Craven Cottage,David Coote,23438
2018-08-27,20:00 ,Manchester Utd,Tottenham,Old Trafford,Craig Pawson,74400
2018-09-01,12:30 ,Leicester City,Liverpool,King Power Stadium,Paul Tierney,32149
2018-09-01,15:00 ,Crystal Palace,Southampton,Selhurst Park,Martin Atkinson,25495
2018-09-01,15:00 ,Chelsea,Bournemouth,Stamford Bridge,Lee Mason,40178
2018-09-01,15:00 ,Brighton,Fulham,The American Express Community Stadium,Lee Probert,30526
