,Top_100,Top_1K,Top_10K,Top_50K,Top_100K,Top_250K,Top_500K
wildcard,0.0,1.6,0.6,0.8750000000000001,0.6,1.0666666666666667,1.436
freehit,0.0,0.0,0.05,0.075,0.02,0.06666666666666667,0.092
bboost,1.3333333333333335,0.8,1.0999999999999999,0.5,0.72,0.7666666666666666,0.792
3xc,0.0,0.0,0.15,0.025,0.04,0.04,0.032
