,rank,prev_rank,name,league,off,def,spi
0,1,1,Manchester City,Barclays Premier League,2.85,0.2,93.5
1,2,2,Bayern Munich,German Bundesliga,3.38,0.52,92.3
2,3,3,Liverpool,Barclays Premier League,2.92,0.48,89.79
3,4,4,Chelsea,Barclays Premier League,2.39,0.29,88.67
4,5,5,Ajax,Dutch Eredivisie,3.09,0.64,88.62
5,6,6,Atletico Madrid,Spanish Primera Division,2.21,0.37,85.18
6,7,7,Real Madrid,Spanish Primera Division,2.58,0.58,85.05
7,8,8,Barcelona,Spanish Primera Division,2.55,0.58,84.65
8,9,9,RB Leipzig,German Bundesliga,2.49,0.59,83.82
9,10,11,Manchester United,Barclays Premier League,2.34,0.53,83.39
10,11,10,Paris Saint-Germain,French Ligue 1,2.48,0.62,83.07
11,12,12,Borussia Dortmund,German Bundesliga,2.64,0.75,82.53
12,13,13,Internazionale,Italy Serie A,2.48,0.66,82.32
13,14,14,Sevilla FC,Spanish Primera Division,2.0,0.45,80.67
14,15,15,Napoli,Italy Serie A,2.32,0.65,80.61
15,16,16,FC Salzburg,Austrian T-Mobile Bundesliga,2.56,0.85,79.55
16,17,17,Real Sociedad,Spanish Primera Division,2.0,0.51,79.25
17,18,18,Juventus,Italy Serie A,2.33,0.75,78.65
18,19,19,Benfica,Portuguese Liga,2.23,0.69,78.61
19,20,20,Villarreal,Spanish Primera Division,2.08,0.59,78.6
20,21,21,Bayer Leverkusen,German Bundesliga,2.27,0.72,78.48
21,22,22,Atalanta,Italy Serie A,2.31,0.77,77.82
22,23,23,AC Milan,Italy Serie A,2.23,0.73,77.7
23,24,24,FC Porto,Portuguese Liga,2.16,0.69,77.53
24,25,25,Arsenal,Barclays Premier League,2.0,0.63,76.38
25,26,26,West Ham United,Barclays Premier League,2.11,0.76,75.14
26,27,27,Real Betis,Spanish Primera Division,2.02,0.72,74.6
27,28,28,Tottenham Hotspur,Barclays Premier League,2.14,0.81,74.57
