rank,prev_rank,name,league,off,def,spi
1,1.0,Bayern Munich,German Bundesliga,3.22,0.54,91.06
2,2.0,Manchester City,Barclays Premier League,2.74,0.36,90.29
3,4.0,Barcelona,Spanish Primera Division,2.54,0.41,87.74
4,3.0,Arsenal,Barclays Premier League,2.39,0.43,85.82
5,5.0,Real Madrid,Spanish Primera Division,2.54,0.55,85.12
6,6.0,Paris Saint-Germain,French Ligue 1,2.66,0.66,84.3
7,9.0,Napoli,Italy Serie A,2.48,0.63,82.87
8,7.0,Liverpool,Barclays Premier League,2.58,0.74,82.04
9,10.0,RB Leipzig,German Bundesliga,2.44,0.67,81.75
10,8.0,Newcastle,Barclays Premier League,2.1,0.47,81.53
11,11.0,Chelsea,Barclays Premier League,2.03,0.46,80.83
12,13.0,FC Porto,Portuguese Liga,2.3,0.65,80.46
13,14.0,Benfica,Portuguese Liga,2.39,0.7,80.4
14,16.0,Ajax,Dutch Eredivisie,2.81,1.0,79.87
15,12.0,Manchester United,Barclays Premier League,2.29,0.66,79.86
16,15.0,Brighton and Hove Albion,Barclays Premier League,2.27,0.66,79.66
17,17.0,Tottenham Hotspur,Barclays Premier League,2.3,0.7,79.3
18,18.0,Internazionale,Italy Serie A,2.32,0.75,78.56
19,21.0,Borussia Dortmund,German Bundesliga,2.4,0.83,77.91
20,20.0,Zenit St Petersburg,Russian Premier Liga,2.09,0.69,76.46
21,19.0,Atletico Madrid,Spanish Primera Division,2.0,0.63,76.39
22,23.0,Marseille,French Ligue 1,2.09,0.73,75.52
23,22.0,Real Sociedad,Spanish Primera Division,1.79,0.55,74.96
24,29.0,Lille,French Ligue 1,1.98,0.68,74.96
25,28.0,Feyenoord,Dutch Eredivisie,2.21,0.84,74.9
26,24.0,Athletic Bilbao,Spanish Primera Division,1.84,0.59,74.79
27,25.0,AS Roma,Italy Serie A,1.9,0.64,74.66
28,30.0,VfL Wolfsburg,German Bundesliga,2.18,0.84,74.43
29,27.0,Celtic,Scottish Premiership,2.45,1.03,74.31
30,26.0,FC Salzburg,Austrian T-Mobile Bundesliga,2.09,0.78,74.29
31,37.0,Juventus,Italy Serie A,2.01,0.77,73.35
32,36.0,West Ham United,Barclays Premier League,1.84,0.65,73.35
33,31.0,Sporting CP,Portuguese Liga,1.95,0.73,73.33
34,33.0,Bayer Leverkusen,German Bundesliga,2.05,0.81,73.16
35,35.0,Eintracht Frankfurt,German Bundesliga,2.1,0.85,72.88
36,42.0,Brentford,Barclays Premier League,2.03,0.81,72.61
37,32.0,Aston Villa,Barclays Premier League,1.9,0.74,72.19
38,39.0,Lyon,French Ligue 1,1.97,0.79,72.18
39,38.0,AC Milan,Italy Serie A,2.1,0.91,71.52
40,49.0,AS Monaco,French Ligue 1,2.08,0.91,71.16
41,45.0,Palmeiras,Brasileiro Série A,1.81,0.74,70.63
42,41.0,Atalanta,Italy Serie A,2.09,0.95,70.58
43,40.0,Stade Rennes,French Ligue 1,1.91,0.82,70.54
44,43.0,Celta Vigo,Spanish Primera Division,1.79,0.73,70.46
45,34.0,Villarreal,Spanish Primera Division,1.82,0.76,70.22
46,47.0,Lens,French Ligue 1,1.79,0.75,69.98
47,46.0,Real Betis,Spanish Primera Division,1.76,0.73,69.87
48,53.0,Mainz,German Bundesliga,1.99,0.9,69.82
49,50.0,Lazio,Italy Serie A,1.88,0.83,69.73
50,48.0,PSV,Dutch Eredivisie,2.16,1.06,69.27
51,44.0,SC Freiburg,German Bundesliga,2.06,0.98,69.18
52,56.0,FC Cologne,German Bundesliga,1.94,0.89,69.1
53,52.0,1. FC Union Berlin,German Bundesliga,1.74,0.76,68.68
54,55.0,Osasuna,Spanish Primera Division,1.62,0.67,68.6
55,51.0,Fiorentina,Italy Serie A,1.9,0.89,68.49
56,61.0,Leicester City,Barclays Premier League,1.93,0.91,68.48
57,58.0,Rayo Vallecano,Spanish Primera Division,1.69,0.74,68.32
58,64.0,Fulham,Barclays Premier League,1.85,0.87,68.02
59,63.0,Genk,Belgian Jupiler League,2.14,1.11,67.85
60,65.0,Nice,French Ligue 1,1.7,0.76,67.82
61,57.0,Sevilla FC,Spanish Primera Division,1.73,0.8,67.54
62,62.0,Flamengo,Brasileiro Série A,1.8,0.85,67.46
63,54.0,FC Twente,Dutch Eredivisie,1.87,0.91,67.4
64,59.0,Valencia,Spanish Primera Division,1.75,0.82,67.4
65,60.0,Borussia Monchengladbach,German Bundesliga,2.09,1.1,67.22
66,69.0,Leeds United,Barclays Premier League,1.89,0.93,67.21
67,66.0,Atletico Mineiro,Brasileiro Série A,1.56,0.69,66.93
68,71.0,Crystal Palace,Barclays Premier League,1.67,0.79,66.46
69,72.0,Braga,Portuguese Liga,1.82,0.93,66.16
70,68.0,VfB Stuttgart,German Bundesliga,1.9,1.0,65.85
71,67.0,Rangers,Scottish Premiership,1.97,1.06,65.78
72,74.0,Girona FC,Spanish Primera Division,1.76,0.91,65.31
73,83.0,Wolverhampton,Barclays Premier League,1.63,0.82,65.09
74,75.0,Mallorca,Spanish Primera Division,1.47,0.69,64.93
75,73.0,Young Boys,Swiss Raiffeisen Super League,2.02,1.16,64.49
76,77.0,Fenerbahce,Turkish Turkcell Super Lig,2.05,1.19,64.4
77,70.0,TSG Hoffenheim,German Bundesliga,2.05,1.19,64.38
78,84.0,Getafe,Spanish Primera Division,1.45,0.71,64.21
79,76.0,Udinese,Italy Serie A,1.83,1.02,64.03
80,81.0,Torino,Italy Serie A,1.59,0.83,64.01
81,78.0,Fluminense,Brasileiro Série A,1.62,0.85,63.83
82,79.0,Monterrey,Mexican Primera Division Torneo Clausura,1.74,0.96,63.64
83,86.0,Union Saint Gilloise,Belgian Jupiler League,1.8,1.02,63.6
84,80.0,Reims,French Ligue 1,1.63,0.88,63.29
85,95.0,AZ,Dutch Eredivisie,1.98,1.18,63.26
86,85.0,Club América,Mexican Primera Division Torneo Clausura,1.77,1.01,63.18
87,82.0,Slavia Prague,UEFA Europa Conference League,1.83,1.06,63.09
88,89.0,Werder Bremen,German Bundesliga,1.88,1.11,62.84
89,94.0,Sassuolo,Italy Serie A,1.81,1.07,62.54
90,87.0,Internacional,Brasileiro Série A,1.58,0.89,62.15
91,91.0,Tigres UANL,Mexican Primera Division Torneo Clausura,1.69,0.99,61.97
92,88.0,Galatasaray,Turkish Turkcell Super Lig,1.84,1.12,61.94
93,90.0,Dinamo Zagreb,UEFA Champions League,1.8,1.09,61.85
94,93.0,Espanyol,Spanish Primera Division,1.62,0.94,61.85
95,146.0,River Plate,Argentina Primera Division,1.67,1.0,61.27
96,96.0,São Paulo,Brasileiro Série A,1.53,0.89,60.93
97,112.0,Everton,Barclays Premier League,1.63,1.0,60.54
98,98.0,Almeria,Spanish Primera Division,1.65,1.02,60.24
99,92.0,Southampton,Barclays Premier League,1.65,1.03,60.19
100,97.0,Club Brugge,Belgian Jupiler League,1.78,1.15,60.04
101,106.0,Bologna,Italy Serie A,1.69,1.07,60.02
102,99.0,Spartak Moscow,Russian Premier Liga,1.75,1.14,59.73
103,100.0,Bodo/Glimt,Norwegian Tippeligaen,2.15,1.49,59.7
104,103.0,Toulouse,French Ligue 1,1.71,1.11,59.62
105,105.0,FC Augsburg,German Bundesliga,1.82,1.21,59.3
106,102.0,Strasbourg,French Ligue 1,1.69,1.11,59.14
107,101.0,Monza,Italy Serie A,1.66,1.08,59.08
108,104.0,Shakhtar Donetsk,UEFA Europa League,1.82,1.23,58.84
109,107.0,Nottingham Forest,Barclays Premier League,1.52,0.97,58.77
110,108.0,FC Utrecht,Dutch Eredivisie,1.85,1.28,58.56
111,109.0,Slovácko,UEFA Europa Conference League,1.77,1.21,58.54
112,110.0,Red Star Belgrade,UEFA Europa League,1.75,1.19,58.52
113,111.0,Hertha Berlin,German Bundesliga,1.66,1.12,58.19
114,116.0,Cadiz,Spanish Primera Division,1.48,0.97,58.01
115,123.0,Schalke 04,German Bundesliga,1.59,1.08,57.82
116,115.0,Verona,Italy Serie A,1.58,1.07,57.72
117,113.0,FC Copenhagen,Danish SAS-Ligaen,1.61,1.1,57.63
118,114.0,KAA Gent,Belgian Jupiler League,1.64,1.13,57.31
119,129.0,Nantes,French Ligue 1,1.4,0.92,57.09
120,118.0,Molde,Norwegian Tippeligaen,1.88,1.37,56.95
121,134.0,Los Angeles FC,Major League Soccer,1.77,1.28,56.78
122,126.0,VfL Bochum,German Bundesliga,1.79,1.3,56.76
123,121.0,Philadelphia Union,Major League Soccer,1.73,1.25,56.64
124,120.0,Vitesse,Dutch Eredivisie,1.7,1.22,56.61
125,119.0,Pachuca,Mexican Primera Division Torneo Clausura,1.66,1.19,56.55
126,127.0,Burnley,English League Championship,1.46,1.01,56.53
127,130.0,Lecce,Italy Serie A,1.43,0.98,56.46
128,117.0,Clermont Foot,French Ligue 1,1.45,1.01,56.18
129,138.0,Real Valladolid,Spanish Primera Division,1.46,1.02,56.15
130,122.0,Antwerp,Belgian Jupiler League,1.53,1.11,55.44
131,124.0,Olympiacos,Greek Super League,1.4,1.0,55.37
132,128.0,Sheffield United,English League Championship,1.48,1.08,55.21
133,136.0,SK Sturm Graz,Austrian T-Mobile Bundesliga,1.48,1.09,54.95
134,133.0,Viktoria Plzen,UEFA Champions League,1.82,1.41,54.85
135,132.0,AFC Bournemouth,Barclays Premier League,1.54,1.15,54.82
136,135.0,AEK Athens,Greek Super League,1.52,1.14,54.69
137,137.0,Ferencvaros,UEFA Europa League,1.63,1.25,54.53
138,125.0,Besiktas,Turkish Turkcell Super Lig,1.6,1.22,54.51
139,139.0,SC Dnipro-1,UEFA Europa Conference League,1.67,1.29,54.36
140,140.0,Yokohama F. Marinos,Japanese J League,1.73,1.36,54.04
141,141.0,América Mineiro,Brasileiro Série A,1.42,1.06,54.04
142,142.0,Corinthians,Brasileiro Série A,1.24,0.89,53.97
143,143.0,Fortaleza,Brasileiro Série A,1.34,1.0,53.96
144,162.0,New York City FC,Major League Soccer,1.65,1.29,53.93
145,144.0,Dinamo Moscow,Russian Premier Liga,1.62,1.27,53.86
146,145.0,CSKA Moscow,Russian Premier Liga,1.45,1.1,53.8
147,149.0,Trabzonspor,Turkish Turkcell Super Lig,1.59,1.27,53.29
148,148.0,FK Partizan Belgrade,UEFA Europa Conference League,1.48,1.16,53.23
149,131.0,West Bromwich Albion,English League Championship,1.33,1.02,53.13
150,150.0,Dynamo Kiev,UEFA Europa League,1.51,1.19,53.06
151,171.0,Elche,Spanish Primera Division,1.51,1.2,52.96
152,151.0,Middlesbrough,English League Championship,1.42,1.11,52.91
153,153.0,Brest,French Ligue 1,1.47,1.16,52.9
154,152.0,Adana Demirspor,Turkish Turkcell Super Lig,1.54,1.24,52.72
155,154.0,Lorient,French Ligue 1,1.53,1.24,52.58
156,147.0,Santos Laguna,Mexican Primera Division Torneo Clausura,1.58,1.29,52.38
157,158.0,Steaua Bucuresti,UEFA Europa Conference League,1.5,1.24,51.89
158,159.0,Istanbul Basaksehir,Turkish Turkcell Super Lig,1.39,1.12,51.87
159,160.0,Kawasaki Frontale,Japanese J League,1.77,1.51,51.84
160,161.0,FC Midtjylland,Danish SAS-Ligaen,1.53,1.27,51.74
161,157.0,Cruz Azul,Mexican Primera Division Torneo Clausura,1.34,1.09,51.61
162,177.0,Anderlecht,Belgian Jupiler League,1.4,1.15,51.56
