rank,prev_rank,name,league,off,def,spi
1,2.0,Bayern Munich,German Bundesliga,3.56,0.5,93.38
2,1.0,Manchester City,Barclays Premier League,2.9,0.23,93.34
3,3.0,Liverpool,Barclays Premier League,3.12,0.4,92.21
4,4.0,Chelsea,Barclays Premier League,2.49,0.24,90.52
5,5.0,Ajax,Dutch Eredivisie,3.08,0.59,89.35
6,7.0,Internazionale,Italy Serie A,2.61,0.6,84.88
7,6.0,Real Madrid,Spanish Primera Division,2.62,0.65,84.16
8,9.0,Atletico Madrid,Spanish Primera Division,2.26,0.5,82.95
9,10.0,Barcelona,Spanish Primera Division,2.4,0.59,82.78
10,11.0,Paris Saint-Germain,French Ligue 1,2.53,0.69,82.33
11,8.0,RB Leipzig,German Bundesliga,2.57,0.79,80.82
12,12.0,Napoli,Italy Serie A,2.28,0.62,80.82
13,13.0,FC Porto,Portuguese Liga,2.27,0.63,80.4
14,14.0,Borussia Dortmund,German Bundesliga,2.58,0.84,80.12
15,15.0,Manchester United,Barclays Premier League,2.31,0.71,79.2
16,18.0,Juventus,Italy Serie A,2.2,0.64,79.17
17,16.0,Sevilla FC,Spanish Primera Division,2.01,0.53,79.08
18,19.0,Real Sociedad,Spanish Primera Division,1.9,0.49,78.32
19,22.0,Atalanta,Italy Serie A,2.34,0.78,78.09
20,17.0,West Ham United,Barclays Premier League,2.14,0.66,77.81
21,20.0,Benfica,Portuguese Liga,2.19,0.71,77.47
22,25.0,Arsenal,Barclays Premier League,2.04,0.63,77.09
23,28.0,Brighton and Hove Albion,Barclays Premier League,1.88,0.53,77.06
24,26.0,Bayer Leverkusen,German Bundesliga,2.23,0.79,76.29
25,27.0,Athletic Bilbao,Spanish Primera Division,1.85,0.54,76.16
26,23.0,AC Milan,Italy Serie A,2.18,0.76,76.15
27,24.0,Villarreal,Spanish Primera Division,2.02,0.68,75.57
28,21.0,FC Salzburg,Austrian T-Mobile Bundesliga,2.32,0.9,75.33
29,30.0,Sporting CP,Portuguese Liga,1.89,0.64,74.34
30,34.0,Real Betis,Spanish Primera Division,2.02,0.76,73.7
31,29.0,Borussia Monchengladbach,German Bundesliga,2.15,0.86,73.45
32,36.0,Tottenham Hotspur,Barclays Premier League,1.97,0.74,73.37
33,31.0,TSG Hoffenheim,German Bundesliga,2.19,0.89,73.37
34,39.0,Celta Vigo,Spanish Primera Division,1.93,0.75,72.34
35,32.0,AS Roma,Italy Serie A,2.11,0.88,72.33
