,Top_100,Top_1K,Top_10K,Top_50K,Top_100K,Top_250K,Top_500K
wildcard,29.333333333333332,16.0,19.15,16.35,14.32,9.66,7.224
freehit,4.0,3.4000000000000004,2.55,4.425,5.319999999999999,6.959999999999999,8.764
bboost,2.666666666666667,1.4000000000000001,2.45,3.35,3.9600000000000004,5.1,6.132
3xc,62.66666666666667,74.6,69.39999999999999,67.55,63.82,59.93333333333334,50.28399999999999
