,Top_100,Top_1K,Top_10K,Top_50K,Top_100K,Top_250K,Top_500K
wildcard,2.666666666666667,1.0,2.1,3.9,5.4,6.133333333333333,6.432
freehit,0.0,0.2,0.1,0.325,0.3,0.3,0.32
bboost,0.0,0.0,0.05,0.1,0.22,0.35333333333333333,0.784
3xc,0.0,0.0,0.0,0.0,0.0,0.11333333333333334,0.196
