,Top_100,Top_1K,Top_10K,Top_50K,Top_100K,Top_250K,Top_500K
wildcard,0.0,0.6,1.5,0.975,1.78,2.5,3.964
freehit,0.0,0.6,0.1,0.22499999999999998,0.18,0.32,0.532
bboost,0.0,0.4,0.25,0.44999999999999996,0.72,0.6333333333333333,0.8240000000000001
3xc,0.0,0.0,0.1,0.15,0.22,0.32666666666666666,0.424
