id,first_name,second_name,team,Top_100,Top_1K,Top_10K,Top_50K,Top_100K,Top_250K,Top_500K
1,Bernd,Leno,1,0.0,0.0,0.15,0.1,0.13999999999999999,0.18666666666666668,0.252
2,Rúnar Alex,Rúnarsson,1,0.0,0.6,0.15,0.22499999999999998,0.3,0.38,0.45199999999999996
3,Willian,Borges Da Silva,1,0.0,0.0,0.0,0.0,0.0,0.0,0.004
4,Pierre-Emerick,Aubameyang,1,2.666666666666667,2.1999999999999997,1.15,1.225,1.22,1.3933333333333333,1.576
5,Cédric,Soares,1,0.0,0.0,0.0,0.05,0.02,0.04666666666666667,0.076
6,Alexandre,Lacazette,1,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.04
7,Granit,Xhaka,1,0.0,0.0,0.0,0.0,0.0,0.0,0.04
8,Pablo,Marí,1,0.0,0.0,0.0,0.0,0.0,0.0,0.004
9,Héctor,Bellerín,1,0.0,0.0,0.0,0.0,0.0,0.02,0.012
10,Calum,Chambers,1,0.0,0.0,0.15,0.025,0.06,0.10666666666666667,0.164
11,Sead,Kolasinac,1,0.0,0.0,0.0,0.0,0.04,0.0,0.008
12,Mohamed Naser,El Sayed Elneny,1,0.0,0.0,0.0,0.05,0.06,0.06,0.13999999999999999
13,Ainsley,Maitland-Niles,1,0.0,0.0,0.0,0.0,0.04,0.006666666666666667,0.004
14,Rob,Holding,1,0.0,0.0,0.05,0.025,0.12,0.14666666666666667,0.16
15,Thomas,Partey,1,0.0,0.0,0.0,0.0,0.02,0.006666666666666667,0.016
16,Kieran,Tierney,1,29.333333333333332,15.0,9.25,9.25,6.78,7.16,6.239999999999999
17,Nicolas,Pépé,1,1.3333333333333335,0.8,0.44999999999999996,0.5499999999999999,0.52,0.6866666666666666,0.64
18,Lucas,Torreira,1,0.0,0.0,0.0,0.0,0.02,0.006666666666666667,0.044000000000000004
20,Edward,Nketiah,1,0.0,0.0,0.0,0.0,0.0,0.0,0.004
21,Emile,Smith Rowe,1,0.0,0.6,1.0999999999999999,1.7000000000000002,1.78,2.6,3.628
22,Bukayo,Saka,1,5.333333333333334,2.0,1.6500000000000001,2.325,1.54,2.1733333333333333,2.688
23,Gabriel,Magalhães,1,0.0,0.0,0.0,0.0,0.04,0.013333333333333334,0.016
24,Konstantinos,Mavropanos,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Mattéo,Guendouzi,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Gabriel Teodoro,Martinelli Silva,1,0.0,0.0,0.0,0.025,0.0,0.006666666666666667,0.036000000000000004
27,William,Saliba,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Ben,White,1,17.333333333333336,18.6,21.25,23.075000000000003,21.22,22.62666666666667,21.356
466,Nuno,Varela Tavares,1,0.0,0.0,0.0,0.0,0.0,0.0,0.032
478,Albert,Sambi Lokonga,1,0.0,0.0,0.05,0.0,0.02,0.013333333333333334,0.036000000000000004
530,Folarin,Balogun,1,0.0,0.0,0.15,0.125,0.13999999999999999,0.06666666666666667,0.124
531,Reiss,Nelson,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
532,Karl,Hein,1,0.0,0.2,0.4,0.125,0.16,0.29333333333333333,0.328
558,Martin,Ødegaard,1,2.666666666666667,2.6,1.0,1.0999999999999999,1.1400000000000001,1.0866666666666667,1.188
559,Aaron,Ramsdale,1,4.0,0.2,0.8,1.075,1.5,1.22,1.472
572,Arthur,Okonkwo,1,0.0,0.4,0.44999999999999996,0.1,0.13999999999999999,0.1,0.104
590,Takehiro,Tomiyasu,1,4.0,0.0,0.5,0.8500000000000001,0.5599999999999999,0.6799999999999999,0.732
28,Jed,Steer,2,24.0,14.000000000000002,7.249999999999999,7.225,6.260000000000001,6.333333333333334,6.152
29,Conor,Hourihane,2,0.0,0.0,0.0,0.0,0.0,0.0,0.004
30,Emiliano,Martínez,2,0.0,0.8,0.5,0.8750000000000001,1.26,2.1266666666666665,3.932
31,Björn,Engels,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Bertrand,Traoré,2,0.0,0.0,0.0,0.0,0.0,0.02666666666666667,0.068
34,Morgan,Sanson,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,John,McGinn,2,0.0,0.0,0.0,0.025,0.02,0.03333333333333333,0.116
36,Kortney,Hause,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Mahmoud Ahmed,Ibrahim Hassan,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Tyrone,Mings,2,0.0,0.4,0.15,0.325,0.32,0.6066666666666667,1.34
39,Matt,Targett,2,0.0,0.0,0.2,0.27499999999999997,0.13999999999999999,0.5333333333333333,0.9520000000000001
40,Ollie,Watkins,2,0.0,0.0,0.2,0.125,0.04,0.20666666666666667,0.28800000000000003
41,Marvelous,Nakamba,2,0.0,0.0,0.0,0.0,0.0,0.05333333333333334,0.036000000000000004
