rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,2.79,0.28,92.0
2,2,Bayern Munich,German Bundesliga,3.04,0.68,87.66
3,3,Barcelona,Spanish Primera Division,2.45,0.43,86.4
4,4,Real Madrid,Spanish Primera Division,2.56,0.6,84.41
5,5,Liverpool,Barclays Premier League,2.63,0.67,83.93
6,6,Arsenal,Barclays Premier League,2.53,0.61,83.92
7,7,Newcastle,Barclays Premier League,2.38,0.53,83.7
8,8,Napoli,Italy Serie A,2.3,0.51,83.25
9,9,Borussia Dortmund,German Bundesliga,2.83,0.84,82.91
10,10,Brighton and Hove Albion,Barclays Premier League,2.47,0.73,80.88
11,11,RB Leipzig,German Bundesliga,2.39,0.7,80.42
12,12,Benfica,Portuguese Liga,2.4,0.73,79.96
13,13,Aston Villa,Barclays Premier League,2.01,0.51,79.3
14,14,Atletico Madrid,Spanish Primera Division,2.26,0.67,79.29
15,15,Paris Saint-Germain,French Ligue 1,2.62,0.91,79.12
16,16,Manchester United,Barclays Premier League,2.35,0.74,79.08
17,17,Internazionale,Italy Serie A,2.33,0.76,78.43
18,18,Ajax,Dutch Eredivisie,2.66,1.03,77.36
19,19,Lille,French Ligue 1,2.07,0.64,77.2
20,20,Brentford,Barclays Premier League,2.1,0.67,77.14
21,21,Real Sociedad,Spanish Primera Division,1.87,0.52,77.07
22,22,Sporting CP,Portuguese Liga,2.07,0.66,76.96
23,23,FC Porto,Portuguese Liga,2.16,0.72,76.86
24,24,Chelsea,Barclays Premier League,2.04,0.68,75.78
25,25,Feyenoord,Dutch Eredivisie,2.28,0.87,75.25
26,26,Lyon,French Ligue 1,2.28,0.88,75.18
27,27,Stade Rennes,French Ligue 1,2.01,0.69,75.14
28,28,Bayer Leverkusen,German Bundesliga,2.03,0.72,74.88
29,29,Athletic Bilbao,Spanish Primera Division,1.84,0.59,74.78
30,30,Celtic,Scottish Premiership,2.53,1.07,74.69
31,32,Zenit St Petersburg,Russian Premier Liga,2.02,0.73,74.38
32,31,Fiorentina,Italy Serie A,2.07,0.76,74.35
33,33,FC Twente,Dutch Eredivisie,2.22,0.88,74.18
34,34,Marseille,French Ligue 1,2.05,0.77,73.99
35,35,PSV,Dutch Eredivisie,2.38,1.02,73.51
36,36,Crystal Palace,Barclays Premier League,1.81,0.62,73.46
37,37,Villarreal,Spanish Primera Division,2.14,0.86,73.35
38,38,Lens,French Ligue 1,1.96,0.73,73.34
39,39,AC Milan,Italy Serie A,2.05,0.8,73.33
40,40,AS Roma,Italy Serie A,1.82,0.65,73.0
41,41,FC Salzburg,Austrian T-Mobile Bundesliga,2.06,0.83,72.91
42,42,FC Cologne,German Bundesliga,2.03,0.81,72.57
