id,first_name,second_name,team,name
472,Juan Camilo,Hernández Suárez,18,Juan Camilo Hernández Suárez
495,Juraj,Kucka,18,Juraj Kucka
557,Ozan,Tufan,18,Ozan Tufan
574,Robert,Elliot,18,Robert Elliot
618,Nicolas,Nkoulou,18,Nicolas Nkoulou
633,James,Morris,18,James Morris
128,Kurt,Zouma,19,Kurt Zouma
406,Mark,Noble,19,Mark Noble
407,Darren,Randolph,19,Darren Randolph
408,Lukasz,Fabianski,19,Lukasz Fabianski
409,Angelo,Ogbonna,19,Angelo Ogbonna
410,Winston,Reid,19,Winston Reid
411,Aaron,Cresswell,19,Aaron Cresswell
412,Andriy,Yarmolenko,19,Andriy Yarmolenko
413,Michail,Antonio,19,Michail Antonio
414,Craig,Dawson,19,Craig Dawson
415,Ryan,Fredericks,19,Ryan Fredericks
416,Manuel,Lanzini,19,Manuel Lanzini
417,Arthur,Masuaku,19,Arthur Masuaku
418,Vladimir,Coufal,19,Vladimir Coufal
419,Saïd,Benrahma,19,Saïd Benrahma
420,Jarrod,Bowen,19,Jarrod Bowen
421,Declan,Rice,19,Declan Rice
422,Tomas,Soucek,19,Tomas Soucek
423,Pablo,Fornals,19,Pablo Fornals
424,Issa,Diop,19,Issa Diop
425,Ben,Johnson,19,Ben Johnson
489,Alphonse,Areola,19,Alphonse Areola
521,Frederik,Alves,19,Frederik Alves
522,Conor,Coventry,19,Conor Coventry
554,Jamal,Baptiste,19,Jamal Baptiste
582,Nikola,Vlasic,19,Nikola Vlasic
589,Alex,Kral,19,Alex Kral
617,Harrison,Ashby,19,Harrison Ashby
426,João Filipe Iria,Santos Moutinho,20,João Filipe Iria Santos Moutinho
427,Rui Pedro,dos Santos Patrício,20,Rui Pedro dos Santos Patrício
428,Willy,Boly,20,Willy Boly
429,Conor,Coady,20,Conor Coady
430,Raúl,Jiménez,20,Raúl Jiménez
431,Romain,Saïss,20,Romain Saïss
432,Fernando,Marçal,20,Fernando Marçal
433,Jonathan,Castro Otto,20,Jonathan Castro Otto
434,Leander,Dendoncker,20,Leander Dendoncker
435,Adama,Traoré,20,Adama Traoré
436,Rúben Diogo,da Silva Neves,20,Rúben Diogo da Silva Neves
437,Nélson,Cabral Semedo,20,Nélson Cabral Semedo
438,Daniel,Castelo Podence,20,Daniel Castelo Podence
439,Max,Kilman,20,Max Kilman
440,Morgan,Gibbs-White,20,Morgan Gibbs-White
441,Pedro,Lomba Neto,20,Pedro Lomba Neto
442,Owen,Otasowie,20,Owen Otasowie
443,Ki-Jana,Hoever,20,Ki-Jana Hoever
444,Andreas,Söndergaard,20,Andreas Söndergaard
445,Fabio,Silva,20,Fabio Silva
446,Yerson,Mosquera Valdelamar,20,Yerson Mosquera Valdelamar
452,John,Ruddy,20,John Ruddy
461,Francisco,Machado Mota de Castro Trincão,20,Francisco Machado Mota de Castro Trincão
470,Rayan,Ait Nouri,20,Rayan Ait Nouri
475,José,Malheiro de Sá,20,José Malheiro de Sá
523,Patrick,Cutrone,20,Patrick Cutrone
547,Luke,Cundle,20,Luke Cundle
548,Chem,Campbell,20,Chem Campbell
549,Christian,Marques,20,Christian Marques
583,Hee-Chan,Hwang,20,Hee-Chan Hwang
611,Louie,Moulden,20,Louie Moulden
621,James,Storer,20,James Storer
