,Top_100,Top_1K,Top_10K,Top_50K,Top_100K,Top_250K,Top_500K
wildcard,0.0,2.1999999999999997,1.05,2.25,2.1,2.6333333333333333,3.136
freehit,2.666666666666667,0.6,0.25,0.42500000000000004,0.5,0.47333333333333333,0.728
bboost,0.0,1.2,0.25,0.44999999999999996,0.32,0.4266666666666667,0.524
3xc,0.0,0.0,0.25,0.2,0.27999999999999997,0.27999999999999997,0.544
