id,first_name,second_name,team,Top_100,Top_1K,Top_10K,Top_50K,Top_100K,Top_250K,Top_500K
636,Santiago,Ignacio Bueno,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
637,Toti,Gomes,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
638,Ki-Jana,Hoever,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
639,Bastien,Meupiyou Menadjou,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
640,Pedro,Cardoso de Lima,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
641,Alfie,Pond,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
642,Hwang,Hee-chan,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
643,André,Trindade da Costa Neto,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
644,Jean-Ricner,Bellegarde,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
645,Fer,López González,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
646,João Victor,Gomes da Silva,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
647,Gonçalo Manuel,Ganchinho Guedes,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
648,Marshall,Munetsi,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
649,Boubacar,Traoré,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
650,Tawanda,Chirewa,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
651,Tom,Edozie,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
652,Enso,González Medina,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
653,Joe,Hodge,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
654,Jørgen,Strand Larsen,20,0.0,0.0,0.0,0.0,0.0,0.0,0.004
655,Fábio,Soares Silva,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
656,Saša,Kalajdžić,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
657,Leon,Chiwome,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
658,Nathan,Fraser,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
663,Jhon,Arias,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
682,David,Møller Wolfe,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
695,Jackson,Tchatchoua,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
709,Ladislav,Krejcí,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720,Tolu,Arokodare,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
749,Mateus,Mané,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
766,Saheed,Olagunju,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
767,Luke,Rawlings,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
777,Temple,Ojinnaka,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
778,Ethan,Sutherland,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
