,rank,prev_rank,name,league,off,def,spi
0,1,1.0,Manchester City,Barclays Premier League,2.73,0.27,91.64
1,2,2.0,Bayern Munich,German Bundesliga,3.14,0.53,90.62
2,3,4.0,Barcelona,Spanish Primera Division,2.95,0.55,88.88
3,4,5.0,Liverpool,Barclays Premier League,2.64,0.41,88.58
4,5,3.0,Chelsea,Barclays Premier League,2.39,0.3,88.51
5,6,7.0,Real Madrid,Spanish Primera Division,2.54,0.45,87.05
6,7,9.0,Paris Saint-Germain,French Ligue 1,2.66,0.58,85.73
7,8,8.0,Manchester United,Barclays Premier League,2.43,0.47,85.58
8,9,18.0,Ajax,Dutch Eredivisie,2.84,0.7,85.5
9,10,11.0,Atletico Madrid,Spanish Primera Division,2.31,0.44,84.94
10,11,10.0,Borussia Dortmund,German Bundesliga,2.65,0.67,84.13
11,12,6.0,RB Leipzig,German Bundesliga,2.36,0.5,84.03
12,13,14.0,Internazionale,Italy Serie A,2.42,0.58,83.28
13,14,15.0,Juventus,Italy Serie A,2.45,0.67,81.81
14,15,16.0,Sevilla FC,Spanish Primera Division,2.1,0.53,80.14
15,16,12.0,Atalanta,Italy Serie A,2.37,0.71,80.09
16,17,13.0,Arsenal,Barclays Premier League,2.1,0.56,79.65
17,18,27.0,Tottenham Hotspur,Barclays Premier League,2.27,0.69,79.06
18,19,19.0,FC Salzburg,Austrian T-Mobile Bundesliga,2.61,0.93,78.61
19,20,21.0,Napoli,Italy Serie A,2.24,0.7,78.37
20,21,17.0,Real Sociedad,Spanish Primera Division,2.1,0.62,78.21
21,22,29.0,FC Porto,Portuguese Liga,2.17,0.68,77.75
22,23,35.0,Benfica,Portuguese Liga,2.23,0.73,77.58
23,24,22.0,AC Milan,Italy Serie A,2.16,0.71,77.11
24,25,26.0,Leicester City,Barclays Premier League,2.08,0.67,76.88
25,26,20.0,Villarreal,Spanish Primera Division,2.07,0.68,76.45
26,27,24.0,VfL Wolfsburg,German Bundesliga,2.09,0.7,76.27
27,28,33.0,Bayer Leverkusen,German Bundesliga,2.05,0.72,75.12
28,29,23.0,AS Monaco,French Ligue 1,1.97,0.69,74.54
29,30,25.0,Brighton and Hove Albion,Barclays Premier League,1.9,0.65,74.19
30,31,34.0,West Ham United,Barclays Premier League,2.13,0.82,74.06
31,32,47.0,Sporting CP,Portuguese Liga,1.93,0.69,73.85
32,33,43.0,Everton,Barclays Premier League,1.94,0.71,73.47
33,34,38.0,Borussia Monchengladbach,German Bundesliga,2.18,0.89,73.42
34,35,32.0,Real Betis,Spanish Primera Division,1.89,0.69,73.14
35,36,48.0,Rangers,Scottish Premiership,2.09,0.85,72.84
36,37,62.0,PSV,Dutch Eredivisie,2.14,0.92,72.03
37,38,41.0,AS Roma,Italy Serie A,2.09,0.9,71.62
38,39,44.0,Aston Villa,Barclays Premier League,2.0,0.84,71.45
39,40,37.0,Getafe,Spanish Primera Division,1.65,0.59,71.33
40,41,36.0,Leeds United,Barclays Premier League,2.0,0.84,71.33
41,42,46.0,TSG Hoffenheim,German Bundesliga,2.09,0.91,71.3
42,43,28.0,Zenit St Petersburg,Russian Premier Liga,2.15,0.96,71.26
43,44,57.0,Wolverhampton,Barclays Premier League,1.8,0.71,71.14
44,45,42.0,Lazio,Italy Serie A,2.03,0.88,71.02
45,46,30.0,Lyon,French Ligue 1,2.07,0.92,70.77
46,47,39.0,Eintracht Frankfurt,German Bundesliga,2.2,1.02,70.73
47,48,40.0,Athletic Bilbao,Spanish Primera Division,1.78,0.71,70.68
48,49,45.0,Celta Vigo,Spanish Primera Division,1.92,0.87,69.34
49,50,58.0,Flamengo,Brasileiro Série A,1.97,0.94,68.68
50,51,31.0,Lille,French Ligue 1,1.7,0.75,68.12
51,52,56.0,Mainz,German Bundesliga,1.87,0.9,67.79
52,53,73.0,VfB Stuttgart,German Bundesliga,2.05,1.04,67.66
53,54,54.0,Sassuolo,Italy Serie A,1.95,0.97,67.49
54,55,99.0,Celtic,Scottish Premiership,2.01,1.03,67.35
55,56,53.0,Olympiacos,Greek Super League,1.9,0.95,67.21
56,57,74.0,Slavia Prague,UEFA Europa League,1.88,0.94,66.94
57,58,52.0,1. FC Union Berlin,German Bundesliga,1.77,0.85,66.86
58,59,75.0,Club Brugge,Belgian Jupiler League,1.97,1.02,66.7
59,60,63.0,SC Freiburg,German Bundesliga,1.81,0.9,66.59
60,61,51.0,Shakhtar Donetsk,UEFA Europa League,2.05,1.1,66.55
61,62,69.0,Valencia,Spanish Primera Division,1.82,0.91,66.43
62,63,71.0,AZ,Dutch Eredivisie,1.95,1.03,66.25
63,64,89.0,Genk,Belgian Jupiler League,2.07,1.15,65.68
64,65,60.0,Osasuna,Spanish Primera Division,1.66,0.83,65.38
65,66,66.0,Southampton,Barclays Premier League,1.82,0.96,65.32
66,67,76.0,River Plate,Argentina Primera Division,1.8,0.96,64.97
67,68,67.0,Hertha Berlin,German Bundesliga,1.77,0.93,64.86
68,69,61.0,Newcastle,Barclays Premier League,1.87,1.02,64.82
69,70,55.0,Stade Rennes,French Ligue 1,1.64,0.84,64.81
70,71,72.0,Dinamo Zagreb,UEFA Europa League,1.88,1.03,64.77
71,72,78.0,Marseille,French Ligue 1,1.74,0.94,64.31
72,73,117.0,Feyenoord,Dutch Eredivisie,1.89,1.07,64.26
73,74,91.0,Kawasaki Frontale,Japanese J League,1.85,1.03,64.18
74,75,68.0,Burnley,Barclays Premier League,1.77,0.97,63.96
75,76,49.0,Young Boys,Swiss Raiffeisen Super League,2.01,1.18,63.78
76,77,65.0,Brentford,Barclays Premier League,1.69,0.92,63.53
77,78,79.0,Levante,Spanish Primera Division,1.7,0.94,63.45
78,79,70.0,Alavés,Spanish Primera Division,1.68,0.92,63.39
79,80,102.0,Braga,Portuguese Liga,1.67,0.92,63.2
80,81,109.0,Espanyol,Spanish Primera Division,1.66,0.92,63.14
81,82,59.0,Fulham,English League Championship,1.78,1.03,62.8
82,83,110.0,Monterrey,Mexican Primera Division Torneo Apertura,1.7,0.97,62.62
83,84,82.0,FC Cologne,German Bundesliga,1.78,1.05,62.46
84,85,95.0,Crystal Palace,Barclays Premier League,1.68,0.97,62.18
85,86,88.0,FC Midtjylland,Danish SAS-Ligaen,1.86,1.13,62.01
86,87,121.0,Nice,French Ligue 1,1.69,0.99,61.93
87,88,97.0,Atletico Mineiro,Brasileiro Série A,1.54,0.86,61.87
88,89,85.0,Granada,Spanish Primera Division,1.65,0.98,61.46
89,90,98.0,Fiorentina,Italy Serie A,1.65,0.98,61.32
90,91,228.0,Mallorca,Spanish Primera Division,1.62,0.97,61.06
91,92,114.0,Watford,Barclays Premier League,1.63,0.98,61.0
92,93,77.0,Norwich City,Barclays Premier League,1.61,0.98,60.67
93,94,81.0,Sampdoria,Italy Serie A,1.65,1.02,60.32
94,95,83.0,Galatasaray,Turkish Turkcell Super Lig,1.8,1.16,60.19
95,96,86.0,Arminia Bielefeld,German Bundesliga,1.57,0.96,60.12
96,97,84.0,Besiktas,Turkish Turkcell Super Lig,1.85,1.21,60.11
97,98,141.0,Club América,Mexican Primera Division Torneo Apertura,1.59,0.99,59.75
98,99,100.0,Lens,French Ligue 1,1.63,1.04,59.61
99,100,138.0,FC Utrecht,Dutch Eredivisie,1.75,1.14,59.58
100,101,101.0,Cagliari,Italy Serie A,1.64,1.04,59.58
101,102,220.0,Rayo Vallecano,Spanish Primera Division,1.6,1.02,59.47
102,103,112.0,Elche,Spanish Primera Division,1.54,0.99,58.77
103,104,94.0,Verona,Italy Serie A,1.54,0.99,58.67
104,105,80.0,Strasbourg,French Ligue 1,1.56,1.02,58.63
105,106,115.0,Bologna,Italy Serie A,1.74,1.18,58.51
106,107,280.0,VfL Bochum,German Bundesliga,1.56,1.02,58.47
107,108,145.0,New York City FC,Major League Soccer,1.83,1.28,58.25
108,109,106.0,Palmeiras,Brasileiro Série A,1.51,0.99,58.07
109,110,136.0,Fenerbahce,Turkish Turkcell Super Lig,1.68,1.15,57.97
110,111,131.0,Sparta Prague,UEFA Europa League,1.77,1.23,57.94
111,112,146.0,Molde,Norwegian Tippeligaen,2.1,1.54,57.85
112,113,126.0,Internacional,Brasileiro Série A,1.48,0.97,57.77
113,114,137.0,AFC Bournemouth,English League Championship,1.62,1.11,57.61
114,115,120.0,Torino,Italy Serie A,1.62,1.11,57.6
115,116,118.0,FC Augsburg,German Bundesliga,1.62,1.12,57.5
116,117,113.0,Nantes,French Ligue 1,1.52,1.03,57.4
117,118,165.0,Cruz Azul,Mexican Primera Division Torneo Apertura,1.54,1.04,57.3
118,119,157.0,Tigres UANL,Mexican Primera Division Torneo Apertura,1.54,1.05,57.19
119,120,153.0,Angers,French Ligue 1,1.41,0.94,57.13
120,121,134.0,Red Star Belgrade,UEFA Europa League,1.78,1.28,57.03
121,122,105.0,St Etienne,French Ligue 1,1.51,1.04,57.02
