,Top_100,Top_1K,Top_10K,Top_50K,Top_100K,Top_250K,Top_500K
wildcard,41.333333333333336,39.4,33.900000000000006,27.950000000000003,26.82,20.846666666666668,15.323999999999998
freehit,1.3333333333333335,7.3999999999999995,6.6000000000000005,6.425,6.260000000000001,6.7,6.260000000000001
bboost,25.333333333333336,14.6,18.099999999999998,17.275,14.92,11.546666666666667,8.296000000000001
3xc,0.0,0.0,0.05,0.125,0.13999999999999999,0.2,0.36
