rank,prev_rank,name,league,off,def,spi
1,1.0,Manchester City,Barclays Premier League,3.06,0.31,93.1
2,2.0,Bayern Munich,German Bundesliga,3.33,0.52,92.02
3,4.0,Liverpool,Barclays Premier League,2.9,0.55,88.56
4,3.0,Paris Saint-Germain,French Ligue 1,2.83,0.52,88.32
5,6.0,Real Madrid,Spanish Primera Division,2.72,0.52,87.48
6,5.0,Barcelona,Spanish Primera Division,2.6,0.47,87.14
7,9.0,Chelsea,Barclays Premier League,2.3,0.47,84.03
8,8.0,Arsenal,Barclays Premier League,2.35,0.53,83.54
9,10.0,Napoli,Italy Serie A,2.58,0.72,82.38
10,7.0,Ajax,Dutch Eredivisie,2.91,0.94,82.11
11,11.0,Tottenham Hotspur,Barclays Premier League,2.34,0.61,81.52
12,12.0,Borussia Dortmund,German Bundesliga,2.42,0.74,79.96
13,15.0,FC Porto,Portuguese Liga,2.34,0.71,79.57
14,13.0,Atletico Madrid,Spanish Primera Division,2.06,0.54,79.49
15,19.0,Benfica,Portuguese Liga,2.25,0.66,79.36
16,17.0,Internazionale,Italy Serie A,2.42,0.79,79.09
17,14.0,Villarreal,Spanish Primera Division,2.06,0.58,78.6
18,20.0,RB Leipzig,German Bundesliga,2.38,0.8,78.23
19,18.0,AC Milan,Italy Serie A,2.19,0.69,77.99
20,23.0,Manchester United,Barclays Premier League,2.26,0.78,77.1
21,16.0,FC Salzburg,Austrian T-Mobile Bundesliga,2.27,0.78,77.08
22,21.0,Brighton and Hove Albion,Barclays Premier League,2.07,0.66,76.82
23,24.0,Athletic Bilbao,Spanish Primera Division,1.96,0.63,75.7
24,26.0,Newcastle,Barclays Premier League,2.07,0.71,75.6
25,30.0,Real Sociedad,Spanish Primera Division,1.95,0.64,75.45
26,22.0,Zenit St Petersburg,Russian Premier Liga,2.09,0.74,75.35
27,25.0,PSV,Dutch Eredivisie,2.47,1.01,75.22
28,28.0,Marseille,French Ligue 1,1.96,0.67,74.69
29,32.0,Stade Rennes,French Ligue 1,2.06,0.75,74.57
30,29.0,AS Roma,Italy Serie A,2.04,0.74,74.48
31,34.0,SC Freiburg,German Bundesliga,2.12,0.86,72.91
32,35.0,Feyenoord,Dutch Eredivisie,2.31,1.01,72.83
33,38.0,Celtic,Scottish Premiership,2.35,1.04,72.81
34,36.0,West Ham United,Barclays Premier League,1.87,0.69,72.68
35,33.0,Aston Villa,Barclays Premier League,1.82,0.66,72.59
36,37.0,Lyon,French Ligue 1,2.04,0.84,72.08
37,27.0,Sporting CP,Portuguese Liga,1.98,0.81,71.97
38,40.0,Atalanta,Italy Serie A,2.01,0.83,71.92
39,31.0,Bayer Leverkusen,German Bundesliga,2.15,0.95,71.52
40,48.0,Eintracht Frankfurt,German Bundesliga,2.02,0.85,71.51
41,39.0,Valencia,Spanish Primera Division,1.91,0.78,71.15
42,56.0,Lille,French Ligue 1,1.9,0.78,71.13
43,41.0,AS Monaco,French Ligue 1,2.01,0.86,71.06
44,42.0,1. FC Union Berlin,German Bundesliga,1.74,0.68,70.63
45,54.0,TSG Hoffenheim,German Bundesliga,2.1,0.95,70.63
46,53.0,Celta Vigo,Spanish Primera Division,1.76,0.71,70.43
47,45.0,Real Betis,Spanish Primera Division,1.75,0.7,70.34
48,47.0,Lazio,Italy Serie A,2.1,0.98,70.01
49,44.0,Lens,French Ligue 1,1.81,0.77,69.77
50,51.0,Borussia Monchengladbach,German Bundesliga,2.19,1.06,69.65
51,49.0,Crystal Palace,Barclays Premier League,1.77,0.75,69.64
52,50.0,Flamengo,Brasileiro Série A,1.87,0.83,69.41
53,55.0,Fiorentina,Italy Serie A,1.84,0.83,68.86
54,57.0,Rangers,Scottish Premiership,2.07,1.03,68.47
55,52.0,Brentford,Barclays Premier League,1.95,0.94,68.29
56,46.0,FC Cologne,German Bundesliga,2.02,0.99,68.22
57,60.0,Mainz,German Bundesliga,1.86,0.88,68.1
58,43.0,Club Brugge,Belgian Jupiler League,2.04,1.04,67.64
59,58.0,Fenerbahce,Turkish Turkcell Super Lig,2.19,1.16,67.63
60,62.0,Osasuna,Spanish Primera Division,1.71,0.78,67.5
61,61.0,Juventus,Italy Serie A,1.8,0.87,67.19
62,59.0,Leicester City,Barclays Premier League,1.92,0.96,67.12
63,65.0,Sevilla FC,Spanish Primera Division,1.73,0.81,67.02
64,77.0,Club América,Mexican Primera Division Torneo Apertura,1.89,0.96,66.73
65,64.0,AZ,Dutch Eredivisie,1.97,1.03,66.59
66,66.0,Udinese,Italy Serie A,1.91,1.0,66.09
67,63.0,Wolverhampton,Barclays Premier League,1.63,0.78,66.05
68,71.0,VfL Wolfsburg,German Bundesliga,1.89,0.99,66.03
69,69.0,Palmeiras,Brasileiro Série A,1.66,0.81,65.9
70,67.0,VfB Stuttgart,German Bundesliga,1.91,1.03,65.43
71,68.0,Werder Bremen,German Bundesliga,1.89,1.03,65.07
72,72.0,Braga,Portuguese Liga,1.81,0.96,65.01
73,70.0,FC Twente,Dutch Eredivisie,1.79,0.97,64.55
74,79.0,Dinamo Zagreb,UEFA Champions League,1.82,1.0,64.42
75,78.0,Leeds United,Barclays Premier League,1.81,1.02,63.75
76,75.0,Slavia Prague,UEFA Europa Conference League,1.87,1.07,63.75
77,73.0,Everton,Barclays Premier League,1.68,0.92,63.43
78,76.0,Torino,Italy Serie A,1.59,0.85,63.38
79,83.0,Monterrey,Mexican Primera Division Torneo Apertura,1.56,0.83,63.23
80,74.0,Strasbourg,French Ligue 1,1.69,0.95,63.08
81,80.0,Genk,Belgian Jupiler League,1.91,1.13,62.99
82,84.0,Young Boys,Swiss Raiffeisen Super League,2.04,1.25,62.89
83,82.0,Rayo Vallecano,Spanish Primera Division,1.63,0.91,62.84
84,81.0,Southampton,Barclays Premier League,1.75,1.02,62.66
85,87.0,Atletico Mineiro,Brasileiro Série A,1.52,0.82,62.59
86,90.0,Hertha Berlin,German Bundesliga,1.76,1.02,62.48
87,88.0,Sassuolo,Italy Serie A,1.86,1.12,62.33
88,85.0,São Paulo,Brasileiro Série A,1.56,0.87,62.02
89,86.0,Nice,French Ligue 1,1.56,0.88,61.97
90,89.0,Getafe,Spanish Primera Division,1.48,0.81,61.93
91,94.0,Mallorca,Spanish Primera Division,1.53,0.86,61.82
