rank,prev_rank,name,league,off,def,spi
1,1.0,Bayern Munich,German Bundesliga,3.56,0.48,93.69
2,2.0,Manchester City,Barclays Premier League,2.92,0.25,93.17
3,3.0,Liverpool,Barclays Premier League,3.1,0.36,92.69
4,5.0,Ajax,Dutch Eredivisie,3.13,0.61,89.46
5,4.0,Chelsea,Barclays Premier League,2.55,0.33,89.38
6,6.0,Internazionale,Italy Serie A,2.59,0.56,85.5
7,7.0,Real Madrid,Spanish Primera Division,2.62,0.6,85.05
8,8.0,Atletico Madrid,Spanish Primera Division,2.3,0.52,82.98
9,11.0,Paris Saint-Germain,French Ligue 1,2.58,0.7,82.83
10,9.0,Barcelona,Spanish Primera Division,2.32,0.59,81.87
11,13.0,Borussia Dortmund,German Bundesliga,2.64,0.81,81.39
12,10.0,RB Leipzig,German Bundesliga,2.58,0.78,81.26
13,14.0,FC Porto,Portuguese Liga,2.27,0.67,79.56
14,15.0,Juventus,Italy Serie A,2.18,0.61,79.55
15,12.0,Napoli,Italy Serie A,2.27,0.67,79.37
16,19.0,Atalanta,Italy Serie A,2.41,0.8,78.68
17,17.0,Manchester United,Barclays Premier League,2.22,0.69,78.39
18,18.0,Real Sociedad,Spanish Primera Division,1.87,0.48,77.97
19,16.0,Sevilla FC,Spanish Primera Division,1.93,0.53,77.8
20,20.0,West Ham United,Barclays Premier League,2.13,0.67,77.52
21,27.0,Villarreal,Spanish Primera Division,2.08,0.66,76.9
22,23.0,Brighton and Hove Albion,Barclays Premier League,1.88,0.54,76.75
23,24.0,Bayer Leverkusen,German Bundesliga,2.24,0.78,76.71
24,26.0,AC Milan,Italy Serie A,2.16,0.73,76.64
25,21.0,Arsenal,Barclays Premier League,2.02,0.64,76.59
26,25.0,Athletic Bilbao,Spanish Primera Division,1.82,0.53,76.01
27,22.0,Benfica,Portuguese Liga,2.16,0.76,75.94
28,29.0,Sporting CP,Portuguese Liga,1.98,0.66,75.36
29,28.0,FC Salzburg,Austrian T-Mobile Bundesliga,2.27,0.87,75.05
30,30.0,Real Betis,Spanish Primera Division,2.05,0.75,74.52
31,36.0,Tottenham Hotspur,Barclays Premier League,1.98,0.75,73.36
32,32.0,TSG Hoffenheim,German Bundesliga,2.18,0.92,72.56
33,39.0,Aston Villa,Barclays Premier League,1.99,0.79,72.41
34,35.0,AS Monaco,French Ligue 1,1.87,0.7,72.4
35,43.0,Lille,French Ligue 1,1.81,0.67,72.33
36,41.0,Valencia,Spanish Primera Division,1.91,0.74,72.26
37,48.0,SC Freiburg,German Bundesliga,2.05,0.84,72.24
38,42.0,Mainz,German Bundesliga,1.93,0.76,72.23
39,37.0,PSV,Dutch Eredivisie,2.25,1.0,71.9
40,49.0,Stade Rennes,French Ligue 1,1.96,0.8,71.89
41,33.0,Celta Vigo,Spanish Primera Division,1.9,0.76,71.65
42,38.0,Wolverhampton,Barclays Premier League,1.69,0.62,71.5
43,34.0,AS Roma,Italy Serie A,2.09,0.91,71.44
